n,trial,spatial_mode,scenario,track,target_fraction,target_importance,row_budget_fraction,row_budget,top_row_budget_importance,row_budget_intrinsically_feasible,method,method_label,family,importance,rows,chunks,two_line_ms,lookup_ms,importance_fraction,importance_overshoot,coverage_met,row_budget_met,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,fallback_used,fallback_reason,fallback_added_rows,error,deterministic,scalarized_calls,bracket_converged,trim_deletions,chosen_offset,candidate_count,paper_lookup_ms,paper_two_line_ms,supported_lookup_ms,supported_two_line_ms,lookup_saving_vs_paper_pct,two_line_saving_vs_paper_pct,supported_gain_recovery_pct
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c8,TD-2L (8),td,0.906087517891026,2556,21,0.8865911238823967,0.8930591575993828,0.906087517891026,0.006087517891026,True,True,True,0.594406,0.6315102499999999,True,True,False,,0,,True,8,False,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,34.811682132834534,36.01096095128804,99.04010182643249
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c16,TD-2L (16),td,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,0.7885895,0.8573946,True,True,False,,0,,True,11,True,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,35.14907748564507,36.36860398821702,100.0
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c32,TD-2L (32),td,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,0.7898915,0.82855565,True,True,False,,0,,True,11,True,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,35.14907748564507,36.36860398821702,100.0
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c8_trim64,TD-2L (8) + trim 64,trim,0.9000841992550894,2502,21,0.8720522585550085,0.8815264826315533,0.9000841992550894,8.419925508940107e-05,True,True,True,0.8169175,0.8482111,True,True,False,,0,,True,8,False,54,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,35.653502828881656,37.060292482021495,101.43510265224627
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c16_trim256,TD-2L (16) + trim 256,trim,0.9000032816855146,2501,21,0.871151779892488,0.8794986200893942,0.9000032816855146,3.2816855145556545e-06,True,True,True,0.9932065,1.03500885,True,True,False,,0,,True,11,True,38,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,35.80152543955006,37.12528384359325,101.85623066258695
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_half_s,Tiles (s/2),tiles,0.9049880825178034,2960,18,0.9985352282584088,1.011539986464867,0.9049880825178034,0.0049880825178033,True,True,True,0.140753,0.1736366,True,True,False,,0,,True,0,False,0,0,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,26.163245052798302,27.9314804859051,74.43508314971683
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_s,Tiles (s),tiles,0.9048238585330972,3379,9,1.0992546695903276,1.1220561080947535,0.9048238585330972,0.0048238585330971,True,True,True,0.0974325,0.10693475,True,True,False,,0,,True,0,False,0,67,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,18.096187003003173,20.66213152589058,51.48410227947997
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_2s,Tiles (2s),tiles,0.9057182420207396,3645,3,1.1857896628164375,1.21129971719457,0.9057182420207396,0.0057182420207396,True,True,True,0.077695,0.0864798,True,True,False,,0,,True,0,False,0,135,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,11.581903253592662,14.416534303602035,32.950802928818625
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,paper_bucket64,Paper bucket 64,bucket,0.9476019425920924,3648,65,1.6305067661838517,1.626964744140787,0.9476019425920924,0.0476019425920922,True,True,True,0.212577,0.442848899999999,True,True,False,,0,,True,0,False,0,-1,12003,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,-18.759316219114552,-17.6805838904013,-53.37072139880734
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,paper_bucket256,Paper bucket 256,bucket,0.960477227156362,3648,49,1.450000700034998,1.4330966437879402,0.960477227156362,0.0604772271563619,True,True,True,0.221514,0.23031335,True,True,False,,0,,True,0,False,0,-1,12003,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,-4.608030447546252,-4.6526960577903065,-13.109961276873277
