n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
4864,1,random,3.3,supported,0.35,0.3590056953633675,0.39204971231221175,1131,11
4864,1,random,3.3,supported,0.39999999999999997,0.41249533763373497,0.4689321562477866,1353,13
4864,1,random,3.3,supported,0.44999999999999996,0.45166675084589264,0.5256274903431729,1529,14
4864,1,random,3.3,supported,0.49999999999999994,0.5033258660185529,0.6031328401173853,1785,14
4864,1,random,3.3,supported,0.5499999999999999,0.5510662743818843,0.676584032612718,2006,16
4864,1,random,3.3,supported,0.6,0.6066705299255253,0.764014589721239,2267,18
4864,1,random,3.3,supported,0.65,0.659686357733523,0.8504062612673854,2510,21
4864,1,random,3.3,supported,0.7,0.7018948064070264,0.9214200794293749,2716,23
4864,1,random,3.3,supported,0.75,0.7637681845165408,1.0314100281429406,3065,25
4864,1,random,3.3,supported,0.7999999999999999,0.8040701403949909,1.106585589334486,3295,26
4864,1,random,3.3,supported,0.85,0.8557012632935372,1.2070541396293888,3602,28
4864,1,random,3.3,supported,0.9,0.9027013238617777,1.309707819298323,3940,27
4864,1,random,3.3,supported,0.95,0.9521463328969362,1.4264068075913368,4299,30
4864,1,random,3.3,supported,0.99,0.9903899600456035,1.5390764620469812,4655,31
4864,1,random,3.3,paper,0.05,0.1184513177817324,0.10237655333499646,240,4
4864,1,random,3.3,paper,0.1,0.19215687771124437,0.18890516089531662,486,7
4864,1,random,3.3,paper,0.15,0.2615828505077375,0.28918640821054,726,11
4864,1,random,3.3,paper,0.2,0.32006545767653755,0.3659870689185396,972,13
4864,1,random,3.3,paper,0.25,0.379103873265469,0.45691917285235095,1212,16
4864,1,random,3.3,paper,0.3,0.43497680369751734,0.5465838064851449,1458,19
4864,1,random,3.3,paper,0.35,0.48588953135617036,0.6283082115247746,1698,21
4864,1,random,3.3,paper,0.39999999999999997,0.538911956912552,0.7103066550972116,1944,23
4864,1,random,3.3,paper,0.44999999999999996,0.590468474914868,0.798339008858036,2184,26
4864,1,random,3.3,paper,0.49999999999999994,0.6410773865511287,0.890196397775963,2430,29
4864,1,random,3.3,paper,0.5499999999999999,0.6828814732498104,0.9565826657994554,2670,30
4864,1,random,3.3,paper,0.6,0.7280179703626761,1.0510930451380793,2916,33
4864,1,random,3.3,paper,0.65,0.7694112242778481,1.1341317060728913,3162,35
4864,1,random,3.3,paper,0.7,0.8057466565225879,1.20924977526199,3402,37
4864,1,random,3.3,paper,0.75,0.8444327888094254,1.3029692190681568,3648,39
4864,1,random,3.3,paper,0.7999999999999999,0.8793987160299799,1.3816360322007273,3888,40
4864,1,random,3.3,paper,0.85,0.9139792464323815,1.4670588378192213,4134,42
4864,1,random,3.3,paper,0.9,0.9478098660230863,1.5490108835827925,4374,42
4864,1,random,3.3,paper,0.95,0.9784067486311824,1.6364094704394356,4620,41
4864,1,local,3.3,supported,0.05,0.14336558392607432,0.01980913803277525,39,1
4864,1,local,3.3,supported,0.1,0.14336558392607432,0.01980913803277525,39,1
4864,1,local,3.3,supported,0.15,0.18293797591341684,0.038758567690569935,71,2
4864,1,local,3.3,supported,0.2,0.23030085145101195,0.06328234718292497,137,3
4864,1,local,3.3,supported,0.25,0.26754748110671817,0.08777061159529836,202,4
4864,1,local,3.3,supported,0.3,0.3000280309858193,0.11051678536905976,257,5
4864,1,local,3.3,supported,0.35,0.3850517741797593,0.1757795043123353,444,7
4864,1,local,3.3,supported,0.39999999999999997,0.4017755619053247,0.18903656592886753,499,7
4864,1,local,3.3,supported,0.44999999999999996,0.48343253999286945,0.26151659190872745,712,9
4864,1,local,3.3,supported,0.49999999999999994,0.5159051677916066,0.29189090480029056,789,10
4864,1,local,3.3,supported,0.5499999999999999,0.5693289849708142,0.3471247054900686,941,12
4864,1,local,3.3,supported,0.6,0.6139595873452247,0.3998075894849461,1109,13
4864,1,local,3.3,supported,0.65,0.6561400213585209,0.4521565732547659,1269,14
4864,1,local,3.3,supported,0.7,0.700332406074915,0.5099150978909208,1411,16
4864,1,local,3.3,supported,0.75,0.7520402519565136,0.5875236202309061,1660,17
4864,1,local,3.3,supported,0.7999999999999999,0.8053792560217968,0.6903011076270343,1963,19
4864,1,local,3.3,supported,0.85,0.8504859127048975,0.7972954226710606,2311,20
4864,1,local,3.3,supported,0.9,0.9008841053120388,0.9464000693374353,2772,22
4864,1,local,3.3,supported,0.95,0.9504584713520179,1.1485291785578375,3409,24
4864,1,local,3.3,supported,0.99,0.9907085639344911,1.4251758210934191,4278,25
4864,1,local,3.3,paper,0.05,0.2867228456129977,0.11091490881315128,240,5
4864,1,local,3.3,paper,0.1,0.41237277795024146,0.22557066346992827,486,10
4864,1,local,3.3,paper,0.15,0.49964760510663125,0.31132071076922957,726,13
4864,1,local,3.3,paper,0.2,0.5758960215820984,0.39076157169682574,972,15
4864,1,local,3.3,paper,0.25,0.6457795563288742,0.4795933699719768,1212,18
4864,1,local,3.3,paper,0.3,0.7081989965909065,0.5844189315392062,1458,22
4864,1,local,3.3,paper,0.35,0.7487453298368446,0.6573380195340958,1698,23
4864,1,local,3.3,paper,0.39999999999999997,0.7916375611202916,0.7438969133797081,1944,25
4864,1,local,3.3,paper,0.44999999999999996,0.8236541698305128,0.8302818355110848,2184,28
4864,1,local,3.3,paper,0.49999999999999994,0.8519830364300062,0.921319276931676,2430,30
4864,1,local,3.3,paper,0.5499999999999999,0.878935352030696,1.015960145907627,2670,33
4864,1,local,3.3,paper,0.6,0.9021080733276988,1.1000940243512545,2916,35
4864,1,local,3.3,paper,0.65,0.9241616384561658,1.19456886174654,3162,38
4864,1,local,3.3,paper,0.7,0.9382434247747715,1.2902660751051516,3402,41
4864,1,local,3.3,paper,0.75,0.9520917478959264,1.3890998852926062,3648,44
4864,1,local,3.3,paper,0.7999999999999999,0.9617312606508481,1.4472372364408481,3888,44
4864,1,local,3.3,paper,0.85,0.9729414874375848,1.5412745581428808,4134,46
4864,1,local,3.3,paper,0.9,0.9800878222121457,1.593487229321143,4374,44
4864,1,local,3.3,paper,0.95,0.9852416502948044,1.685795427195341,4620,45
4864,1,hot-cold,3.3,supported,0.05,0.09706124300214161,0.025312717801697856,66,1
4864,1,hot-cold,3.3,supported,0.1,0.13310920633752915,0.036366244888879476,107,1
4864,1,hot-cold,3.3,supported,0.15,0.15160274870889642,0.045401103361303374,137,1
4864,1,hot-cold,3.3,supported,0.2,0.22703041891815182,0.08342559660454668,249,2
4864,1,hot-cold,3.3,supported,0.25,0.30711811929498417,0.12800622349697702,384,3
4864,1,hot-cold,3.3,supported,0.3,0.30711811929498417,0.12800622349697702,384,3
4864,1,hot-cold,3.3,supported,0.35,0.39293287706853386,0.17957674466794216,539,4
4864,1,hot-cold,3.3,supported,0.39999999999999997,0.40939265577118233,0.18997863807389287,575,4
4864,1,hot-cold,3.3,supported,0.44999999999999996,0.45138400469387646,0.21703787680798298,648,5
4864,1,hot-cold,3.3,supported,0.49999999999999994,0.5059988199861162,0.2556002470964946,761,6
4864,1,hot-cold,3.3,supported,0.5499999999999999,0.5791833362198615,0.32004870771952987,959,7
4864,1,hot-cold,3.3,supported,0.6,0.62774164258614,0.3738541432077334,1122,8
4864,1,hot-cold,3.3,supported,0.65,0.6708051960621632,0.4255150566914321,1273,9
4864,1,hot-cold,3.3,supported,0.7,0.703971616589161,0.46957523104451854,1421,10
4864,1,hot-cold,3.3,supported,0.75,0.7592137857241043,0.5632300887166402,1706,11
4864,1,hot-cold,3.3,supported,0.7999999999999999,0.8159823631945957,0.6793583537419774,2059,14
4864,1,hot-cold,3.3,supported,0.85,0.8571041167467741,0.7842841790658239,2379,16
4864,1,hot-cold,3.3,supported,0.9,0.9013565039112355,0.9260194750751671,2809,19
4864,1,hot-cold,3.3,supported,0.95,0.9509494926680302,1.1589564215576833,3506,24
4864,1,hot-cold,3.3,supported,0.99,0.992902736401482,1.5028099270932922,4543,25
4864,1,hot-cold,3.3,paper,0.05,0.2101887567372631,0.08762138012955195,240,3
4864,1,hot-cold,3.3,paper,0.1,0.36156418685746616,0.17146363254423053,486,5
4864,1,hot-cold,3.3,paper,0.15,0.47635656014758465,0.259098407865603,726,6
4864,1,hot-cold,3.3,paper,0.2,0.5737404493117954,0.3431945127177709,972,7
4864,1,hot-cold,3.3,paper,0.25,0.6489596325027194,0.4260340537045012,1212,9
4864,1,hot-cold,3.3,paper,0.3,0.7070707297892598,0.4984969327702332,1458,10
4864,1,hot-cold,3.3,paper,0.35,0.752925824943551,0.5870088138375402,1698,11
4864,1,hot-cold,3.3,paper,0.39999999999999997,0.7924191646322222,0.668637880278536,1944,13
4864,1,hot-cold,3.3,paper,0.44999999999999996,0.8264424522132874,0.742964986927647,2184,14
4864,1,hot-cold,3.3,paper,0.49999999999999994,0.8528366416379587,0.8291666869871034,2430,16
4864,1,hot-cold,3.3,paper,0.5499999999999999,0.8766829470094907,0.9098863255774933,2670,18
4864,1,hot-cold,3.3,paper,0.6,0.8983171988601215,0.9818667254332706,2916,15
4864,1,hot-cold,3.3,paper,0.65,0.9151383111460543,1.0640839384228762,3162,17
4864,1,hot-cold,3.3,paper,0.7,0.934693833645448,1.1467925026893018,3402,18
