n,trial,spatial_mode,cv,paper_budget_fraction,paper_importance_fraction,paper_latency_ms,supported_importance_fraction,supported_latency_ms,supported_saving_pct,supported_strict_win
512,1,hot-cold,3.3,0.85,0.9875647683835564,0.15365953563355178,0.9931671948070321,0.14808020149570184,3.6309716249277035,True
512,1,hot-cold,3.3,0.9,0.991208256295631,0.17138176372225294,0.9931671948070321,0.14808020149570184,13.596290363958675,True
512,1,hot-cold,3.3,0.95,0.9941426392776,0.18921919530070466,0.9993943636044477,0.16400858133316737,13.323497083619296,True
512,2,random,3.3,0.05,0.13321358641936693,0.01772222808870116,0.24359317955600102,0.025312717801697856,-42.83033529986011,False
512,2,random,3.3,0.1,0.24152368131341964,0.03469514049026021,0.24359317955600102,0.025312717801697856,27.042469221867627,True
512,2,random,3.3,0.15,0.2461340794194435,0.02715029036004646,0.2621424229010254,0.02752398046365285,-1.3763760853044094,False
512,2,random,3.3,0.2,0.3975157305460011,0.046126013938176516,0.4284223579540815,0.04761784594776224,-3.234253043380808,False
512,2,random,3.3,0.25,0.47872622115762054,0.06309892633973557,0.6078991262367935,0.07027390863812309,-11.37100536347666,False
512,2,random,3.3,0.3,0.5279414715786918,0.06823528034031168,0.6078991262367935,0.07027390863812309,-2.987645522439575,False
512,2,random,3.3,0.35,0.6106024862467784,0.08486784525865448,0.7159461091493724,0.09020823742363174,-6.292597801559796,False
512,2,random,3.3,0.39999999999999997,0.6540996226287871,0.0911226076665695,0.7159461091493724,0.09020823742363174,1.00345047881375,True
512,2,random,3.3,0.44999999999999996,0.7162560009925131,0.1084189193644945,0.8556743745416283,0.11716064886521818,-8.06291886320576,False
512,2,random,3.3,0.49999999999999994,0.7277651748582151,0.09993362119489733,0.8556743745416283,0.11716064886521818,-17.238470360964442,False
512,2,random,3.3,0.5499999999999999,0.7970930829994293,0.1194934218419471,0.8556743745416283,0.11716064886521818,1.9522187420613402,True
512,2,random,3.3,0.6,0.8332524036577184,0.12354011267216486,0.8556743745416283,0.11716064886521818,5.16388051537211,True
512,2,random,3.3,0.65,0.8724477392949068,0.14126234076086602,0.8738915035410325,0.12168598107621731,13.85815892558957,True
512,2,random,3.3,0.7,0.8976230739166619,0.14530903159108377,0.9609379158018828,0.14442470166329024,0.6085856592053629,True
512,2,random,3.3,0.75,0.9395348045162702,0.16444510689662695,0.9609379158018828,0.14442470166329024,12.174521705849163,True
512,2,random,3.3,0.7999999999999999,0.9543505813627654,0.17014168484513859,0.9609379158018828,0.14442470166329024,15.115039683106291,True
512,2,random,3.3,0.85,0.9692395119333604,0.1757616703006873,0.9724093708627549,0.1484125196622847,15.560361136540502,True
512,2,random,3.3,0.9,0.9842556882473349,0.17001294547856613,0.9870580043791158,0.1538862032863823,9.48559660959286,True
512,2,random,3.3,0.95,0.9940296296103175,0.1738965989837847,0.9958779046176529,0.16020024845145747,7.876146291742236,True
512,2,local,3.3,0.05,0.5180294768493579,0.01772222808870116,0.7838904373950059,0.04737666425967259,-167.32905153092838,False
512,2,local,3.3,0.1,0.6662981075918957,0.048014673110305134,0.7838904373950059,0.04737666425967259,1.328778911327444,True
512,2,local,3.3,0.15,0.7214091811971861,0.05315102711088124,0.7838904373950059,0.04737666425967259,10.86406635033118,True
512,2,local,3.3,0.2,0.7590051062249681,0.046126013938176516,0.7838904373950059,0.04737666425967259,-2.711377408792237,False
512,2,local,3.3,0.25,0.8310159153736881,0.06538180843149552,0.9195969571558681,0.07253244202679991,-10.93673265828452,False
512,2,local,3.3,0.3,0.8929088301259129,0.08250736750577528,0.9195969571558681,0.07253244202679991,12.089739111209862,True
512,2,local,3.3,0.35,0.9120898670477245,0.08715072735041443,0.9195969571558681,0.07253244202679991,16.773566633399994,True
512,2,local,3.3,0.39999999999999997,0.9233414285751406,0.09246285066967647,0.9246983440888085,0.0744959530634675,19.43147704843723,True
512,2,local,3.3,0.44999999999999996,0.9327685839263572,0.09687116872934806,0.9550968582572691,0.08937641366794595,7.736827334397079,True
512,2,local,3.3,0.49999999999999994,0.9493762904659636,0.11544905957548784,0.9550968582572691,0.08937641366794595,22.583679766134402,True
512,2,local,3.3,0.5499999999999999,0.9683712198004404,0.13450517967729453,0.9705465777825697,0.09803663628308126,27.11311451477837,True
512,2,local,3.3,0.6,0.9758081021910444,0.1292098142311972,0.9848280941863606,0.11653804479141988,9.80712611899861,True
512,2,local,3.3,0.65,0.9772506173808674,0.13720743018868078,0.9848280941863606,0.11653804479141988,15.064333883986746,True
512,2,local,3.3,0.7,0.9807958635678798,0.14439402384728137,0.9848280941863606,0.11653804479141988,19.29164262734545,True
512,2,local,3.3,0.75,0.9842678476438281,0.1628730331138676,0.9848280941863606,0.11653804479141988,28.44853284586041,True
512,2,local,3.3,0.7999999999999999,0.9849324008806853,0.1623392048427565,0.9874875387386176,0.12050431964851946,25.77004441703331,True
512,2,local,3.3,0.85,0.985093993239984,0.17302935504792538,0.9874875387386176,0.12050431964851946,30.3561412367616,True
512,2,local,3.3,0.9,0.9878806097785181,0.15954851432359302,0.9879584556066253,0.12142221699213251,23.896366251417124,True
512,2,local,3.3,0.95,0.9893810880736299,0.17533570624402023,0.9912443645820778,0.13039203034873623,25.632928316799585,True
512,2,hot-cold,3.3,0.05,0.3109235760981443,0.01772222808870116,0.5453520798603919,0.022746173773761404,-28.348273478453144,False
512,2,hot-cold,3.3,0.1,0.5122750560558053,0.03469514049026021,0.5453520798603919,0.022746173773761404,34.439885665985926,True
512,2,hot-cold,3.3,0.15,0.6290047195828704,0.040064593373616786,0.7784000198508492,0.041725878003696856,-4.146515639352666,False
512,2,hot-cold,3.3,0.2,0.7176441461832941,0.04537671669287882,0.7784000198508492,0.041725878003696856,8.045621092182076,True
512,2,hot-cold,3.3,0.25,0.7783569617555868,0.04978503475255042,0.7784000198508492,0.041725878003696856,16.187910260403505,True
512,2,hot-cold,3.3,0.3,0.8432958262571447,0.08007747977415439,0.9305409389233965,0.07477158748114617,6.625948154178474,True
