trial,target_cv,spatial_mode,budget_fraction,q,two_line_ms,gap_to_max_q_pct
0,1.25,hot-cold,0.875,131072,1.3120136378981326,0.0
0,1.44,random,0.125,1024,0.2185911678552734,0.0
0,1.44,random,0.125,4096,0.2185911678552734,0.0
0,1.44,random,0.125,16384,0.2185911678552734,0.0
0,1.44,random,0.125,65536,0.2185911678552734,0.0
0,1.44,random,0.125,131072,0.2185911678552734,0.0
0,1.44,random,0.25,1024,0.4154982548004502,2.09904291886549
0,1.44,random,0.25,4096,0.414282485139928,1.8002957705562261
0,1.44,random,0.25,16384,0.4069560721843711,2.220446049250313e-14
0,1.44,random,0.25,65536,0.4069560721843711,2.220446049250313e-14
0,1.44,random,0.25,131072,0.4069560721843711,2.220446049250313e-14
0,1.44,random,0.375,1024,0.6583342362352436,8.569678593837061
0,1.44,random,0.375,4096,0.6063702543489099,4.440892098500626e-14
0,1.44,random,0.375,16384,0.6063702543489099,4.440892098500626e-14
0,1.44,random,0.375,65536,0.6063702543489099,4.440892098500626e-14
0,1.44,random,0.375,131072,0.6063702543489099,4.440892098500626e-14
0,1.44,random,0.5,1024,0.9049265109679362,8.251011993981393
0,1.44,random,0.5,4096,0.8818220631318582,5.487163405721596
0,1.44,random,0.5,16384,0.8818220631318582,5.487163405721596
0,1.44,random,0.5,65536,0.8359520103315515,2.220446049250313e-14
0,1.44,random,0.5,131072,0.8359520103315515,2.220446049250313e-14
0,1.44,random,0.625,1024,1.0032669105695946,2.322538843219668
0,1.44,random,0.625,4096,0.9804945439311445,2.220446049250313e-14
0,1.44,random,0.625,16384,0.9804945439311445,2.220446049250313e-14
0,1.44,random,0.625,65536,0.9804945439311445,2.220446049250313e-14
0,1.44,random,0.625,131072,0.9804945439311445,2.220446049250313e-14
0,1.44,random,0.75,1024,1.1806264499503818,0.0
0,1.44,random,0.75,4096,1.1806264499503818,0.0
0,1.44,random,0.75,16384,1.1806264499503818,0.0
0,1.44,random,0.75,65536,1.1806264499503818,0.0
0,1.44,random,0.75,131072,1.1806264499503818,0.0
0,1.44,random,0.875,1024,1.3684346947562012,0.8335588456819698
0,1.44,random,0.875,4096,1.3636286723965936,0.4794255134388248
0,1.44,random,0.875,16384,1.357122281928465,0.0
0,1.44,random,0.875,65536,1.357122281928465,0.0
0,1.44,random,0.875,131072,1.357122281928465,0.0
0,1.44,local,0.125,1024,0.26368583259345213,0.8685609220051127
0,1.44,local,0.125,4096,0.26141528161321015,0.0
0,1.44,local,0.125,16384,0.26141528161321015,0.0
0,1.44,local,0.125,65536,0.26141528161321015,0.0
