n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,importance,two_line_ms,two_line_efficiency,exact_importance,exact_two_line_ms,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,1,local,1,0.5,9,rho2_mu16,Exp24 rho2/mu16,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,1,0.5,9,rho3_mu8,Exp24 rho3/mu8,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,1,0.5,9,rho3_mu16,Exp24 rho3/mu16,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,1,0.5,9,rho4_mu16,Exp24 rho4/mu16,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,1,0.5,9,rho4_mu32,Exp24 rho4/mu32,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,2,0.75,14,top_r,Top-R,1.0000000209365938,0.07662771455970267,13.050108915325504,1.0000000199160373,0.07287157324304035,13.722772480578262,0.9509819487130043,4.901805128699566,True,False,
18,1,local,2,0.75,14,rho2_mu4,Exp24 rho2/mu4,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho2_mu8,Exp24 rho2/mu8,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho2_mu16,Exp24 rho2/mu16,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho3_mu8,Exp24 rho3/mu8,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho3_mu16,Exp24 rho3/mu16,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho4_mu16,Exp24 rho4/mu16,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,local,2,0.75,14,rho4_mu32,Exp24 rho4/mu32,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0000000199160373,0.07287157324304035,13.722772480578262,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,top_r,Top-R,0.9998785705829505,0.03772308542299196,26.50574732610635,0.9997522844270303,0.026642468538838122,37.52476175282478,0.7063535139996207,29.364648600037935,True,False,
18,1,hot-cold,0,0.25,4,rho2_mu4,Exp24 rho2/mu4,0.9997522844270303,0.026642468538838122,37.52476175282478,0.9997522844270303,0.026642468538838122,37.52476175282478,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,rho2_mu8,Exp24 rho2/mu8,0.9997522844270303,0.026642468538838122,37.52476175282478,0.9997522844270303,0.026642468538838122,37.52476175282478,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,rho2_mu16,Exp24 rho2/mu16,0.9997522844270303,0.026642468538838122,37.52476175282478,0.9997522844270303,0.026642468538838122,37.52476175282478,1.0,0.0,True,False,
18,1,hot-cold,0,0.25,4,rho3_mu8,Exp24 rho3/mu8,0.9997522844270303,0.026642468538838122,37.52476175282478,0.9997522844270303,0.026642468538838122,37.52476175282478,1.0,0.0,True,False,
