track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,896x4864,896,4864,9.5,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.28397574999999997,0.4651746624999995,0.5143238499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x4864,896,4864,9.5,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009933250000000001,0.016141937499999974,0.0179779999999999,-68.2359584517019,-71.82122991094735,0.0,-65.45065871257162,0.0,10.671133323146462,1.0,-285.4139251889219,-236.6971372012925,0.0,0.0,-2.006260153527752,-0.273123,0.0,0.0,0.0,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2691905,0.5059729875,0.5517357499999999,-0.6174876943249533,0.2552772153116667,0.5416666666666666,2.732851123671456,0.8333333333333334,-2.7742141670934557,0.010416666666666666,2.140316702536312,1.7199618364553082,0.8125,0.010416666666666666,0.014578507111956324,-0.013795750000000051,0.6770833333333334,8.0,539.9895833333334,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho2_mu8,Exp24 rho2/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3343974999999999,0.5107183875,0.6539672499999996,1.2414448144583268,1.5729043413239552,0.7291666666666666,4.720865203555689,0.9583333333333334,-1.0752411014167451,0.15625,2.2497932479072484,2.105923952696176,0.8541666666666666,0.13541666666666666,0.017849946824920724,0.059721750000000004,0.25,16.0,204.29166666666666,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho2_mu16,Exp24 rho2/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.502419,0.740610025,0.90286755,3.2474755131948663,3.058472737653861,1.0,7.764544217706671,1.0,-1.308193614664754,0.2916666666666667,4.399974117230182,3.8382078165440148,1.0,0.2916666666666667,0.032532896233309364,0.21694800000000003,0.0,32.0,15.947916666666666,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho3_mu8,Exp24 rho3/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4959395,0.8114545499999999,1.05759125,1.2660976447069203,1.5729043413239552,0.7395833333333334,4.778417490000715,0.9583333333333334,-1.0950471560104076,0.15625,2.2926245500972704,2.129640109508679,0.8645833333333334,0.13541666666666666,0.018050966494910642,0.22100275000000003,0.0,24.0,313.78125,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho3_mu16,Exp24 rho3/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7313065000000001,1.1113279749999998,1.6181501,3.254689462496515,3.058472737653861,1.0,7.777750075996532,1.0,-1.3209882574680596,0.2916666666666667,4.419074220887801,3.851499076740872,1.0,0.2916666666666667,0.032645553809308996,0.4493170000000001,0.0,48.0,24.916666666666668,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho4_mu16,Exp24 rho4/mu16,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,0.9207155,1.3071120625,2.0107545,3.254689462496515,3.058472737653861,1.0,7.777750075996532,1.0,-1.3209882574680596,0.2916666666666667,4.419074220887801,3.851499076740872,1.0,0.2916666666666667,0.032645553809308996,0.6444467500000001,0.0,64.0,33.885416666666664,0.0,0.0,0.0
host,896x4864,896,4864,9.5,rho4_mu32,Exp24 rho4/mu32,96,96,1.0,1.0,0.9270833333333334,0.9270833333333334,1.0,0.0,0.0,1.546185,2.221851725,2.8237886,3.258777569437101,3.058472737653861,1.0,7.779664852493913,1.0,-1.3202048972931995,0.2916666666666667,4.422101907087534,3.854203161849701,1.0,0.2916666666666667,0.032668473808552374,1.26128925,0.0,128.0,32.770833333333336,0.0,0.0,0.0
cuda,896x4864,896,4864,9.5,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.31010425,0.49988753749999976,0.7180728999999986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x4864,896,4864,9.5,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0375,0.0547585749999999,0.0723603999999999,-68.2359584517019,-71.82122991094735,0.0,-65.45065871257162,0.0,10.671133323146462,1.0,-285.4139251889219,-236.6971372012925,0.0,0.0,-2.006260153527752,-0.27278225,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x4864,896,4864,9.5,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.347925,0.6188299875,0.9068495499999996,-0.6174876943249533,0.2552772153116667,0.5416666666666666,2.732851123671456,0.8333333333333334,-2.7742141670934557,0.010416666666666666,2.140316702536312,1.7199618364553082,0.8125,0.010416666666666666,0.014578507111956324,0.04158025000000004,0.28125,8.0,539.9895833333334,0.0,0.0,0.0
