trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms
0,3.3,random,0.9,0.9,0.9000708693894808,4032,5,1.0415230362230983,17.253919,15214.883317
0,3.3,random,0.95,0.95,0.950067914783455,4454,2,1.111772078239478,10.721215,15214.883317
0,3.3,random,0.99,0.99,0.9901757732338552,4757,1,1.1749068913258858,5.619336,15214.883317
0,3.3,local,0.1,0.1,0.10034536996469359,19,1,0.015649659012556456,8.574301,14210.458097
0,3.3,local,0.3,0.3,0.30018852410187297,169,4,0.0853531574949577,9.019814,14210.458097
0,3.3,local,0.5,0.5,0.5001925676298024,448,10,0.21962203671417557,11.461289,14210.458097
0,3.3,local,0.7,0.7,0.700016518464808,1194,13,0.43515021026174017,9.478091,14210.458097
0,3.3,local,0.9,0.9,0.9000694008225915,2591,12,0.7659564906657466,16.713809,14210.458097
0,3.3,local,0.95,0.95,0.9500435447578349,3177,13,0.9203353288090876,6.577367,14210.458097
0,3.3,local,0.99,0.99,0.9900327276998618,4330,5,1.1144353737556798,14.469834,14210.458097
0,3.3,hot-cold,0.1,0.1,0.10045074650345195,85,1,0.031798029070108105,16.530797,14917.865299
0,3.3,hot-cold,0.3,0.3,0.3001540496576387,361,1,0.09932757658350592,8.294899,14917.865299
0,3.3,hot-cold,0.5,0.5,0.5026900563972171,662,1,0.17297393093688546,13.272224,14917.865299
0,3.3,hot-cold,0.7,0.7,0.7000334210547091,1260,1,0.31928795054924736,14.271103,14917.865299
0,3.3,hot-cold,0.9,0.9,0.9008864710321797,2454,1,0.6114266452267727,10.579941,14917.865299
0,3.3,hot-cold,0.95,0.95,0.9500019797063488,3072,1,0.76263411031112,10.565835,14917.865299
0,3.3,hot-cold,0.99,0.99,0.9900133219616972,4248,1,1.0503687040638585,7.874653,14917.865299
0,4.55,random,0.1,0.09999999999999999,0.1001332771305265,25,4,0.05012035009666318,10.532543,13036.152346
0,4.55,random,0.3,0.29999999999999993,0.3001517027801305,604,6,0.2137873681389798,9.191115,13036.152346
0,4.55,random,0.5,0.49999999999999994,0.5001212406594626,1387,9,0.4383684158097173,8.731535,13036.152346
0,4.55,random,0.7,0.6999999999999998,0.7000187482366776,2543,7,0.6992077924621297,9.105044,13036.152346
0,4.55,random,0.9,0.8999999999999999,0.9001275762408226,3909,5,1.0114283465703884,9.004956,13036.152346
0,4.55,random,0.95,0.9499999999999998,0.9501174161120223,4367,3,1.101486476250512,8.319385,13036.152346
0,4.55,random,0.99,0.9899999999999999,0.9900661612309662,4732,2,1.1797909703000744,6.891445,13036.152346
0,4.55,local,0.1,0.09999999999999999,0.1003477471057916,14,1,0.014426297644560118,15.783951,13040.576729
