trial,target_cv,spatial_mode,coverage_target,target_importance,q,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask
0,3.3,random,0.1,0.1,32768,0.1000264289344312,1693,1,1.6679215226284096,5.576419,0.10097710939462716,44,44,0.5271012959769675,0.079158,0.1000004780109957,114,32,0.4635989028147181,8.829978,6834.281922,6843.1119,496.9929724285714,False
0,3.3,random,0.3,0.3,32768,0.3000438556692805,5360,1,5.256774431782465,4.793977,0.30018758138053514,421,408,4.900389520922679,0.051075,0.3000121817912284,1766,111,2.949463266078074,9.872426,6834.281922,6844.154348,498.03542042857146,False
0,3.3,random,0.5,0.5,32768,0.5000146759996096,9120,1,8.936645426715447,4.068312,0.5000581865076312,1302,1213,14.618327693493649,0.054612,0.5000294955951371,4754,155,6.357825255960669,6.984881,6834.281922,6841.266803,495.1478754285714,False
0,3.3,random,0.7,0.7,32768,0.7000185952031672,12981,1,12.715364020182534,3.516561,0.7000247518745322,3253,2688,32.75405669256364,0.083356,0.7000296806632276,9002,148,10.438290328261669,5.949837,6834.281922,6840.231759,494.11283142857144,False
0,3.3,random,0.9,0.9,32768,0.9000352021498115,16895,1,16.545953135652663,2.671091,0.9000073963621638,8108,4631,58.88031338279444,0.108202,0.900048514803525,14685,87,15.329126417057955,4.841917,6834.281922,6839.123839,493.00491142857146,False
0,3.3,random,0.95,0.95,32768,0.9500186203030723,17931,1,17.55987503744803,2.463683,0.9500021457638674,10854,4638,61.64479983670799,0.110206,0.9500190600640953,16534,55,16.786694206543967,4.605004,6834.281922,6838.886926,492.76799842857145,False
0,3.3,random,0.99,0.99,32768,0.9900761473575399,18726,1,18.3379328674937,2.324042,0.9900031452321374,15291,2965,47.58276138144075,0.095909,0.990014533500252,18348,16,18.133001677025856,4.342143,6834.281922,6838.624065,492.50513742857146,False
0,3.3,random,0.1,0.1,65536,0.1000264289344312,1693,1,1.6679215226284096,5.576419,0.10097710939462716,44,44,0.5271012959769675,0.079158,0.1000004780109957,114,32,0.4635989028147181,15.67066,13836.80026,13852.47092,1004.0135357142857,False
0,3.3,random,0.3,0.3,65536,0.3000438556692805,5360,1,5.256774431782465,4.793977,0.30018758138053514,421,408,4.900389520922679,0.051075,0.30002361732684724,1766,111,2.949463266078074,14.270834,13836.80026,13851.071094,1002.6137097142857,False
0,3.3,random,0.5,0.5,65536,0.5000146759996096,9120,1,8.936645426715447,4.068312,0.5000581865076312,1302,1213,14.618327693493649,0.054612,0.50000468475979,4742,156,6.35708187264206,12.495096,13836.80026,13849.295356,1000.8379717142857,False
0,3.3,random,0.7,0.7,65536,0.7000185952031672,12981,1,12.715364020182534,3.516561,0.7000247518745322,3253,2688,32.75405669256364,0.083356,0.7000096869514629,9024,146,10.437819716710063,10.601108,13836.80026,13847.401368,998.9439837142857,False
0,3.3,random,0.9,0.9,65536,0.9000352021498115,16895,1,16.545953135652663,2.671091,0.9000073963621638,8108,4631,58.88031338279444,0.108202,0.9000049328783302,14683,87,15.327169038869155,8.566726,13836.80026,13845.366985999999,996.9096017142857,False
0,3.3,random,0.95,0.95,65536,0.9500186203030723,17931,1,17.55987503744803,2.463683,0.9500021457638674,10854,4638,61.64479983670799,0.110206,0.9500141875260365,16534,55,16.786694206543952,8.092381,13836.80026,13844.892641,996.4352567142857,False
0,3.3,random,0.99,0.99,65536,0.9900761473575399,18726,1,18.3379328674937,2.324042,0.9900031452321374,15291,2965,47.58276138144075,0.095909,0.9900193811816607,18347,16,18.13202298793146,7.750391,13836.80026,13844.550651,996.0932667142857,False
0,3.3,random,0.1,0.1,131072,0.1000264289344312,1693,1,1.6679215226284096,5.576419,0.10097710939462716,44,44,0.5271012959769675,0.079158,0.1000004780109957,114,32,0.4635989028147181,25.964913,27015.802547,27041.76746,1955.6650949285713,False
0,3.3,random,0.3,0.3,131072,0.3000438556692805,5360,1,5.256774431782465,4.793977,0.30018758138053514,421,408,4.900389520922679,0.051075,0.30002361732684724,1766,111,2.949463266078074,24.042191,27015.802547,27039.844738,1953.7423729285713,False
0,3.3,random,0.5,0.5,131072,0.5000146759996096,9120,1,8.936645426715447,4.068312,0.5000581865076312,1302,1213,14.618327693493649,0.054612,0.50000468475979,4742,156,6.35708187264206,21.139067,27015.802547,27036.941614,1950.8392489285714,False
0,3.3,random,0.7,0.7,131072,0.7000185952031672,12981,1,12.715364020182534,3.516561,0.7000247518745322,3253,2688,32.75405669256364,0.083356,0.7000096869514629,9024,146,10.437819716710063,17.83844,27015.802547,27033.640987,1947.5386219285713,False
0,3.3,random,0.9,0.9,131072,0.9000352021498115,16895,1,16.545953135652663,2.671091,0.9000073963621638,8108,4631,58.88031338279444,0.108202,0.9000049328783302,14683,87,15.327169038869155,14.270694,27015.802547,27030.073241,1943.9708759285713,False
0,3.3,random,0.95,0.95,131072,0.9500186203030723,17931,1,17.55987503744803,2.463683,0.9500021457638674,10854,4638,61.64479983670799,0.110206,0.9500092098475101,16522,56,16.785950823225374,13.472602,27015.802547,27029.275149,1943.1727839285713,False
0,3.3,random,0.99,0.99,131072,0.9900761473575399,18726,1,18.3379328674937,2.324042,0.9900031452321374,15291,2965,47.58276138144075,0.095909,0.9900083160493344,18358,15,18.131787682155664,12.832016,27015.802547,27028.634563,1942.5321979285713,False
0,3.3,local,0.1,0.09999999999999999,1024,0.10008490766166729,559,1,0.5580880895821324,5.438672,0.10097710939462716,44,21,0.2740809222510489,0.070581,0.10116598638995894,67,5,0.12057659839545538,0.17623,58.248153,58.424383,4.336812357142858,False
0,3.3,local,0.3,0.29999999999999993,1024,0.30002686657215283,3326,1,3.2661208137788247,4.812231,0.30018758138053514,421,130,1.842143264583315,0.054051,0.30078291528284606,539,25,0.8025355672342721,0.082785,58.248153,58.330938,4.243367357142858,False
0,3.3,local,0.5,0.49999999999999994,1024,0.5001197223350996,7771,1,7.6163938383738,4.073741,0.5000581865076312,1302,310,4.684527803297801,0.049713,0.9999999999999999,18944,1,18.55128709007226,0.06961,58.248153,58.317763,4.230192357142857,True
