method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,nonselector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,fallback_rate,cell_count,length_factor
c2_l4,C2 · 4s,11,0.65,189,0.7877760000877752,0.09895369047619047,0.6888223096115847,0.36990433815058577,0.08070636520940785,0.6898570590549045,0.6498501542512938,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,12,0.7,189,0.8262402147458296,0.10293459788359786,0.7233056168622318,0.3374532066980406,0.06703440537528381,0.7352273461049196,0.6999906040466426,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,13,0.75,189,0.8406920767629613,0.10032874867724866,0.7403633280857126,0.3002848780920936,0.05448220236591556,0.7811223038289913,0.75,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,14,0.8,189,0.8989202331016198,0.10123212962962962,0.7976881034719903,0.2637008366386884,0.04260753544550089,0.82704347592813,0.8000093959533574,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,15,0.85,189,0.9693065210199164,0.10239823809523808,0.8669082829246783,0.2283649051527458,0.03245647117574374,0.8698749267865741,0.8501498457487062,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,16,0.9,189,1.003429942408059,0.10272877248677248,0.9007011699212865,0.18629658359802626,0.0221803469001931,0.9136684221565408,0.8998501542512938,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,17,0.95,189,1.0327539498601042,0.09802283333333331,0.9347311165267708,0.12539241111359342,0.010654653821672662,0.9579942935989016,0.9499906040466426,1.0,0.0,2.0,4.0
c4_l1,C4 · 1s,0,0.1,189,0.3066398067206327,0.09010899735449734,0.21653080936613534,0.7653822035444949,0.37480547756114335,0.14445518836300206,0.10014984574870615,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,1,0.15,189,0.3554581851702169,0.09224874074074073,0.2632094444294761,0.7148264372258117,0.31524726669624364,0.1991079077518806,0.1498501542512938,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,2,0.2,189,0.407728849343895,0.09889967724867724,0.3088291720952177,0.6695489814534547,0.27409561222823203,0.25496019367818473,0.19999060404664257,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,3,0.25,189,0.4447292168694003,0.09986194444444443,0.34486727242495585,0.6145141556977279,0.22827428011667156,0.31626926086567064,0.25,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,4,0.3,189,0.4874554605076827,0.10097341798941797,0.38648204251826473,0.5824786834517326,0.2032691637674967,0.3682224422535568,0.3000093959533574,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,5,0.35,189,0.5300338942071215,0.10330505555555554,0.42672883865156597,0.5407865240420929,0.17460329665078053,0.42136759906218796,0.3501498457487061,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,6,0.4,189,0.5781980871667045,0.10413876190476189,0.47405932526194255,0.5110486038423404,0.15414776026256496,0.4705249384912864,0.3998501542512938,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,7,0.45,189,0.6021109946005848,0.10597165343915342,0.4961393411614314,0.4761901791330683,0.13408876443035384,0.5203890563949706,0.4499906040466426,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,8,0.5,189,0.6445477803610415,0.11105492592592592,0.5334928544351155,0.44522655846935416,0.11892244077864143,0.5658864252781742,0.5,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,9,0.55,189,0.6981776295931166,0.11276380952380952,0.5854138200693071,0.41166410966722106,0.10234186762855163,0.6149345671058332,0.5500093959533574,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,10,0.6,189,0.745174211627307,0.110274291005291,0.6348999206220161,0.37127891058230367,0.08456323481110666,0.6634538299822933,0.6001498457487062,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,11,0.65,189,0.7850286561793556,0.11122039153439152,0.673808264644964,0.3396157652100243,0.07101787019658967,0.7083799725487119,0.6498501542512938,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,12,0.7,189,0.8415794128582524,0.11575797354497354,0.7258214393132789,0.3048190267524982,0.05778040362413593,0.7532369027692805,0.6999906040466426,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,13,0.75,189,0.8506011534072074,0.10993370370370369,0.7406674497035038,0.2734702424116669,0.04754163348485548,0.7953424633495392,0.75,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,14,0.8,189,0.9179442437701733,0.1160916798941799,0.8018525638759934,0.23706607403795393,0.0360967185762193,0.8403486335088336,0.8000093959533574,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,15,0.85,189,0.9723970765747639,0.11826671164021162,0.8541303649345523,0.20210347539700918,0.026618164683145144,0.8817813282921201,0.8501498457487062,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,16,0.9,189,1.0222975455328995,0.11711605820105819,0.9051814873318412,0.16285907657368587,0.01760300126656018,0.922799356715389,0.8998501542512938,1.0,0.0,4.0,1.0
c4_l1,C4 · 1s,17,0.95,189,1.054584425833024,0.11577893915343915,0.9388054866795849,0.11164733468094176,0.0084779681982817,0.9623186600902093,0.9499906040466426,1.0,0.0,4.0,1.0
c4_l2,C4 · 2s,0,0.1,189,0.30765614539604275,0.09125566137566136,0.21640048402038134,0.7787881016475026,0.3899172396256179,0.14041996163823614,0.10014984574870615,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,1,0.15,189,0.34217002119535334,0.09259205820105817,0.2495779629942951,0.7252697970757567,0.3245031565585464,0.19584204997650526,0.1498501542512938,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,2,0.2,189,0.38938611117512495,0.09317646825396825,0.29620964292115665,0.686847458411225,0.2869569463704629,0.2494207214583795,0.19999060404664257,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,3,0.25,189,0.42994797614000807,0.09580987037037036,0.3341381057696377,0.6368247223475938,0.24146609962301907,0.3047598299210664,0.25,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,4,0.3,189,0.47591391297470576,0.09679268783068783,0.3791212251440179,0.597925355579093,0.21282234551414608,0.3567945944569098,0.3000093959533574,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,5,0.35,189,0.5216000793037486,0.10019174338624336,0.4214083359175053,0.5573532665099101,0.18318732390328055,0.4106802519351717,0.3501498457487061,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,6,0.4,189,0.5701379232057532,0.10279339417989418,0.467344529025859,0.526370563637958,0.16227556883342678,0.4603410642298441,0.3998501542512938,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,7,0.45,189,0.6048433067277642,0.10227149206349205,0.5025718146642721,0.48542275094481374,0.13898919719867603,0.5102008637927827,0.4499906040466426,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,8,0.5,189,0.6352827750217092,0.10274976719576719,0.5325330078259419,0.45774570664282516,0.12351448163784366,0.5542248995215805,0.5,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,9,0.55,189,0.6931205398543846,0.10826807142857141,0.5848524684258131,0.4234067131937654,0.10694726938923826,0.6042296375547137,0.5500093959533574,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,10,0.6,189,0.7415314683242821,0.10579197354497354,0.6357394947793086,0.38899823802981587,0.09060628294314023,0.6518809234023725,0.6001498457487062,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,11,0.65,189,0.782422907307201,0.10831655026455025,0.6741063570426507,0.35120440602657343,0.0747152175852861,0.7008510465344424,0.6498501542512938,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,12,0.7,189,0.8313911459465099,0.10929475396825396,0.722096391978256,0.3187989942093808,0.06140367600022166,0.7454682610653065,0.6999906040466426,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,13,0.75,189,0.848517560980507,0.10798615343915342,0.7405314075413536,0.2845593193945075,0.050088828518277076,0.7902793385995128,0.75,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,14,0.8,189,0.8996374608264556,0.10920896560846559,0.79042849521799,0.24786568603049663,0.03834721304121467,0.8354562707048244,0.8000093959533574,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,15,0.85,189,0.9770499844697708,0.1137643968253968,0.8632855876443739,0.21017445212170952,0.02812862459313928,0.8791137832813162,0.8501498457487062,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,16,0.9,189,1.0058377626001314,0.11025711904761903,0.8955806435525124,0.16899867023085116,0.01872644727192223,0.9204577983371796,0.8998501542512938,1.0,0.0,4.0,2.0
c4_l2,C4 · 2s,17,0.95,189,1.050224613873492,0.10958376719576719,0.940640846677725,0.11532792885462557,0.00887777092595575,0.9611079342781551,0.9499906040466426,1.0,0.0,4.0,2.0
c4_l3,C4 · 3s,0,0.1,189,0.3045535951968986,0.0907047037037037,0.2138488914931949,0.7832381673965347,0.3979242765714252,0.1387454495622367,0.10014984574870615,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,1,0.15,189,0.34418630683808726,0.08941268783068783,0.2547736190073994,0.7389677480828983,0.33658966027870374,0.1913449522994813,0.1498501542512938,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,2,0.2,189,0.38989000008653457,0.09409588888888888,0.2957941111976457,0.6905972442082154,0.28899892770424085,0.24779303017116724,0.19999060404664257,1.0,0.0,4.0,3.0
c4_l3,C4 · 3s,3,0.25,189,0.4332285713490169,0.09511707936507935,0.3381114919839375,0.6466726158701238,0.24785276600923484,0.3014108962798244,0.25,1.0,0.0,4.0,3.0
