method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,cell_count,length_factor,projection_path_ms
c2_l3,C2 · 3s,13,0.75,9,6.558536900414361,0.07337963146467999,5.552032232284546,0.9427085651291741,0.75,0,2.0,3.0,0.8339723835492238
c2_l3,C2 · 3s,14,0.8,9,4.221130384339227,0.20588260226779512,3.2644567357169256,0.8178688486417135,0.8000093959533573,0,2.0,3.0,0.8979686379064816
c2_l3,C2 · 3s,15,0.85,9,2.9300105571746826,0.30542267196708256,2.0763270457585654,0.7502279612753127,0.8501498457487061,0,2.0,3.0,0.972161262014677
c2_l3,C2 · 3s,16,0.9,9,1.8020134038395352,0.4400482972462972,1.1160516871346369,0.6427977316909366,0.8998501542512939,0,2.0,3.0,0.9970472329684654
c2_l3,C2 · 3s,17,0.95,9,0.6114107072353363,0.6526654859383901,0.17087431748708087,0.41428595119052464,0.9499906040466427,0,2.0,3.0,1.0313971270494944
c2_l4,C2 · 4s,0,0.1,9,14.123124334547255,0.0,12.506820890638563,1.2486941814422607,0.10014984574870617,0,2.0,4.0,0.300675798914816
c2_l4,C2 · 4s,1,0.15,9,12.369749493069119,0.008547008865409423,11.031506114535862,1.379889514711168,0.14985015425129372,0,2.0,4.0,0.34382470367799517
c2_l4,C2 · 4s,2,0.2,9,12.251470459832085,0.010989011161857179,11.11299663119846,1.4327281713485718,0.19999060404664257,0,2.0,4.0,0.39013667986332323
c2_l4,C2 · 4s,3,0.25,9,12.0254275004069,0.0026455026947789667,10.668790976206461,1.2645022471745808,0.25,0,2.0,4.0,0.4251599470097864
c2_l4,C2 · 4s,4,0.3,9,11.833993381924099,0.011080439409448032,10.59231334262424,1.4561125040054321,0.30000939595335735,0,2.0,4.0,0.4795116299084907
c2_l4,C2 · 4s,5,0.35,9,12.407370567321777,0.013074888537327444,11.319270239935982,1.5055072042677138,0.3501498457487061,0,2.0,4.0,0.528129428450404
c2_l4,C2 · 4s,6,0.4,9,12.437981923421225,0.012283498628271945,11.148065672980415,1.3800118035740323,0.3998501542512938,0,2.0,4.0,0.5800532405243405
c2_l4,C2 · 4s,7,0.45,9,11.822261333465576,0.015163533286088021,10.922254138522678,1.3788642287254333,0.4499906040466426,0,2.0,4.0,0.6017940264331468
c2_l4,C2 · 4s,8,0.5,9,12.095742225646973,0.01378543602509629,11.027299986945259,1.5614736808670893,0.5,0,2.0,4.0,0.6381379892478715
c2_l4,C2 · 4s,9,0.55,9,10.934185240003798,0.025484171592526934,10.003460778130425,1.399513648615943,0.5500093959533574,0,2.0,4.0,0.6935051878863803
c2_l4,C2 · 4s,10,0.6,9,11.565415488349068,0.02098759170621631,10.752134217156303,1.5283507704734802,0.6001498457487062,0,2.0,4.0,0.7359277538300173
c2_l4,C2 · 4s,11,0.65,9,8.47775936126709,0.03993338636226122,7.520242108239068,1.1894545025295682,0.6498501542512938,0,2.0,4.0,0.7877760000877752
c2_l4,C2 · 4s,12,0.7,9,7.277977042728001,0.06221933590455184,6.3487184047698975,1.0181664890713162,0.6999906040466426,0,2.0,4.0,0.8262402147458296
c2_l4,C2 · 4s,13,0.75,9,6.278568744659424,0.09778136946260924,5.17677656809489,0.92763352394104,0.75,0,2.0,4.0,0.8406920767629613
c2_l4,C2 · 4s,14,0.8,9,4.600998613569471,0.1682250102361043,3.6248965660730996,0.8381830255190531,0.8000093959533573,0,2.0,4.0,0.8989202331016198
c2_l4,C2 · 4s,15,0.85,9,3.1344507998890347,0.2743519023060798,2.264806416299608,0.7903497119744619,0.8501498457487061,0,2.0,4.0,0.9693065210199164
c2_l4,C2 · 4s,16,0.9,9,2.132528132862515,0.37876713275909424,1.4465682903925579,0.6821675532393985,0.8998501542512939,0,2.0,4.0,1.003429942408059
c2_l4,C2 · 4s,17,0.95,9,0.6332790404558182,0.6683943735228645,0.2520851161744859,0.4345772547854317,0.9499906040466427,0,2.0,4.0,1.0327539498601042
c4_l1,C4 · 1s,0,0.1,9,12.944340070088705,0.0026455026947789667,11.558211538526747,1.3571430842081706,0.10014984574870617,0,4.0,1.0,0.3066398067206327
c4_l1,C4 · 1s,1,0.15,9,12.48125574323866,0.0006422607435120444,11.373207939995659,1.4416240851084392,0.14985015425129372,0,4.0,1.0,0.3554581851702169
c4_l1,C4 · 1s,2,0.2,9,12.675593270195854,0.007478632653752955,11.441113471984863,1.4824226299921672,0.19999060404664257,0,4.0,1.0,0.407728849343895
c4_l1,C4 · 1s,3,0.25,9,10.3357941309611,0.010464642196893678,9.161604828304714,1.454785903294881,0.25,0,4.0,1.0,0.4447292168694003
