model,prompt,situation,policy,mode,budget_index,budget_fraction,target,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,search_attempts_mean,feasible_rate,fallback_calls
qwen05,test_long_structured,long,paper_r50,paper,8,0.5,,2.768023729324341,0.757213294506073,10.011316299438477,0.02380952425301075,4.793145656585693,13.951589584350586,9.158443450927734,168,0.49994125939849626,1.0,1.0,0
qwen05,test_long_structured,long,paper_r55,paper,9,0.55,,1.2587478160858154,0.637954592704773,8.776755332946777,0.0,4.793145656585693,12.13294506072998,7.339799404144287,168,0.5455743152524167,1.0,1.0,0
qwen05,test_long_structured,long,paper_r60,paper,10,0.6,,1.8705958127975464,0.7592302560806274,10.892255783081055,0.0,4.793145656585693,14.619902610778809,9.826757431030273,168,0.5913835929108485,1.0,1.0,0
qwen05,test_long_structured,long,paper_r65,paper,11,0.65,,1.5110303163528442,0.72919762134552,10.102519989013672,0.02976190485060215,4.793145656585693,13.737386703491211,8.94424057006836,168,0.6470780746509129,1.0,1.0,0
qwen05,test_long_structured,long,paper_r70,paper,12,0.7,,1.1400070190429688,0.5959841012954712,7.152904987335205,0.0595238097012043,4.793145656585693,10.670722961425781,5.877577304840088,168,0.6927111305048335,1.0,1.0,0
qwen05,test_long_structured,long,paper_r75,paper,13,0.75,,1.0031322240829468,0.5147687196731567,6.059399604797363,0.0892857164144516,4.793145656585693,9.74209213256836,4.948946475982666,168,0.75,1.0,1.0,0
qwen05,test_long_structured,long,paper_r80,paper,14,0.8,,0.9826467633247375,0.5100147128105164,4.249685287475586,0.196428582072258,4.793145656585693,8.043769836425781,3.250624179840088,168,0.7956330558539206,1.0,1.0,0
qwen05,test_long_structured,long,paper_r85,paper,15,0.85,,1.0963501930236816,0.5862202644348145,5.704165458679199,0.0714285746216774,4.793145656585693,9.274237632751465,4.4810919761657715,168,0.8414423335123524,1.0,1.0,0
qwen05,test_long_structured,long,paper_r90,paper,16,0.9,,0.960634171962738,0.4860321879386902,3.7405996322631836,0.1547619104385376,4.793145656585693,7.434793949127197,2.641648292541504,168,0.8969605934479055,1.0,1.0,0
qwen05,test_long_structured,long,paper_r95,paper,17,0.95,,0.8737665414810181,0.3946818709373474,3.0761494636535645,0.2202381044626236,4.793145656585693,7.079330921173096,2.2861852645874023,168,0.9427698711063374,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r10,cell8,0,0.1,,1.3056520223617554,0.8698908090591431,10.903426170349121,0.0,4.793145656585693,14.029083251953125,9.235937118530273,168,0.10037090494092374,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r15,cell8,1,0.15,,1.7899633646011353,0.785314679145813,9.71619987487793,0.0,4.793145656585693,13.346887588500977,8.553741455078125,168,0.14962909505907623,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r20,cell8,2,0.2,,1.6387734413146973,0.7909142374992371,8.249564170837402,0.01785714365541935,4.793145656585693,11.631590843200684,6.83844518661499,168,0.19981454752953817,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r25,cell8,3,0.25,,1.2540949583053589,0.7378860116004944,10.228728294372559,0.0059523810632526875,4.793145656585693,13.686079025268555,8.892932891845703,168,0.25,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r30,cell8,4,0.3,,2.866835594177246,0.7892350554466248,11.555413246154785,0.0,4.793145656585693,14.963261604309082,10.170116424560547,168,0.3001854524704619,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r35,cell8,5,0.35,,2.7423360347747803,0.6913904547691345,11.932940483093262,0.02380952425301075,4.793145656585693,15.601338386535645,10.80819320678711,168,0.35037090494092366,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r40,cell8,6,0.4,,2.7965469360351562,0.8108792901039124,12.748812675476074,0.01785714365541935,4.793145656585693,16.47653579711914,11.683389663696289,168,0.39962909505907634,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r45,cell8,7,0.45,,1.9609125852584839,0.8214841485023499,9.05312728881836,0.011904762126505375,4.793145656585693,12.470840454101562,7.677694797515869,168,0.4498145475295381,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r50,cell8,8,0.5,,1.8670296669006348,0.6940922737121582,9.467385292053223,0.0476190485060215,4.793145656585693,13.150811195373535,8.357666015625,168,0.5,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r55,cell8,9,0.55,,2.128730058670044,0.7440158128738403,13.535163879394531,0.0595238097012043,4.793145656585693,16.944292068481445,12.151145935058594,168,0.550185452470462,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r60,cell8,10,0.6,,1.8914275169372559,0.7527016997337341,9.976640701293945,0.0,4.793145656585693,13.494181632995605,8.70103645324707,168,0.6003709049409238,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r65,cell8,11,0.65,,1.5644944906234741,0.7117281556129456,10.033682823181152,0.01785714365541935,4.793145656585693,13.573384284973145,8.78023910522461,168,0.6496290950590762,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r70,cell8,12,0.7,,1.1702725887298584,0.5951340794563293,7.56437349319458,0.0357142873108387,4.793145656585693,11.117314338684082,6.324168682098389,168,0.6998145475295381,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r75,cell8,13,0.75,,1.3766835927963257,0.7214545607566833,8.535158157348633,0.011904762126505375,4.793145656585693,12.02805233001709,7.2349066734313965,168,0.75,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r80,cell8,14,0.8,,1.0603010654449463,0.5473231077194214,6.181702613830566,0.1130952388048172,4.793145656585693,9.785346031188965,4.9922003746032715,168,0.8001854524704617,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r85,cell8,15,0.85,,0.9615380167961121,0.493818998336792,4.013601303100586,0.184523805975914,4.793145656585693,7.813337802886963,3.0201921463012695,168,0.8503709049409238,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r90,cell8,16,0.9,,1.0819675922393799,0.6128970980644226,4.694779396057129,0.0892857164144516,4.793145656585693,8.272526741027832,3.4793810844421387,168,0.8996290950590762,1.0,1.0,0
qwen05,test_long_structured,long,cell8_r95,cell8,17,0.95,,0.9004163146018982,0.4253121614456177,3.4329819679260254,0.190476194024086,4.793145656585693,7.278330326080322,2.485184669494629,168,0.9498145475295383,1.0,1.0,0
qwen05,test_long_structured,long,adaptive_t0.5,adaptive,0,,0.5,1.6255320310592651,0.8184146881103516,10.676835060119629,0.0,4.793145656585693,14.579219818115234,9.786073684692383,168,0.5546668708601862,1.4047619047619047,1.0,0
qwen05,test_long_structured,long,adaptive_t0.55,adaptive,0,,0.55,1.6732639074325562,0.7638209462165833,9.487793922424316,0.02380952425301075,4.793145656585693,13.002716064453125,8.209569931030273,168,0.5983782698934836,1.255952380952381,1.0,0
qwen05,test_long_structured,long,adaptive_t0.6,adaptive,0,,0.6,1.6390506029129028,0.6941715478897095,10.68843936920166,0.0595238097012043,4.793145656585693,14.399133682250977,9.605987548828125,168,0.665156893349445,1.4226190476190477,1.0,0
qwen05,test_long_structured,long,adaptive_t0.65,adaptive,0,,0.65,2.4627859592437744,0.739869236946106,12.69555377960205,0.02976190485060215,4.793145656585693,16.384815216064453,11.591669082641602,168,0.705479344287057,1.4464285714285714,1.0,0
qwen05,test_long_structured,long,adaptive_t0.7,adaptive,0,,0.7,1.086004376411438,0.568545937538147,7.431117534637451,0.0773809552192688,4.793145656585693,10.925816535949707,6.132670879364014,168,0.7615080880213927,1.1785714285714286,1.0,0
qwen05,test_long_structured,long,adaptive_t0.75,adaptive,0,,0.75,0.8390762209892273,0.3698325753211975,3.027092695236206,0.2916666865348816,4.793145656585693,7.121491432189941,2.328345775604248,168,0.8598821621576263,1.0119047619047619,1.0,0
qwen05,test_long_structured,long,adaptive_t0.8,adaptive,0,,0.8,0.7306244969367981,0.26555323600769043,1.8692585229873657,0.4583333432674408,4.793145656585693,6.141387939453125,1.3482422828674316,168,0.8901907391245972,1.0,1.0,0
qwen05,test_long_structured,long,adaptive_t0.85,adaptive,0,,0.85,0.6221579313278198,0.20381921529769897,1.18886137008667,0.523809552192688,4.793145656585693,5.371574878692627,0.5784292221069336,168,0.9244754953790727,1.0,1.0,0
qwen05,test_long_structured,long,adaptive_t0.9,adaptive,0,,0.9,0.944307804107666,0.48022377490997314,3.383223056793213,0.196428582072258,4.793145656585693,7.146225452423096,2.3530797958374023,168,0.9381622303526672,1.0535714285714286,1.0,0
qwen05,test_long_structured,long,adaptive_t0.925,adaptive,0,,0.925,0.905463695526123,0.4285393953323364,3.374230146408081,0.1785714328289032,4.793145656585693,7.205042839050293,2.4118971824645996,168,0.9489192778262622,1.0,1.0,0
qwen05,test_long_structured,long,adaptive_t0.95,adaptive,0,,0.95,0.9004163146018982,0.4253121614456177,3.4329819679260254,0.190476194024086,4.793145656585693,7.278330326080322,2.485184669494629,168,0.9498145475295383,1.0119047619047619,0.9940476190476191,0
qwen05,test_long_structured,long,adaptive_calibrated,adaptive_calibrated,0,,0.0,1.5247035026550293,0.7382562160491943,9.020766258239746,0.0595238097012043,4.793145656585693,12.616740226745605,7.823594570159912,168,0.5964560886032044,1.4404761904761905,1.0,0
smol360,test_short_korean,short,paper_r10,paper,0,0.1,,1.4550331830978394,1.2581766843795776,13.3734712600708,0.0,2.2992043495178223,14.83187198638916,12.53266716003418,224,0.1,1.0,1.0,0
smol360,test_short_korean,short,paper_r15,paper,1,0.15,,1.3088048696517944,0.8602938652038574,14.009166717529297,0.0,2.2992043495178223,15.384810447692871,13.08560562133789,224,0.14999999999999997,1.0,1.0,0
smol360,test_short_korean,short,paper_r20,paper,2,0.2,,1.497231125831604,0.9537933468818665,13.960890769958496,0.0,2.2992043495178223,15.572006225585938,13.272802352905273,224,0.2,1.0,1.0,0
smol360,test_short_korean,short,paper_r25,paper,3,0.25,,1.518850564956665,1.0472666025161743,14.233654975891113,0.0,2.2992043495178223,15.615250587463379,13.316045761108398,224,0.25,1.0,1.0,0
smol360,test_short_korean,short,paper_r30,paper,4,0.3,,1.3111202716827393,0.907960057258606,14.435826301574707,0.010101010091602802,2.2992043495178223,15.67151165008545,13.372306823730469,224,0.29999999999999993,1.0,1.0,0
smol360,test_short_korean,short,paper_r35,paper,5,0.35,,1.2996090650558472,0.791459321975708,14.244318008422852,0.0,2.2992043495178223,15.653108596801758,13.353904724121094,224,0.35,1.0,1.0,0
smol360,test_short_korean,short,paper_r40,paper,6,0.4,,1.3404430150985718,0.9031746983528137,15.617695808410645,0.0,2.2992043495178223,16.898778915405273,14.59957504272461,224,0.4,1.0,1.0,0
smol360,test_short_korean,short,paper_r45,paper,7,0.45,,1.2857282161712646,0.9236397743225098,16.30095672607422,0.010101010091602802,2.2992043495178223,17.93090057373047,15.631696701049805,224,0.4500000000000001,1.0,1.0,0
smol360,test_short_korean,short,paper_r50,paper,8,0.5,,1.4669774770736694,0.7042027115821838,14.236993789672852,0.0,2.2992043495178223,15.639744758605957,13.340539932250977,224,0.5,1.0,1.0,0
smol360,test_short_korean,short,paper_r55,paper,9,0.55,,1.139840841293335,0.8208562135696411,9.342373847961426,0.03030303120613098,2.2992043495178223,10.781543731689453,8.482339859008789,224,0.5499999999999999,1.0,1.0,0
smol360,test_short_korean,short,paper_r60,paper,10,0.6,,1.0782774686813354,0.7177953720092773,10.070685386657715,0.010101010091602802,2.2992043495178223,11.586241722106934,9.287036895751953,224,0.5999999999999999,1.0,1.0,0
