trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,quant_build_ms,quant_peak_states
13,1.25,random,1.2500000000000002,-0.0010098411232412781,0.5072647991937993,73.633837,1969
13,1.25,local,1.2500000000000002,0.8267536790526017,0.4387328879392984,47.643437,1184
13,1.25,hot-cold,1.2500000000000002,0.323073539181327,0.7719099687863993,80.830503,1948
13,1.44,random,1.44,-0.002247733248690335,0.5228415634872123,78.606777,2026
13,1.44,local,1.4400000000000002,0.89336975341364,0.49645964818907967,56.901805,1314
13,1.44,hot-cold,1.44,0.3099867189768075,0.8143212801122282,83.089803,1852
13,2.48,random,2.4800000000000004,0.0019343301846223172,0.4973428454421749,80.42211,2012
13,2.48,local,2.4800000000000004,0.8675452358739155,0.4863007776972321,53.355539,1232
13,2.48,hot-cold,2.4800000000000004,0.17958570173361643,0.8823975347085251,87.505504,1747
13,3.3,random,3.3,-0.011261048058296006,0.5156094835032301,81.126636,1922
13,3.3,local,3.3000000000000007,0.7464421647667736,0.5328470320417044,61.182122,1423
13,3.3,hot-cold,3.3,0.1626043496679466,0.9122198402246209,91.542567,1746
13,4.55,random,4.550000000000001,-0.002450645024075917,0.525710219330499,78.942495,1878
13,4.55,local,4.550000000000001,0.5623230504276094,0.5552249252167706,55.44882,1158
13,4.55,hot-cold,4.550000000000002,0.11327589915169446,0.911541716053802,86.33097,1625
13,9.19,random,9.190000000000001,-0.0032691943502183404,0.5802712429543407,66.482074,1397
13,9.19,local,9.19,0.48268754488875937,0.4300610650258183,49.408534,1156
13,9.19,hot-cold,9.19,0.02710048086820052,0.9599244300831007,84.899825,1602
14,1.07,random,1.0700000000000003,0.0075508464803825635,0.49260118298788597,74.060424,1909
14,1.07,local,1.07,0.866269657081351,0.4951620080825821,49.374091,1044
14,1.07,hot-cold,1.07,0.3143782530119515,0.7470686873317882,78.723055,1920
14,1.25,random,1.2500000000000002,0.003583995819063042,0.5062935552474636,80.751895,1956
14,1.25,local,1.25,0.9174321262636523,0.5506169176142018,57.596934,1242
14,1.25,hot-cold,1.25,0.3469593914653575,0.7901234057071543,94.512466,1944
14,1.44,random,1.44,-0.013112147849294252,0.4873129210753506,72.6776,1808
14,1.44,local,1.44,0.8903610268114425,0.4209345026360224,52.681609,1286
14,1.44,hot-cold,1.44,0.30936047233438474,0.8031129694486971,85.933678,1902
14,2.48,random,2.480000000000001,-0.002265720757907311,0.5155682023107567,86.422861,1955
14,2.48,local,2.480000000000001,0.8191338656137368,0.6051840588717607,61.220653,1292
14,2.48,hot-cold,2.4800000000000004,0.13244516870942386,0.8619854139407345,91.394159,1750
14,3.3,random,3.3,-0.00318074393102428,0.5081084895573338,80.583551,1922
14,3.3,local,3.3,0.7030625244636155,0.4995769189362838,57.669038,1306
14,3.3,hot-cold,3.3,0.09451536761191548,0.890155747641721,87.531533,1736
14,4.55,random,4.550000000000002,0.004238570053350611,0.5118037046080005,77.412647,1789
14,4.55,local,4.550000000000002,0.6111292214858048,0.41367135459171855,56.06487,1370
14,4.55,hot-cold,4.550000000000002,0.0672042763220077,0.9202308338717957,88.927371,1748
14,9.19,random,9.190000000000001,-0.004724737514720087,0.5108027459482241,60.965557,1273
14,9.19,local,9.19,0.7094448830670089,0.7458203022691893,50.443458,994
14,9.19,hot-cold,9.190000000000001,0.01952432473315233,0.9740856259057475,81.986412,1501
15,1.07,random,1.0700000000000003,0.011173802941870552,0.4993395302379433,68.5458,1887
15,1.07,local,1.0700000000000003,0.8935440774811815,0.4983251539798328,54.210917,1382
15,1.07,hot-cold,1.0700000000000003,0.32652057489668285,0.7546897064898818,77.947957,1936
15,1.25,random,1.2500000000000002,-0.006314451517710698,0.5012393251819166,74.292708,1964
15,1.25,local,1.2500000000000002,0.9127102088598354,0.46132177548077913,52.230827,1242
15,1.25,hot-cold,1.2500000000000002,0.33332103906894994,0.7779301706270167,82.581574,1916
15,1.44,random,1.44,-0.0034091528542021183,0.4979432557757985,77.047654,2033
15,1.44,local,1.44,0.9103651549123516,0.5209566557948176,53.643387,1232
15,1.44,hot-cold,1.4399999999999997,0.3173725575368353,0.8070075341298034,82.320927,1875
15,2.48,random,2.48,0.004421837617946174,0.5136391561574559,78.699852,1954
