model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_decision_time_ms,mean_decision_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_long_structured,9,0.55,cell1_x2,Cell-1 X²,error_oracle,True,0.39167399065835135,0.3964096488697188,21.0,8.287813488213537,0.3946577851530256,7.675686499004005,0.3655088809049526,8.318440731614828,0.3961162253149918,0.3961162253149918,0.5093845103831004
qwen05,test_long_structured,9,0.55,shifted8_x2,Shifted-8 X²,importance_bound,True,0.39167399065835135,0.3964096488697188,21.0,9.293664487926781,0.4425554518060372,8.798264498221457,0.41896497610578365,8.118352264165878,0.386588203055518,0.4045511167163828,0.5927150465449336
qwen05,test_long_structured,9,0.55,shifted8_x2,Shifted-8 X²,error_oracle,True,0.39167399065835135,0.3964096488697188,21.0,9.427828986742435,0.4489442374639255,8.841051501872062,0.4210024524700982,8.220946215093136,0.39147362929014934,0.39147362929014934,0.5260696383816684
qwen05,test_long_structured,9,0.55,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.39167399065835135,0.3964096488697188,21.0,9.35600948315388,0.4455242611025657,8.847406495533285,0.4213050712158707,8.193939052522182,0.3901875739296277,0.4013900297937826,0.5856465941639813
qwen05,test_long_structured,9,0.55,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.39167399065835135,0.3964096488697188,21.0,9.275266481915532,0.44167935628169197,8.801972999525544,0.4191415714059783,8.27956736087799,0.39426511242276147,0.39426511242276147,0.5189885987289652
qwen05,test_long_structured,10,0.6,paper,Paper |x|,importance_bound,True,0.3510398722830273,0.3721659672224805,21.0,12.581194512512386,0.5991045005958279,11.819408001855551,0.562828952469312,7.288312524557114,0.34706250116938636,0.3558074263079713,0.6167259667024705
qwen05,test_long_structured,10,0.6,paper,Paper |x|,error_oracle,True,0.3510398722830273,0.3721659672224805,21.0,12.059836510551515,0.5742779290738816,11.27529850361037,0.5369189763623986,7.759448347147554,0.3694975403403597,0.3694975403403597,0.5546511367704977
qwen05,test_long_structured,10,0.6,cell1_x2,Cell-1 X²,importance_bound,True,0.3510398722830273,0.3721659672224805,21.0,9.42572347720283,0.44884397510489665,8.614345493675708,0.41020692827027183,7.275611996650696,0.3464577141262236,0.3614619429600203,0.6283733888292157
qwen05,test_long_structured,10,0.6,cell1_x2,Cell-1 X²,error_oracle,True,0.3510398722830273,0.3721659672224805,21.0,9.029532485877574,0.42997773742274165,8.302671996292172,0.39536533315677014,7.721553462557495,0.36769302202654736,0.36769302202654736,0.5641349467418544
qwen05,test_long_structured,10,0.6,shifted8_x2,Shifted-8 X²,importance_bound,True,0.3510398722830273,0.3721659672224805,21.0,10.086921988755583,0.4803296185121706,9.513473994763373,0.45302257117920824,7.357118621468544,0.3503389819746926,0.3724368351755575,0.6260377506265662
qwen05,test_long_structured,10,0.6,shifted8_x2,Shifted-8 X²,error_oracle,True,0.3510398722830273,0.3721659672224805,21.0,10.60506248576349,0.5050029755125471,9.779038500712574,0.46566850003393206,7.457306283526123,0.35510982302505345,0.35510982302505345,0.585643796992481
qwen05,test_long_structured,10,0.6,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.3510398722830273,0.3721659672224805,21.0,10.347198491570472,0.492723737693832,9.687732005156873,0.4613205716741368,7.276210635900497,0.34648622075716656,0.36817933642305434,0.6260503378983173
qwen05,test_long_structured,10,0.6,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.3510398722830273,0.3721659672224805,21.0,9.9883354875769,0.47563502321794765,9.30317750448769,0.44300845259465194,7.812125409953296,0.3720059719025379,0.3720059719025379,0.5618496576262082
qwen05,test_long_structured,11,0.65,paper,Paper |x|,importance_bound,True,0.2983871102333069,0.33614993410273675,21.0,14.2606385193488,0.6790780247308953,13.317605006967725,0.6341716669984631,5.754878461360931,0.2740418314933777,0.2997552822233133,0.6856762441818833
qwen05,test_long_structured,11,0.65,paper,Paper |x|,error_oracle,True,0.2983871102333069,0.33614993410273675,21.0,13.038644513535859,0.620887833977898,12.158558506285907,0.5789789764898051,7.0105859390459955,0.33383742566885694,0.33383742566885694,0.5996128714643753
qwen05,test_long_structured,11,0.65,cell1_x2,Cell-1 X²,importance_bound,True,0.2983871102333069,0.33614993410273675,21.0,10.490799480559286,0.49956188002663265,9.641644492649911,0.45912592822142434,6.25922366976738,0.2980582699889228,0.3328880694628294,0.6760735544217685
qwen05,test_long_structured,11,0.65,cell1_x2,Cell-1 X²,error_oracle,True,0.2983871102333069,0.33614993410273675,21.0,11.126353494533713,0.5298263568825577,10.105769494320512,0.48122711877716723,6.34563525300473,0.3021731072859395,0.3021731072859395,0.6450235521840313
qwen05,test_long_structured,11,0.65,shifted8_x2,Shifted-8 X²,importance_bound,True,0.2983871102333069,0.33614993410273675,21.0,11.531111988907217,0.5491005709003437,10.658158500296476,0.5075313571569751,6.220425106585026,0.2962107193611917,0.3351641533829804,0.6784679332259218
qwen05,test_long_structured,11,0.65,shifted8_x2,Shifted-8 X²,error_oracle,True,0.2983871102333069,0.33614993410273675,21.0,11.877550477353573,0.5655976417787416,11.08952650111306,0.5280726905291934,6.454992982558906,0.3073806182170908,0.3073806182170908,0.6427228786251342
qwen05,test_long_structured,11,0.65,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.2983871102333069,0.33614993410273675,21.0,12.036844990356386,0.5731830947788755,11.326983003421008,0.539380143020048,5.7132303565740585,0.2720585884082885,0.31220938856269986,0.6997641984425349
qwen05,test_long_structured,11,0.65,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.2983871102333069,0.33614993410273675,21.0,11.522523478857996,0.5486915942313332,10.465737501223204,0.4983684524392002,6.906654323451221,0.3288883011167248,0.3288883011167248,0.6141987222520587
qwen05,test_long_structured,12,0.7,paper,Paper |x|,importance_bound,True,0.2557741886093503,0.3131265061508332,21.0,15.419976514332953,0.7342845959206168,14.477267506268145,0.6893936907746736,4.763866424560547,0.2268507821219308,0.2642987196865891,0.7355526092015754
qwen05,test_long_structured,12,0.7,paper,Paper |x|,error_oracle,True,0.2557741886093503,0.3131265061508332,21.0,13.953166513199927,0.664436500628568,12.907524502984822,0.6146440239516582,6.467205291148275,0.3079621567213464,0.3079621567213464,0.6305663712853562
qwen05,test_long_structured,12,0.7,cell1_x2,Cell-1 X²,importance_bound,True,0.2557741886093503,0.3131265061508332,21.0,12.22577449245232,0.5821797377358248,11.076912496100007,0.5274720236238098,4.925923466682434,0.23456778412773496,0.27868060682279366,0.7402896191371282
qwen05,test_long_structured,12,0.7,cell1_x2,Cell-1 X²,error_oracle,True,0.2557741886093503,0.3131265061508332,21.0,11.126353494533713,0.5298263568825577,10.105769494320512,0.48122711877716723,6.34563525300473,0.3021731072859395,0.3021731072859395,0.6450235521840313
qwen05,test_long_structured,12,0.7,shifted8_x2,Shifted-8 X²,importance_bound,True,0.2557741886093503,0.3131265061508332,21.0,13.515817002841233,0.6436103334686302,12.479201996478917,0.5942477141180437,4.570425629615784,0.2176393156959897,0.2741005149825166,0.759406887755102
qwen05,test_long_structured,12,0.7,shifted8_x2,Shifted-8 X²,error_oracle,True,0.2557741886093503,0.3131265061508332,21.0,11.877550477353573,0.5655976417787416,11.08952650111306,0.5280726905291934,6.454992982558906,0.3073806182170908,0.3073806182170908,0.6427228786251342
