n,target_cv,observed_cv,trial,spatial_mode,target_fraction,method,method_label,importance_fraction,importance_overshoot,rows,chunks,two_line_ms,lookup_ms,coverage_met,fallback_used,error
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c16,TD-2L (16),0.5254709570720044,0.025470957072004474,1169,8,0.38036895051180425,0.38820211577473557,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c32,TD-2L (32),0.5254709570720044,0.025470957072004474,1169,8,0.38036895051180425,0.38820211577473557,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c8_trim64,TD-2L (8) + trim 64,0.5007793162206672,0.0007793162206672366,1105,8,0.3613091922559782,0.3703568742186362,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c16_trim256,TD-2L (16) + trim 256,0.5001872131053686,0.00018721310536867763,1102,8,0.36057973045966485,0.36975938100329536,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,tiles_half_s,Tiles (s/2),0.5094666359619995,0.009466635961999537,1156,3,0.3815627257334519,0.3880088392998149,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,tiles_s,Tiles (s),0.5075228829265548,0.007522882926554841,1147,1,0.3731414933471754,0.3811689370705547,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,tiles_2s,Tiles (2s),0.5301354594919007,0.030135459491900718,1215,1,0.3952632209388126,0.40376657239819,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,paper_bucket64,Paper bucket 64,0.5136594697182669,0.013659469718266981,1158,13,0.4298224559689596,0.4182341458148834,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,paper_bucket256,Paper bucket 256,0.5173922202185962,0.017392220218596266,1170,10,0.406165603338827,0.40530406509235345,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,paper_bucket1024,Paper bucket 1024,0.5070753768372824,0.007075376837282488,1146,9,0.3917142598232262,0.3945083752837358,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,paper,Paper,0.5736642303254003,0.023664230325400326,1398,10,0.47122981198258695,0.4774191337077207,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,supported_full,Full supported,0.5539811336910775,0.003981133691077554,1265,8,0.4115291971091341,0.420174490121529,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c4,TD-2L (4),0.6739862892830479,0.123986289283048,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c8,TD-2L (8),0.5556440570168515,0.005644057016851556,1271,8,0.4134811142495727,0.4219439755855146,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c16,TD-2L (16),0.5539811336910775,0.003981133691077554,1265,8,0.4115291971091341,0.420174490121529,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c32,TD-2L (32),0.5539811336910775,0.003981133691077554,1265,8,0.4115291971091341,0.420174490121529,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c8_trim64,TD-2L (8) + trim 64,0.5502155234597141,0.0002155234597142064,1255,8,0.40841685717444465,0.4172475778007126,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,td_2l_c16_trim256,TD-2L (16) + trim 256,0.5500585945077747,5.8594507774789584e-05,1254,8,0.4079506823516634,0.4166087273245316,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,tiles_half_s,Tiles (s/2),0.5545708720624598,0.004570872062459874,1292,3,0.4258061809167264,0.43335140958093943,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,tiles_s,Tiles (s),0.5686800032474828,0.018680003247482868,1350,1,0.4391813565986807,0.44862952488687785,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,tiles_2s,Tiles (2s),0.5686800032474828,0.018680003247482868,1350,1,0.4391813565986807,0.44862952488687785,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,paper_bucket64,Paper bucket 64,0.5658734093055479,0.015873409305547925,1356,14,0.49177075386437313,0.48319972324339316,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,paper_bucket256,Paper bucket 256,0.5794311105476375,0.029431110547637584,1404,11,0.479825404076872,0.4822330965178467,True,False,
4864,1.25,1.25,1,hot-cold,0.5499999999999999,paper_bucket1024,Paper bucket 1024,0.5736642303254003,0.023664230325400326,1398,10,0.47122981198258695,0.4774191337077207,True,False,
4864,1.25,1.25,1,hot-cold,0.6,paper,Paper,0.6079009980813852,0.007900998081385224,1518,11,0.5127331225304183,0.5180890995994943,True,False,
4864,1.25,1.25,1,hot-cold,0.6,supported_full,Full supported,0.6112810351282307,0.011281035128230754,1484,9,0.48277417273514234,0.4927277450676664,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c4,TD-2L (4),0.6739862892830479,0.07398628928304796,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c8,TD-2L (8),0.6112810351282307,0.011281035128230754,1484,9,0.48277417273514234,0.4927277450676664,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c16,TD-2L (16),0.6112810351282307,0.011281035128230754,1484,9,0.48277417273514234,0.4927277450676664,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c32,TD-2L (32),0.6112810351282307,0.011281035128230754,1484,9,0.48277417273514234,0.4927277450676664,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c8_trim64,TD-2L (8) + trim 64,0.600030540420952,3.054042095207432e-05,1453,9,0.47298271604990727,0.48319595240318375,True,False,
4864,1.25,1.25,1,hot-cold,0.6,td_2l_c16_trim256,TD-2L (16) + trim 256,0.600030540420952,3.054042095207432e-05,1453,9,0.47298271604990727,0.48319595240318375,True,False,
4864,1.25,1.25,1,hot-cold,0.6,tiles_half_s,Tiles (s/2),0.6010213281737797,0.0010213281737797564,1462,2,0.4811104998958195,0.4896981982741739,True,False,
4864,1.25,1.25,1,hot-cold,0.6,tiles_s,Tiles (s),0.6054621462905279,0.005462146290527881,1485,1,0.48309949225854876,0.4934924773755656,True,False,
4864,1.25,1.25,1,hot-cold,0.6,tiles_2s,Tiles (2s),0.6054621462905279,0.005462146290527881,1485,1,0.48309949225854876,0.4934924773755656,True,False,
4864,1.25,1.25,1,hot-cold,0.6,paper_bucket64,Paper bucket 64,0.6155427482909919,0.015542748290991892,1554,15,0.5628276944526928,0.5525941815237774,True,False,
4864,1.25,1.25,1,hot-cold,0.6,paper_bucket256,Paper bucket 256,0.6001737385168977,0.00017373851689772568,1488,12,0.511330951257799,0.5123329644174504,True,False,
4864,1.25,1.25,1,hot-cold,0.6,paper_bucket1024,Paper bucket 1024,0.6079009980813852,0.007900998081385224,1518,11,0.5127331225304183,0.5180890995994943,True,False,
4864,1.25,1.25,1,hot-cold,0.65,paper,Paper,0.6647947843839315,0.014794784383931447,1776,12,0.598144540212713,0.6040899325179473,True,False,
4864,1.25,1.25,1,hot-cold,0.65,supported_full,Full supported,0.6739862892830479,0.023986289283047912,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c4,TD-2L (4),0.6739862892830479,0.023986289283047912,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c8,TD-2L (8),0.6739862892830479,0.023986289283047912,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c16,TD-2L (16),0.6739862892830479,0.023986289283047912,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c32,TD-2L (32),0.6739862892830479,0.023986289283047912,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c8_trim64,TD-2L (8) + trim 64,0.6554211001033354,0.005421100103335408,1705,10,0.5546697874079634,0.5664759885632474,True,False,
4864,1.25,1.25,1,hot-cold,0.65,td_2l_c16_trim256,TD-2L (16) + trim 256,0.6501533912162738,0.00015339121627377938,1684,10,0.5478380774164283,0.5595658904648114,True,False,
4864,1.25,1.25,1,hot-cold,0.65,tiles_half_s,Tiles (s/2),0.6561456793889591,0.006145679388959047,1700,2,0.5585365464665499,0.5687899219208975,True,False,
4864,1.25,1.25,1,hot-cold,0.65,tiles_s,Tiles (s),0.6535781448363867,0.003578144836386632,1687,1,0.5488140359866477,0.5606207470253058,True,False,
4864,1.25,1.25,1,hot-cold,0.65,tiles_2s,Tiles (2s),0.66716757634303,0.01716757634303001,1755,1,0.5709357635782849,0.5832183823529412,True,False,
4864,1.25,1.25,1,hot-cold,0.65,paper_bucket64,Paper bucket 64,0.6515721525173673,0.001572152517367309,1740,17,0.6302155595924267,0.6185521416953137,True,False,
4864,1.25,1.25,1,hot-cold,0.65,paper_bucket256,Paper bucket 256,0.6559354421294923,0.005935442129492263,1740,13,0.5955182041797585,0.5972237450464046,True,False,
4864,1.25,1.25,1,hot-cold,0.65,paper_bucket1024,Paper bucket 1024,0.6647947843839315,0.014794784383931447,1776,12,0.598144540212713,0.6040899325179473,True,False,
4864,1.25,1.25,1,hot-cold,0.7,paper,Paper,0.7005627531795836,0.0005627531795836527,1968,13,0.6586339145154999,0.6672098931458976,True,False,
4864,1.25,1.25,1,hot-cold,0.7,supported_full,Full supported,0.7024051435858816,0.0024051435858816195,1915,11,0.6229868873233138,0.636457872406005,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c4,TD-2L (4),0.8893247017165489,0.18932470171654892,3185,19,1.03614268204948,1.0590629903519397,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c8,TD-2L (8),0.7024051435858816,0.0024051435858816195,1915,11,0.6229868873233138,0.636457872406005,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c16,TD-2L (16),0.7024051435858816,0.0024051435858816195,1915,11,0.6229868873233138,0.636457872406005,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c32,TD-2L (32),0.7024051435858816,0.0024051435858816195,1915,11,0.6229868873233138,0.636457872406005,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c8_trim64,TD-2L (8) + trim 64,0.7000597760826468,5.97760826468452e-05,1906,11,0.6200590116126559,0.6334670089067592,True,False,
4864,1.25,1.25,1,hot-cold,0.7,td_2l_c16_trim256,TD-2L (16) + trim 256,0.7000597760826468,5.97760826468452e-05,1906,11,0.6200590116126559,0.6334670089067592,True,False,
4864,1.25,1.25,1,hot-cold,0.7,tiles_half_s,Tiles (s/2),0.7033046223953103,0.003304622395310375,1938,3,0.6414559497128989,0.6517306842976356,True,False,
4864,1.25,1.25,1,hot-cold,0.7,tiles_s,Tiles (s),0.7057693426308954,0.005769342630895458,1957,1,0.6366503073063838,0.6503466520026814,True,False,
4864,1.25,1.25,1,hot-cold,0.7,tiles_2s,Tiles (2s),0.7190296977202821,0.01902969772028218,2025,1,0.658772034898021,0.6729442873303167,True,False,
4864,1.25,1.25,1,hot-cold,0.7,paper_bucket64,Paper bucket 64,0.7091094842132873,0.009109484213287389,2064,21,0.7533199011308812,0.7358647374821216,True,False,
4864,1.25,1.25,1,hot-cold,0.7,paper_bucket256,Paper bucket 256,0.7023962230564358,0.002396223056435831,1992,15,0.6816774312929658,0.6831530649319308,True,False,
4864,1.25,1.25,1,hot-cold,0.7,paper_bucket1024,Paper bucket 1024,0.7005627531795836,0.0005627531795836527,1968,13,0.6586339145154999,0.6672098931458976,True,False,
4864,1.25,1.25,1,hot-cold,0.75,paper,Paper,0.7552925798819313,0.005292579881931325,2298,16,0.7721165627624272,0.7804458625857377,True,False,
4864,1.25,1.25,1,hot-cold,0.75,supported_full,Full supported,0.7661488339566088,0.01614883395660882,2276,13,0.740427235273035,0.7564011274579134,True,False,
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c4,TD-2L (4),0.8893247017165489,0.13932470171654887,3185,19,1.03614268204948,1.0590629903519397,True,False,
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c8,TD-2L (8),0.7661488339566088,0.01614883395660882,2276,13,0.740427235273035,0.7564011274579134,True,False,
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c16,TD-2L (16),0.7661488339566088,0.01614883395660882,2276,13,0.740427235273035,0.7564011274579134,True,False,
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c32,TD-2L (32),0.7661488339566088,0.01614883395660882,2276,13,0.740427235273035,0.7564011274579134,True,False,
4864,1.25,1.25,1,hot-cold,0.75,td_2l_c8_trim64,TD-2L (8) + trim 64,0.7525196442951634,0.0025196442951633813,2212,13,0.7198415446073149,0.7355410233961173,True,False,
