latency_model,target_cv,spatial_mode,method,method_label,points,coverage_success_rate,fallback_rate,mean_saving_vs_paper_pct,mean_saving_vs_supported_pct,strict_win_rate_vs_paper,strict_win_rate_vs_supported
two_line,3.3,local,supported_full,Full supported,60,1.0,0.0,11.488919711896136,0.0,0.9666666666666667,0.0
two_line,3.3,local,td_2l_c16,TD-2L (16),60,1.0,0.0,11.488919711896136,0.0,0.9666666666666667,0.0
two_line,3.3,local,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,15.843008625329054,4.5891569323988115,1.0,0.9333333333333333
two_line,3.3,local,td_2l_c32,TD-2L (32),60,1.0,0.0,11.488919711896136,0.0,0.9666666666666667,0.0
two_line,3.3,local,td_2l_c4,TD-2L (4),60,1.0,0.0,-111.20954240671571,-134.9400104481201,0.18333333333333332,0.0
two_line,3.3,local,td_2l_c8,TD-2L (8),60,1.0,0.0,10.245092055391979,-1.4529649088307728,0.95,0.0
two_line,3.3,local,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,15.283196610052219,3.9371470540723568,1.0,0.7833333333333333
two_line,3.3,local,tiles_2s,Tiles (2s),60,1.0,0.0,-102.52453667424507,-126.44551250817969,0.05,0.0
two_line,3.3,local,tiles_half_s,Tiles (s/2),60,1.0,0.0,-17.545057819245468,-32.25105237680239,0.23333333333333334,0.016666666666666666
two_line,3.3,local,tiles_s,Tiles (s),60,1.0,0.0,-47.619955872926774,-65.92689474028336,0.06666666666666667,0.0
two_line,3.3,random,paper,Paper,60,1.0,0.03333333333333333,0.0,-13.70704785008794,0.0,0.06666666666666667
two_line,3.3,random,paper_bucket1024,Paper bucket 1024,60,1.0,0.03333333333333333,-0.0556946239306679,-13.770182491857444,0.16666666666666666,0.06666666666666667
two_line,3.3,random,paper_bucket256,Paper bucket 256,60,1.0,0.03333333333333333,-0.9529292432492416,-14.663119267562156,0.2833333333333333,0.05
two_line,3.3,random,paper_bucket64,Paper bucket 64,60,1.0,0.05,-2.065358132889437,-15.988934598780705,0.21666666666666667,0.06666666666666667
two_line,3.3,random,supported_full,Full supported,60,1.0,0.0,11.028314367555843,0.0,0.9333333333333333,0.0
