trial,target_cv,spatial_mode,coverage_target,exact_achieved,exact_rows,exact_chunks,exact_aff_ms
1,9.19,local,0.95,0.9583670057749447,21,1,0.013936953097361583
1,9.19,local,0.99,0.9900006583214294,35,2,0.026895217100326097
1,9.19,hot-cold,0.1,0.5418247056352495,1,1,0.011140698541941383
1,9.19,hot-cold,0.3,0.5418247056352495,1,1,0.011140698541941383
1,9.19,hot-cold,0.5,0.5418247056352495,1,1,0.011140698541941383
1,9.19,hot-cold,0.7,0.7281901106259222,7,1,0.011979574908567443
1,9.19,hot-cold,0.9,0.9078020920433849,24,1,0.014356391280674613
1,9.19,hot-cold,0.95,0.963866306362272,45,1,0.017292458563865822
1,9.19,hot-cold,0.99,0.9951869591388629,106,1,0.02582103495789743
2,1.07,random,0.1,0.10044660010439024,17,1,0.013377702186277544
2,1.07,random,0.3,0.3028581862906361,60,1,0.01938964948043097
2,1.07,random,0.5,0.5054129940625793,118,1,0.02749878769114955
2,1.07,random,0.7,0.7035855738443888,169,1,0.034629236807471056
2,1.07,random,0.9,0.9002052376737991,221,1,0.041899498651563574
2,1.07,random,0.95,0.9517338500006148,242,1,0.04483556593475478
2,1.07,random,0.99,0.9938395405449026,254,1,0.046513318668006905
2,1.07,local,0.1,0.10804908684482896,5,1,0.011699949453025424
2,1.07,local,0.3,0.3056276609458775,24,1,0.014356391280674613
2,1.07,local,0.5,0.5007150779163092,90,1,0.023584031313561273
2,1.07,local,0.7,0.701886369530247,155,1,0.03267185861867692
2,1.07,local,0.9,0.9042822105363639,199,1,0.03882361864060136
2,1.07,local,0.95,0.9513454252476286,221,1,0.041899498651563574
2,1.07,local,0.99,0.9912759769177846,237,1,0.044136502295899736
2,1.07,hot-cold,0.1,0.1005465900254491,7,1,0.011979574908567443
2,1.07,hot-cold,0.3,0.30630618972630236,37,1,0.01617395674169774
2,1.07,hot-cold,0.5,0.5016266698588048,67,1,0.02036833857482804
2,1.07,hot-cold,0.7,0.7014448158282793,104,1,0.02554140950235541
2,1.07,hot-cold,0.9,0.9015433242577874,177,1,0.03574773862963914
2,1.07,hot-cold,0.95,0.9544307544693693,209,1,0.04022174591831146
2,1.07,hot-cold,0.99,0.9902797326539986,240,1,0.04455594047921276
2,1.25,random,0.1,0.10356332715542987,13,1,0.012818451275193503
2,1.25,random,0.3,0.3000276871536206,59,1,0.01924983675265996
2,1.25,random,0.5,0.500034212747776,110,1,0.02638028586898147
2,1.25,random,0.7,0.7006681211078668,164,1,0.03393017316861601
2,1.25,random,0.9,0.9009641423254793,223,1,0.042179124107105594
2,1.25,random,0.95,0.952071768885685,235,1,0.04385687684035772
2,1.25,random,0.99,0.9905928713169342,254,1,0.046513318668006905
2,1.25,local,0.1,0.10622251969111948,4,1,0.011560136725254414
2,1.25,local,0.3,0.3038892266187391,40,1,0.016593394925010774
