shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",23,0.500556
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",24,0.475058
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",25,0.475238
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",26,0.470009
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",27,0.501958
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",28,0.502399
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",29,0.51304
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",0,0.683347
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",1,0.68992
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",2,0.703785
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",3,0.691923
