model,shape,family,budget_index,calibrated_nonselector_ms,calibrated_selector_ms,calibration_candidates
smol360,960x320,bound,9,0.17268011133115155,0.0990730833333333,18
smol360,960x320,bound,10,0.17362383334797288,0.09869375,18
smol360,960x320,bound,11,0.17640675008515513,0.09732522222222222,18
smol360,960x320,bound,12,0.18474333349657718,0.09701830555555553,18
smol360,960x320,bound,13,0.19355997221528154,0.10066988888888888,18
smol360,960x320,bound,14,0.19349619465768664,0.08963099999999999,18
smol360,960x320,bound,15,0.20007583309480215,0.08962566666666666,18
smol360,960x320,bound,16,0.20701036089157393,0.09478361111111108,18
smol360,960x320,bound,17,0.21010024988108872,0.09981002777777775,18
smol360,960x320,diag,0,0.13345866656786862,0.08684127777777777,18
smol360,960x320,diag,1,0.13412791645018587,0.08519819444444443,18
smol360,960x320,diag,2,0.13581977780054671,0.08775105555555554,18
smol360,960x320,diag,3,0.14981641644741756,0.08989902777777777,18
smol360,960x320,diag,4,0.1479288052689731,0.08762774999999999,18
smol360,960x320,diag,5,0.15221336102011795,0.08534713888888887,18
smol360,960x320,diag,6,0.15423516666356057,0.08666147222222222,18
smol360,960x320,diag,7,0.15800238879051473,0.0934265833333333,18
smol360,960x320,diag,8,0.1686156389241781,0.09699194444444444,18
smol360,960x320,diag,9,0.16897272235200467,0.09800980555555555,18
smol360,960x320,diag,10,0.17219283348421255,0.09712213888888888,18
smol360,960x320,diag,11,0.17487438893936075,0.10001530555555554,18
smol360,960x320,diag,12,0.18610683341644535,0.09681166666666664,18
smol360,960x320,diag,13,0.193751388957762,0.10021633333333332,18
smol360,960x320,diag,14,0.19246966680039299,0.0881128611111111,18
smol360,960x320,diag,15,0.1999368610094123,0.0887347222222222,18
smol360,960x320,diag,16,0.2053554165023896,0.09085966666666664,18
smol360,960x320,diag,17,0.21277794426660734,0.09049308333333332,18
smol360,960x320,raw,0,0.1348261941709253,0.07441294444444443,18
smol360,960x320,raw,1,0.13457488873744336,0.09421183333333331,18
smol360,960x320,raw,2,0.13632383327010272,0.09089763888888888,18
smol360,960x320,raw,3,0.1512864998272293,0.09112480555555555,18
smol360,960x320,raw,4,0.14314358308945427,0.08938049999999999,18
smol360,960x320,raw,5,0.1504109998410443,0.08901283333333332,18
smol360,960x320,raw,6,0.1596694721922245,0.09463902777777777,18
smol360,960x320,raw,7,0.1551748887402382,0.10080808333333331,18
smol360,960x320,raw,8,0.15859813899991904,0.10345633333333332,18
smol360,960x320,raw,9,0.17982163909233273,0.10451102777777777,18
smol360,960x320,raw,10,0.17291922236061755,0.10589213888888888,18
smol360,960x320,raw,11,0.1811951109818054,0.09970813888888887,18
smol360,960x320,raw,12,0.1852330556115574,0.10319080555555554,18
smol360,960x320,raw,13,0.1932549997942646,0.10122927777777777,18
smol360,960x320,raw,14,0.19057547248148252,0.10112330555555554,18
smol360,960x320,raw,15,0.19290044430907896,0.09487572222222221,18
smol360,960x320,raw,16,0.2021117776177227,0.09568241666666666,18
smol360,960x320,raw,17,0.20795263870588604,0.10085058333333333,18
smol360,960x960,bound,0,0.15166188873668174,0.12114827777777777,18
smol360,960x960,bound,1,0.16938463894989753,0.11107613888888887,18
smol360,960x960,bound,2,0.19814594432781799,0.11146097222222223,18
smol360,960x960,bound,3,0.20445936092405514,0.11665877777777776,18
smol360,960x960,bound,4,0.20306094462577498,0.10940544444444442,18
smol360,960x960,bound,5,0.24109372240538063,0.10731244444444443,18
smol360,960x960,bound,6,0.2651266388159957,0.09392227777777777,18
smol360,960x960,bound,7,0.2553021110413273,0.10140966666666668,18
smol360,960x960,bound,8,0.27334908318460316,0.11097119444444442,18
smol360,960x960,bound,9,0.26909436129846837,0.11139216666666665,18
smol360,960x960,bound,10,0.2838666110753947,0.11788463888888888,18
smol360,960x960,bound,11,0.29747791658218703,0.1225743611111111,18
smol360,960x960,bound,12,0.3108585275830196,0.11434686111111109,18
smol360,960x960,bound,13,0.32376230569845765,0.11536958333333332,18
smol360,960x960,bound,14,0.32925697245614727,0.10610677777777777,18
smol360,960x960,bound,15,0.3813104725643098,0.11513116666666666,18
smol360,960x960,bound,16,0.3553000833630562,0.12436216666666665,18
smol360,960x960,bound,17,0.36669047223440476,0.11110591666666664,18
smol360,960x960,diag,0,0.14699686103014478,0.09991663888888887,18
smol360,960x960,diag,1,0.1685843609675301,0.10236094444444442,18
smol360,960x960,diag,2,0.18515519433074523,0.09802922222222218,18
smol360,960x960,diag,3,0.19955797235296166,0.10633977777777777,18
smol360,960x960,diag,4,0.20764147248449585,0.09759366666666665,18
smol360,960x960,diag,5,0.2293913889822728,0.103335,18
smol360,960x960,diag,6,0.2585936388995879,0.09236480555555554,18
smol360,960x960,diag,7,0.2414811665903495,0.09582702777777777,18
