model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
qwen05,896x896,raw,0.95,0.11964285714285705,18,1.0,0.8524925595238095,0.9388888888888888
qwen05,896x896,raw,0.975,0.06718749999999996,18,0.16666666666666666,0.9135044642857143,0.9499999999999998
smol360,2560x960,bound,0.5,0.30078125,9,1.0,0.2347222222222222,0.4555555555555555
smol360,2560x960,bound,0.55,0.31015625,9,1.0,0.2819010416666667,0.5055555555555556
smol360,2560x960,bound,0.6,0.313671875,9,1.0,0.33372395833333335,0.5611111111111111
smol360,2560x960,bound,0.65,0.30703125000000003,9,1.0,0.3900173611111111,0.6111111111111112
smol360,2560x960,bound,0.7,0.29257812499999997,9,1.0,0.4513020833333333,0.661111111111111
smol360,2560x960,bound,0.75,0.287109375,9,1.0,0.5180555555555555,0.7166666666666667
smol360,2560x960,bound,0.8,0.25351562499999997,9,1.0,0.591015625,0.7666666666666667
smol360,2560x960,bound,0.85,0.2386718750000001,9,1.0,0.6710503472222222,0.8277777777777778
smol360,2560x960,bound,0.9,0.19374999999999998,9,1.0,0.7606770833333333,0.8833333333333333
smol360,2560x960,bound,0.925,0.17812499999999998,9,1.0,0.8101128472222222,0.9333333333333333
smol360,2560x960,bound,0.95,0.15468749999999998,9,1.0,0.8638454861111111,0.9499999999999998
smol360,2560x960,bound,0.975,0.068359375,9,0.1111111111111111,0.9238715277777777,0.9499999999999998
smol360,2560x960,diag,0.5,0.35195312500000003,9,1.0,0.06310763888888889,0.31666666666666665
smol360,2560x960,diag,0.55,0.37734375,9,1.0,0.08042534722222222,0.35
smol360,2560x960,diag,0.6,0.391796875,9,1.0,0.10203993055555555,0.38888888888888895
smol360,2560x960,diag,0.65,0.39531250000000007,9,1.0,0.12977430555555555,0.43333333333333335
smol360,2560x960,diag,0.7,0.45546875000000003,9,1.0,0.16436631944444444,0.4833333333333334
smol360,2560x960,diag,0.75,0.45664062499999997,9,1.0,0.20672743055555554,0.5222222222222223
smol360,2560x960,diag,0.8,0.439453125,9,1.0,0.2581597222222222,0.5722222222222223
smol360,2560x960,diag,0.85,0.4484375,9,1.0,0.32122395833333334,0.6333333333333333
smol360,2560x960,diag,0.9,0.47578125,9,1.0,0.4004340277777778,0.7166666666666667
smol360,2560x960,diag,0.925,0.5144531250000001,9,1.0,0.44913194444444443,0.75
