trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,2.48,hot-cold,0.75,3648,0.9550937615320533,3648,27,1.1895883710727277,12.158377,0.9824791112854926,3648,579,7.262077340494773,0.044854,2.86729438055493
0,2.48,hot-cold,0.875,4256,0.9785556754602689,4254,34,1.4148659695730763,14.122267,0.9949311874146726,4256,415,5.6066928093191875,0.040846,1.6734369198463162
0,3.3,random,0.125,608,0.3002830851313206,606,12,0.2802820275712006,4.0517,0.7341528331618753,608,529,5.968229338044482,0.045395,144.4869090248002
0,3.3,random,0.25,1216,0.46392699310871266,1212,17,0.48355785444320853,4.194878,0.867016233693273,1216,933,10.561347949317668,0.056135,86.88635207093971
0,3.3,random,0.375,1824,0.6150207448373544,1824,25,0.7213043723993232,5.08435,0.9308674188363277,1824,1149,13.086300027526823,0.045956,51.35545047061798
0,3.3,random,0.5,2432,0.7310156360174354,2430,31,0.9355810850855015,10.774051,0.9651152513579704,2432,1218,13.994121891052933,0.062127,32.02388619426897
0,3.3,random,0.625,3040,0.8253837798373294,3036,39,1.1718595694000207,11.031191,0.9837220208565309,3040,1149,13.383821512223532,0.041968,19.183590093133105
0,3.3,random,0.75,3648,0.8985502925055352,3648,45,1.3876043157277946,12.721239,0.9936304248525452,3648,907,10.870367887542656,0.037981,10.581503688779259
0,3.3,random,0.875,4256,0.9591209626380768,4254,50,1.5908801425998025,14.902244,0.9984777518773169,4256,517,6.728783162364565,0.06393,4.103422902048637
0,3.3,local,0.125,608,0.6523289606182276,606,17,0.3352864566420525,5.129714,0.7341528331618753,608,109,1.3478572960929254,0.030206,12.543345073335587
0,3.3,local,0.25,1216,0.8001296242249042,1212,28,0.6045675983990826,8.838233,0.867016233693273,1216,220,2.7177163638141915,0.039825,8.35947169599709
0,3.3,local,0.375,1824,0.8725012448384833,1824,36,0.8423141163551973,9.350451,0.9308674188363277,1824,260,3.306512538729361,0.044333,6.689523292158639
0,3.3,local,0.5,2432,0.9322849495112426,2430,38,1.012587285784694,11.200066,0.9651152513579705,2432,284,3.7192945406178044,0.031429,3.5214879167511315
0,3.3,local,0.625,3040,0.9575679083384431,3036,44,1.2268639984708725,12.091673,0.9837220208565309,3040,283,3.8570543971519884,0.0373,2.7313062906911822
0,3.3,local,0.75,3648,0.980832003924349,3648,50,1.4426087447986464,13.685149,0.9936304248525452,3648,220,3.31275933320761,0.041368,1.3048535199696953
0,3.3,local,0.875,4256,0.9897531348123146,4254,45,1.5358757135289505,13.827536,0.9984777518773169,4256,132,2.4934421239089715,0.034985,0.8814942593393882
0,3.3,hot-cold,0.125,608,0.5244109612167548,606,9,0.24727937012868945,4.13716,0.7341528331618753,608,390,4.4391062098748,0.029726,39.99570708027742
