trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
9,2.48,local,2.479999999999999,0.7396151589129918,0.3522200591563006,212
9,2.48,hot-cold,2.4799999999999995,0.1773456174250159,0.8762553864096463,224
9,3.3,random,3.3000000000000003,-0.0538585559585882,0.432671232622332,135
9,3.3,local,3.3000000000000003,0.8005129076881199,0.39192922847055994,124
9,3.3,hot-cold,3.3,0.2112516466228564,0.9673298710448288,146
9,4.55,random,4.550000000000002,-0.01929732011478604,0.3549442907686806,120
9,4.55,local,4.550000000000002,0.5317394714670949,0.029004674470902037,119
9,4.55,hot-cold,4.550000000000001,0.023346800880175073,0.957138614716653,159
9,9.19,random,9.190000000000003,-0.011864019750450566,0.05621413432821698,24
9,9.19,local,9.190000000000008,0.314207616877438,0.9877187019988546,22
9,9.19,hot-cold,9.190000000000007,0.32186257328838835,0.9999935386657418,35
10,1.07,random,1.07,-0.028185756432740062,0.3759842174792288,279
10,1.07,local,1.07,0.9200218755722033,0.37014101953949075,244
10,1.07,hot-cold,1.07,0.491392104958883,0.7901480206059537,306
10,1.25,random,1.2500000000000002,0.06906654046649714,0.5172515814536586,267
10,1.25,local,1.25,0.7117290701997996,0.31794407835634175,248
10,1.25,hot-cold,1.2499999999999998,0.47763286186278053,0.782331855527944,293
10,1.44,random,1.44,0.07538247017318522,0.4761384547262338,280
10,1.44,local,1.44,0.8318884557076821,0.4978198779327624,251
10,1.44,hot-cold,1.44,0.24230608446820415,0.771982118454516,292
10,2.48,random,2.4800000000000013,-0.012538647778552238,0.5650757638810819,200
10,2.48,local,2.480000000000001,0.508535376908012,0.25999921406361626,201
10,2.48,hot-cold,2.4800000000000004,0.15988524682223645,0.8664450806167595,239
10,3.3,random,3.3000000000000003,-0.04073888189360868,0.4534233279866361,134
10,3.3,local,3.3000000000000003,0.7000852262668813,0.7711737829673786,163
10,3.3,hot-cold,3.3000000000000007,0.038438244591066255,0.944235750985179,180
10,4.55,random,4.55,-0.013745483505944858,0.4698453381553329,143
10,4.55,local,4.549999999999999,0.7852702996253537,0.04971464955673155,105
10,4.55,hot-cold,4.549999999999999,0.004650603478468535,0.9629942871727454,154
10,9.19,random,9.19,-0.011757171737788188,0.8389786998662153,29
10,9.19,local,9.19,0.579099736517208,0.029577477187433022,27
10,9.19,hot-cold,9.190000000000001,0.009966793287117557,0.9994813369762717,39
11,1.07,random,1.07,0.0548982753744277,0.49320124898622864,283
11,1.07,local,1.07,0.8772920303921976,0.714478746325702,294
11,1.07,hot-cold,1.07,0.37716499130662107,0.7541600650553839,309
11,1.25,random,1.25,-0.10120167930389035,0.5477597648581973,272
11,1.25,local,1.25,0.7199311992763663,0.7807207875212154,293
11,1.25,hot-cold,1.2500000000000002,0.42738835815693027,0.7815722753448592,318
11,1.44,random,1.44,-0.06580684957486682,0.4785982285147123,264
11,1.44,local,1.44,0.8643150288512801,0.5816469477730035,256
11,1.44,hot-cold,1.44,0.34462692417576496,0.8208256746603299,285
11,2.48,random,2.480000000000001,-0.0530139736291,0.43469695256022794,213
11,2.48,local,2.48,0.553409779859518,0.1720891957074946,213
11,2.48,hot-cold,2.480000000000001,0.10195678676871552,0.8733650892864535,275
11,3.3,random,3.3,-0.052675322180037454,0.6395125904274135,160
11,3.3,local,3.3000000000000003,0.6414176038163354,0.934810319011277,156
11,3.3,hot-cold,3.3000000000000007,0.19688529524190485,0.9578705377391978,158
11,4.55,random,4.550000000000002,-0.005524002143348811,0.313198210626389,133
11,4.55,local,4.550000000000001,0.5074704595420391,0.8036929505820178,154
11,4.55,hot-cold,4.550000000000001,0.3488113031529124,0.9382452582780307,195
11,9.19,random,9.190000000000001,-0.011406142293862696,0.0893138125087859,58
11,9.19,local,9.190000000000003,0.04557731700561386,0.9844143816929757,74
11,9.19,hot-cold,9.190000000000001,-0.003614192773499385,0.9755046692560461,71
12,1.07,random,1.07,-0.06294499222226568,0.5121952759759181,311
12,1.07,local,1.07,0.8624387871113761,0.3566407032868554,281
12,1.07,hot-cold,1.07,0.4466171239568593,0.7759195567496829,317
12,1.25,random,1.25,-0.09704721554744437,0.5126438178895681,285
12,1.25,local,1.2499999999999998,0.8433617567073778,0.45397015054762757,276
12,1.25,hot-cold,1.25,0.2591248519719724,0.7805794159249335,299
12,1.44,random,1.44,-0.04251152304554123,0.541920789399569,284
12,1.44,local,1.4399999999999997,0.768039167913568,0.6998205205877819,272
12,1.44,hot-cold,1.4399999999999997,0.36472743963741816,0.8355716502901186,289
12,2.48,random,2.4800000000000004,-0.03425469765666457,0.6115513296101899,236
12,2.48,local,2.4800000000000004,0.2728819195112167,0.5348448420732164,232
12,2.48,hot-cold,2.480000000000001,0.1273025735790674,0.7983572168155837,280
12,3.3,random,3.2999999999999994,-0.04615103894234705,0.4954092126643575,181
12,3.3,local,3.299999999999999,0.44399493947505153,0.9286441643214765,197
12,3.3,hot-cold,3.3,0.09458730791111158,0.9543601371788638,183
12,4.55,random,4.55,-0.031297967482412516,0.40999906235638506,99
12,4.55,local,4.550000000000001,0.4799616618281319,0.33841311523355466,84
12,4.55,hot-cold,4.55,-0.019271589556977053,0.9945274354618905,114
12,9.19,random,9.190000000000001,-0.006590260340315971,0.31433862470848223,65
12,9.19,local,9.190000000000001,0.16019148351362653,0.36303248240899955,57
12,9.19,hot-cold,9.189999999999998,-0.001937961875086,0.9986515493773445,66
13,1.07,random,1.0699999999999998,0.08772488160224645,0.4900170648798089,271
13,1.07,local,1.0699999999999998,0.8994970634178282,0.19066875618601353,245
13,1.07,hot-cold,1.0699999999999998,0.26292969815034045,0.7543116830593928,324
13,1.25,random,1.2499999999999998,0.1147439501430415,0.534062545823096,279
13,1.25,local,1.25,0.7610741417398387,0.3615071995117341,255
13,1.25,hot-cold,1.25,0.4327648015691365,0.7735599202586232,300
13,1.44,random,1.44,0.040268781168270304,0.5564453282191446,278
13,1.44,local,1.4400000000000002,0.7637052723261517,0.20474877521522888,246
13,1.44,hot-cold,1.4400000000000002,0.1561297696641486,0.7596051929336481,307
