model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_medium_code,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.8049279699722925,0.6599680068237441,21.0,6.418989505394757,0.30566616692355986,13.850739957764745,0.659559045607845,0.659559045607845,0.2191499955245255
qwen05,test_medium_code,1,0.15,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8049279699722925,0.6599680068237441,21.0,7.2881045081889635,0.34705259562804586,16.149809822440147,0.7690385629733404,0.6585174831783488,0.19777261233440738
qwen05,test_medium_code,1,0.15,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8049279699722925,0.6599680068237441,21.0,7.2881045081889635,0.34705259562804586,13.828867146745324,0.6585174831783488,0.6585174831783488,0.19777261233440738
qwen05,test_medium_code,1,0.15,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8049279699722925,0.6599680068237441,21.0,7.486121006140352,0.3564819526733501,16.19986056536436,0.7714219316840172,0.6546490821277812,0.19300483351235223
qwen05,test_medium_code,1,0.15,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8049279699722925,0.6599680068237441,21.0,7.486121006140352,0.3564819526733501,13.747630724683404,0.6546490821277812,0.6546490821277812,0.19300483351235223
qwen05,test_medium_code,2,0.2,paper,Paper |x|,importance_bound,True,0.750220904038066,0.6244548370263406,21.0,9.942361501851975,0.473445785802475,15.63316448777914,0.744436404179959,0.6274370959117299,0.20383268438954522
qwen05,test_medium_code,2,0.2,paper,Paper |x|,error_oracle,True,0.750220904038066,0.6244548370263406,21.0,9.948282501017987,0.47372773814371366,12.82125123590231,0.6105357731382052,0.6105357731382052,0.23274424901539556
qwen05,test_medium_code,2,0.2,cell1_x2,Cell-1 X²,importance_bound,True,0.750220904038066,0.6244548370263406,21.0,6.422030505323768,0.30581097644398897,15.574106134474277,0.7416241016416323,0.662075716913456,0.23822950232724663
qwen05,test_medium_code,2,0.2,cell1_x2,Cell-1 X²,error_oracle,True,0.750220904038066,0.6244548370263406,21.0,6.467306005016088,0.3079669526198137,12.801076771691442,0.6095750843662591,0.6095750843662591,0.2667690431435731
qwen05,test_medium_code,2,0.2,shifted8_x2,Shifted-8 X²,importance_bound,True,0.750220904038066,0.6244548370263406,21.0,7.294129007560969,0.34733947655052233,15.71314650028944,0.7482450714423543,0.6486802659041825,0.21919055451127817
qwen05,test_medium_code,2,0.2,shifted8_x2,Shifted-8 X²,error_oracle,True,0.750220904038066,0.6244548370263406,21.0,7.329379508247972,0.349018071821332,12.634901056066155,0.6016619550507694,0.6016619550507694,0.2572432755997135
qwen05,test_medium_code,2,0.2,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.750220904038066,0.6244548370263406,21.0,7.498672006541014,0.3570796193590959,15.508642345666885,0.7385067783650898,0.6399408483966476,0.2263275375939849
qwen05,test_medium_code,2,0.2,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.750220904038066,0.6244548370263406,21.0,7.50764200637269,0.3575067622082233,12.97126946784556,0.6176794984688362,0.6176794984688362,0.22632753759398488
qwen05,test_medium_code,3,0.25,paper,Paper |x|,importance_bound,True,0.6898037081673032,0.5854549306843962,21.0,9.96404550140798,0.47447835720990383,14.261722899973392,0.6791296619034949,0.6096351808602256,0.2701592150017901
qwen05,test_medium_code,3,0.25,paper,Paper |x|,error_oracle,True,0.6898037081673032,0.5854549306843962,21.0,9.982781501104652,0.4753705476716501,11.559054754674435,0.5504311787940207,0.5504311787940207,0.28206397690655205
qwen05,test_medium_code,3,0.25,cell1_x2,Cell-1 X²,importance_bound,True,0.6898037081673032,0.5854549306843962,21.0,6.459998505194427,0.30761897643782987,14.472201831638813,0.6891524681732768,0.6326448724139482,0.28824013157894735
qwen05,test_medium_code,3,0.25,cell1_x2,Cell-1 X²,error_oracle,True,0.6898037081673032,0.5854549306843962,21.0,6.516787003132761,0.31032319062536956,11.998752357438207,0.5713691598780098,0.5713691598780098,0.31438809076262075
qwen05,test_medium_code,3,0.25,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6898037081673032,0.5854549306843962,21.0,7.339645007658304,0.3495069051265859,14.341999605298042,0.6829523621570497,0.6022380559394757,0.2858359626745435
qwen05,test_medium_code,3,0.25,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6898037081673032,0.5854549306843962,21.0,7.348905507365644,0.34994788130312593,12.237464750185609,0.5827364166755051,0.5827364166755051,0.26914803750447536
qwen05,test_medium_code,3,0.25,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6898037081673032,0.5854549306843962,21.0,7.5402090045703645,0.35905757164620783,14.19507809728384,0.6759560998706591,0.6011483408621556,0.29058136412459723
qwen05,test_medium_code,3,0.25,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6898037081673032,0.5854549306843962,21.0,7.539770505523025,0.35903669073919164,12.072840863838792,0.5748971839923234,0.5748971839923234,0.2692165682062298
qwen05,test_medium_code,4,0.3,paper,Paper |x|,importance_bound,True,0.6404096356460026,0.5553918111891973,21.0,9.996580501488983,0.47602764292804683,13.241332091391087,0.6305396233995756,0.5744269612866143,0.3211796231650554
