method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_twoline,Cell-1 |x| 2-line,abs,2,0.2,189,0.4059140612422767,0.37491571181599204,0.030998349426284624,0.08156303968253967,0.1125613891088243,0.24100778306878304,0.08069040476190475,0.1203149126984127,0.01559466672026444,0.03675022234440476,0.6841850357041472,0.28816405648276916,0.2509801881338553,0.19999060404664257,4.4603174603174605,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,3,0.25,189,0.44409905844145636,0.4131007090151717,0.030998349426284624,0.08469529629629628,0.11569364572258091,0.27591525396825395,0.08632689153439152,0.14842458994708993,0.015919407396010568,0.03657075135461075,0.6351110580125972,0.24043689770673315,0.308938133968878,0.25,5.317460317460317,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,4,0.3,189,0.48631495812081565,0.455316608694531,0.030998349426284624,0.08418963756613755,0.11518798699242219,0.30989894973544974,0.09425627513227512,0.17412285449735448,0.015692190474106155,0.04553583091883743,0.5988311987744752,0.21219315226115873,0.35950555388258876,0.3000093959533574,5.862433862433862,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,5,0.35,189,0.5349447514349112,0.5039464020086265,0.030998349426284624,0.0850603677248677,0.11605871715115235,0.350566880952381,0.10479082275132273,0.20342251322751323,0.016024211603931283,0.052294941727446455,0.5592075185702433,0.1833826098492536,0.41157304783346793,0.3501498457487061,6.164021164021164,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,6,0.4,189,0.5742091008558033,0.5432107514295187,0.030998349426284624,0.0858445767195767,0.11684292614586135,0.3857605026455026,0.11407108994708993,0.22902506878306875,0.015943957650393352,0.05566171441404589,0.5269119868537894,0.1627872267728129,0.4609478801961929,0.3998501542512938,6.5396825396825395,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,7,0.45,189,0.6127256798990558,0.5817273304727711,0.030998349426284624,0.08610146825396825,0.11709981768025288,0.4231622857142857,0.12636639153439153,0.2536518386243386,0.015335280413704841,0.057128296090812235,0.48847567210732784,0.14012580700021568,0.5103638582128697,0.4499906040466426,6.714285714285714,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,8,0.5,189,0.6469349020493579,0.6159365526230732,0.030998349426284624,0.0863330238095238,0.11733137323580843,0.4596376455026455,0.1367615476190476,0.2787585423280423,0.016050285684368545,0.053915597626535305,0.45279262507600443,0.12110869594351951,0.5599855610302517,0.5,6.888888888888889,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,9,0.55,189,0.7053200348611123,0.6743216854348277,0.030998349426284624,0.08706484656084655,0.11806319598713118,0.5069723941798941,0.15060683333333333,0.30978229100529103,0.015966984127997987,0.06431746056608892,0.41935965568122885,0.10427803747237671,0.6076299620683862,0.5500093959533574,6.873015873015873,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,10,0.6,189,0.7621429868126143,0.7311446373863295,0.030998349426284624,0.08822509523809521,0.11922344466437987,0.5518260396825396,0.16626201058201057,0.33798941798941795,0.01662831743637085,0.07446518502932373,0.38276835276237714,0.08783430744100497,0.6561843945235802,0.6001498457487062,6.62962962962963,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,11,0.65,189,0.8084900664480009,0.7774917170217163,0.030998349426284624,0.09017986772486772,0.12117821715115235,0.5918573730158729,0.17828855820105818,0.3642166798941799,0.01651741797843618,0.07893705830253932,0.3515935130811558,0.07451296483398111,0.7012449124502758,0.6498501542512938,6.285714285714286,1.0,0.0
