trial,target_cv,spatial_mode,budget_fraction,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
1,3.3,random,0.625,0.8244196923825355,lookup_supported,Lookup supported,3072,0.631578947368421,0.8333571086614651,1.052155361403659,1.048089872285603,26,True
1,3.3,random,0.625,0.8244196923825355,exact_coverage,Exact global coverage,3076,0.6324013157894737,0.8244627960050618,1.0220811215615395,1.0393845247363227,22,True
1,3.3,random,0.75,0.8971568915333237,paper,Paper greedy,3648,0.75,0.8971568915333237,1.4283089839312733,1.3855893914638735,48,True
1,3.3,random,0.75,0.8971568915333237,quant,"Quant q=131,072",3598,0.7397203947368421,0.8972019891889668,1.18006606763221,1.2068847792031128,24,True
1,3.3,random,0.75,0.8971568915333237,global_supported,Two-line supported,3598,0.7397203947368421,0.8972019891889668,1.18006606763221,1.2068847792031128,24,True
1,3.3,random,0.75,0.8971568915333237,lookup_supported,Lookup supported,3553,0.73046875,0.8978025004829143,1.1941846460346166,1.1978177329320925,28,True
1,3.3,random,0.75,0.8971568915333237,exact_coverage,Exact global coverage,3599,0.7399259868421053,0.897184619426572,1.1800627247904083,1.2080349540984547,24,True
1,3.3,random,0.875,0.9583273514108348,paper,Paper greedy,4254,0.8745888157894737,0.9583273514108348,1.6727095680558275,1.637089971034042,56,True
1,3.3,random,0.875,0.9583273514108348,quant,"Quant q=131,072",4123,0.84765625,0.9590372741593154,1.3448137774890825,1.3760054804213182,26,True
1,3.3,random,0.875,0.9583273514108348,global_supported,Two-line supported,4123,0.84765625,0.9590372741593154,1.3448137774890825,1.3760054804213182,26,True
1,3.3,random,0.875,0.9583273514108348,lookup_supported,Lookup supported,4114,0.8458059210526315,0.9598600002700272,1.3569691567531466,1.3726730913371925,29,True
1,3.3,random,0.875,0.9583273514108348,exact_coverage,Exact global coverage,4117,0.846422697368421,0.9583410464205862,1.34269752916604,1.3734333890106392,26,True
1,4.55,hot-cold,0.125,0.5452764643794346,paper,Paper greedy,606,0.12458881578947369,0.5452764643794346,0.2470768348126763,0.2366695267051628,9,True
1,4.55,hot-cold,0.125,0.5452764643794346,quant,"Quant q=131,072",629,0.12931743421052633,0.5461114776776239,0.2053419946611333,0.2112930430574101,4,True
1,4.55,hot-cold,0.125,0.5452764643794346,global_supported,Two-line supported,629,0.12931743421052633,0.5461114776776239,0.2053419946611333,0.2112930430574101,4,True
1,4.55,hot-cold,0.125,0.5452764643794346,lookup_supported,Lookup supported,679,0.1395970394736842,0.5742877277141968,0.2275238934051979,0.2296774397357199,5,True
1,4.55,hot-cold,0.125,0.5452764643794346,exact_coverage,Exact global coverage,628,0.12911184210526316,0.5452825384399215,0.2050166751377269,0.2109607248908272,4,True
1,4.55,hot-cold,0.25,0.7609745383081948,paper,Paper greedy,1212,0.24917763157894737,0.7609745383081948,0.4941536696253527,0.4756714886990333,18,True
1,4.55,hot-cold,0.25,0.7609745383081948,quant,"Quant q=131,072",1186,0.24383223684210525,0.7642025653014601,0.3902306828654898,0.3968015133374738,8,True
1,4.55,hot-cold,0.25,0.7609745383081948,global_supported,Two-line supported,1186,0.24383223684210525,0.7642025653014601,0.3902306828654898,0.3968015133374738,8,True
1,4.55,hot-cold,0.25,0.7609745383081948,lookup_supported,Lookup supported,1172,0.24095394736842105,0.7621926116446665,0.3900309858768051,0.3934553025318924,8,True
1,4.55,hot-cold,0.25,0.7609745383081948,exact_coverage,Exact global coverage,1176,0.24177631578947367,0.7610713291294959,0.3869774876314255,0.3934783316716451,8,True
1,4.55,hot-cold,0.375,0.8641470875845332,paper,Paper greedy,1824,0.375,0.8641470875845332,0.7094475773781942,0.6832804301091243,24,True
1,4.55,hot-cold,0.375,0.8641470875845332,quant,"Quant q=131,072",1721,0.35382401315789475,0.8684569205416125,0.5623163916382968,0.5730725710605459,11,True
1,4.55,hot-cold,0.375,0.8641470875845332,global_supported,Two-line supported,1721,0.35382401315789475,0.8684569205416125,0.5623163916382968,0.5730725710605459,11,True
1,4.55,hot-cold,0.375,0.8641470875845332,lookup_supported,Lookup supported,1747,0.35916940789473684,0.872230055919564,0.5709272924878533,0.5792296846411683,12,True
1,4.55,hot-cold,0.375,0.8641470875845332,exact_coverage,Exact global coverage,1696,0.34868421052631576,0.8641842043603909,0.5541012379618341,0.5655921455226799,10,True
1,4.55,hot-cold,0.5,0.9247059033692232,paper,Paper greedy,2430,0.4995888157894737,0.9247059033692232,0.9565244121908706,0.9272815030665854,33,True
1,4.55,hot-cold,0.5,0.9247059033692232,quant,"Quant q=131,072",2184,0.44901315789473684,0.9255118864677114,0.7104978391196434,0.7280355392604172,13,True
1,4.55,hot-cold,0.5,0.9247059033692232,global_supported,Two-line supported,2184,0.44901315789473684,0.9255118864677114,0.7104978391196434,0.7280355392604172,13,True
1,4.55,hot-cold,0.5,0.9247059033692232,lookup_supported,Lookup supported,2237,0.45990953947368424,0.9306098705553668,0.7382100177803804,0.7448145700424107,16,True
1,4.55,hot-cold,0.5,0.9247059033692232,exact_coverage,Exact global coverage,2174,0.44695723684210525,0.924712441141551,0.7075615683091725,0.7256599219107865,13,True
1,4.55,hot-cold,0.625,0.9520978947097796,paper,Paper greedy,3036,0.6241776315789473,0.9520978947097796,1.1711106246144178,1.1372773169619348,39,True
1,4.55,hot-cold,0.625,0.9520978947097796,quant,"Quant q=131,072",2586,0.5316611842105263,0.95293556667192,0.8470748306866258,0.8657822271887776,17,True
1,4.55,hot-cold,0.625,0.9520978947097796,global_supported,Two-line supported,2586,0.5316611842105263,0.95293556667192,0.8470748306866258,0.8657822271887776,17,True
1,4.55,hot-cold,0.625,0.9520978947097796,lookup_supported,Lookup supported,2588,0.5320723684210527,0.9529101132632448,0.8494509471507804,0.8610660554268422,17,True
1,4.55,hot-cold,0.625,0.9520978947097796,exact_coverage,Exact global coverage,2568,0.5279605263157895,0.9520979834505616,0.8424515631348399,0.8626623832541233,17,True
1,4.55,hot-cold,0.75,0.9677778351850208,paper,Paper greedy,3648,0.75,0.9677778351850208,1.36429025036541,1.3329760753643685,42,True
1,4.55,hot-cold,0.75,0.9677778351850208,quant,"Quant q=131,072",2894,0.594983552631579,0.9682064697611522,0.943024109031332,0.9648612495283612,18,True
1,4.55,hot-cold,0.75,0.9677778351850208,global_supported,Two-line supported,2894,0.594983552631579,0.9682064697611522,0.943024109031332,0.9648612495283612,18,True
1,4.55,hot-cold,0.75,0.9677778351850208,lookup_supported,Lookup supported,2878,0.5916940789473685,0.9679662150818517,0.947561488196922,0.9581213074074728,20,True
