trial,target_cv,spatial_mode,budget_fraction,budget_rows,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
0,1.25,hot-cold,0.875,4256,0.958999043535764,exact_coverage,Exact global I-bound,4021,0.8266858552631579,0.9590073032211824,1.308426728040849,1.338326391764444,24,True
0,1.25,hot-cold,0.875,4256,0.958999043535764,cell1_fixed,Cell-1 fixed-R,4256,0.875,0.9713379175644008,1.3845598916177666,1.414346116976705,1,True
0,1.25,hot-cold,0.875,4256,0.958999043535764,cell1_bound,Cell-1 I-bound,4086,0.8400493421052632,0.9606104401212607,1.3292555726386737,1.357852028657617,1,True
0,1.25,local,0.125,608,0.3708068848847259,paper,Paper fixed-R,606,0.12458881578947369,0.3708068848847259,0.2581574516968302,0.2463037690809618,10,True
0,1.25,local,0.125,608,0.3708068848847259,exact_coverage,Exact global I-bound,604,0.12417763157894737,0.3709441577023089,0.2244292931801598,0.2248963809981259,7,True
0,1.25,local,0.125,608,0.3708068848847259,cell1_fixed,Cell-1 fixed-R,608,0.125,0.3094646452123915,0.20325241308188446,0.20568949228475186,5,False
0,1.25,local,0.125,608,0.3708068848847259,cell1_bound,Cell-1 I-bound,827,0.17002467105263158,0.3846763906734133,0.2704125850260224,0.2750264292408171,6,True
0,1.25,local,0.25,1216,0.5518457866212039,paper,Paper fixed-R,1212,0.24917763157894737,0.5518457866212039,0.4941536696253527,0.4804607343118755,18,True
0,1.25,local,0.25,1216,0.5518457866212039,exact_coverage,Exact global I-bound,1225,0.2518503289473684,0.5519100571394255,0.4332372474687742,0.4351002125587881,12,True
0,1.25,local,0.25,1216,0.5518457866212039,cell1_fixed,Cell-1 fixed-R,1216,0.25,0.4844562181220289,0.39817088761742436,0.4051489894848424,8,False
0,1.25,local,0.25,1216,0.5518457866212039,cell1_bound,Cell-1 I-bound,1605,0.3299753289473684,0.5579662287051437,0.5221378350673204,0.5328060061729953,8,True
0,1.25,local,0.375,1824,0.687799877368507,paper,Paper fixed-R,1824,0.375,0.687799877368507,0.702334384759765,0.6868944020112386,23,True
0,1.25,local,0.375,1824,0.687799877368507,exact_coverage,Exact global I-bound,1822,0.3745888157894737,0.6878182060337412,0.633427615224229,0.6420860059820152,16,True
0,1.25,local,0.375,1824,0.687799877368507,cell1_fixed,Cell-1 fixed-R,1824,0.375,0.5993754471119362,0.5933828106933285,0.6047367078658719,8,False
0,1.25,local,0.375,1824,0.687799877368507,cell1_bound,Cell-1 I-bound,2335,0.4800575657894737,0.6979905003264131,0.7596210871540143,0.7745512909897198,9,True
0,1.25,local,0.5,2432,0.787271329288808,paper,Paper fixed-R,2430,0.4995888157894737,0.787271329288808,0.9272499858041336,0.9023989551691984,30,True
0,1.25,local,0.5,2432,0.787271329288808,exact_coverage,Exact global I-bound,2400,0.4934210526315789,0.7872782761374342,0.8169666681147654,0.8242869866382343,19,True
0,1.25,local,0.5,2432,0.787271329288808,cell1_fixed,Cell-1 fixed-R,2432,0.5,0.7182533938465524,0.7918813574213123,0.8087991978324917,8,False
0,1.25,local,0.5,2432,0.787271329288808,cell1_bound,Cell-1 I-bound,2967,0.6099917763157895,0.7925910692648681,0.9652230259468783,0.985579189194575,8,True
0,1.25,local,0.625,3040,0.862428718460519,paper,Paper fixed-R,3036,0.6241776315789473,0.862428718460519,1.1278445718231138,1.1097630262948022,33,True
0,1.25,local,0.625,3040,0.862428718460519,exact_coverage,Exact global I-bound,2964,0.609375,0.862433155676771,0.9860092111300712,1.0003181880441798,20,True
0,1.25,local,0.625,3040,0.862428718460519,cell1_fixed,Cell-1 fixed-R,3040,0.625,0.803149442676111,0.9889713511555476,1.0098384153551248,8,False
0,1.25,local,0.625,3040,0.862428718460519,cell1_bound,Cell-1 I-bound,3453,0.7099095394736842,0.8637833017862988,1.1233283143224033,1.147212303614401,8,True
0,1.25,local,0.75,3648,0.9161250994551138,paper,Paper fixed-R,3648,0.75,0.9161250994551138,1.3271514030969114,1.3140080227941902,37,True
0,1.25,local,0.75,3648,0.9161250994551138,exact_coverage,Exact global I-bound,3441,0.7074424342105263,0.9161277635647014,1.1330757061392709,1.1532508289940695,22,True
0,1.25,local,0.75,3648,0.9161250994551138,cell1_fixed,Cell-1 fixed-R,3648,0.75,0.8884461751388895,1.1882328640884783,1.213111322307158,6,False
0,1.25,local,0.75,3648,0.9161250994551138,cell1_bound,Cell-1 I-bound,3891,0.7999588815789473,0.9187770367629571,1.2658182655744197,1.2927676605776992,6,True
0,1.25,local,0.875,4256,0.9606698124971832,paper,Paper fixed-R,4254,0.8745888157894737,0.9606698124971832,1.4977438103490512,1.4994511486150393,36,True
0,1.25,local,0.875,4256,0.9606698124971832,exact_coverage,Exact global I-bound,3965,0.815172697368421,0.9606739064880392,1.293366341024408,1.3206588469453475,22,True
0,1.25,local,0.875,4256,0.9606698124971832,cell1_fixed,Cell-1 fixed-R,4256,0.875,0.9508034225923097,1.3845598916177666,1.4143461169767053,3,False
0,1.25,local,0.875,4256,0.9606698124971832,cell1_bound,Cell-1 I-bound,4378,0.9000822368421053,0.9635848971962918,1.4242488734733512,1.4548889332998156,3,True
0,1.25,random,0.125,608,0.1584561569247909,paper,Paper fixed-R,606,0.12458881578947369,0.1584561569247909,0.2145862124235473,0.2108658122086914,6,True
0,1.25,random,0.125,608,0.1584561569247909,exact_coverage,Exact global I-bound,619,0.12726151315789475,0.1584802991486525,0.2029221932817034,0.2070896614845646,4,True
0,1.25,random,0.125,608,0.1584561569247909,cell1_fixed,Cell-1 fixed-R,608,0.125,0.15193436368644425,0.2032406751402699,0.20645869562135202,5,False
0,1.25,random,0.125,608,0.1584561569247909,cell1_bound,Cell-1 I-bound,681,0.14000822368421054,0.16397729187292764,0.22154259543977892,0.22682029456631775,5,True
0,1.25,random,0.25,1216,0.3107151158179099,paper,Paper fixed-R,1212,0.24917763157894737,0.3107151158179099,0.4291724248470946,0.4244013303769794,12,True
0,1.25,random,0.25,1216,0.3107151158179099,exact_coverage,Exact global I-bound,1231,0.25308388157894735,0.3107391151998587,0.4060086417553924,0.4137303469807049,9,True
0,1.25,random,0.25,1216,0.3107151158179099,cell1_fixed,Cell-1 fixed-R,1216,0.25,0.29404837028434666,0.4064813502805398,0.41485631899877096,10,False
0,1.25,random,0.25,1216,0.3107151158179099,cell1_bound,Cell-1 I-bound,1362,0.2800164473684211,0.3254305926334701,0.451865171207256,0.4622182595219954,9,True
0,1.25,random,0.375,1824,0.4540278373948716,paper,Paper fixed-R,1824,0.375,0.4540278373948716,0.6452175608632685,0.6373738936926134,18,True
0,1.25,random,0.375,1824,0.4540278373948716,exact_coverage,Exact global I-bound,1845,0.3793174342105263,0.4540293277924709,0.6055083323530346,0.6177801853581316,13,True
0,1.25,random,0.375,1824,0.4540278373948716,cell1_fixed,Cell-1 fixed-R,1824,0.375,0.42146939726673216,0.5975028282000425,0.6121606114156901,9,False
0,1.25,random,0.375,1824,0.4540278373948716,cell1_bound,Cell-1 I-bound,1994,0.40995065789473684,0.45488829364576444,0.6505182485642946,0.6656971710573121,8,True
0,1.25,random,0.5,2432,0.5834883560437163,paper,Paper fixed-R,2430,0.4995888157894737,0.5834883560437163,0.848723156402662,0.8353641748214868,23,True
0,1.25,random,0.5,2432,0.5834883560437163,exact_coverage,Exact global I-bound,2426,0.4987664473684211,0.5834906890706713,0.7945659272186287,0.811501224698499,17,True
0,1.25,random,0.5,2432,0.5834883560437163,cell1_fixed,Cell-1 fixed-R,2432,0.5,0.5489205997249893,0.7983489632509402,0.8143062948374572,9,False
0,1.25,random,0.5,2432,0.5834883560437163,cell1_bound,Cell-1 I-bound,2627,0.5400904605263158,0.587553478180433,0.8583470534221251,0.8779342258395748,8,True
0,1.25,random,0.625,3040,0.7081852891467499,paper,Paper fixed-R,3036,0.6241776315789473,0.7081852891467499,1.0743899857103631,1.057877866931414,30,True
0,1.25,random,0.625,3040,0.7081852891467499,exact_coverage,Exact global I-bound,3024,0.6217105263157895,0.7081965816378286,0.9877219251051548,1.0104487390181416,21,True
0,1.25,random,0.625,3040,0.7081852891467499,cell1_fixed,Cell-1 fixed-R,3040,0.625,0.6697089464215533,0.9921288574498669,1.0144556861077874,8,False
0,1.25,random,0.625,3040,0.7081852891467499,cell1_bound,Cell-1 I-bound,3259,0.6700246710526315,0.7138399753607128,1.0648762896025399,1.0860902191811204,7,True
0,1.25,random,0.75,3648,0.818193113016735,paper,Paper fixed-R,3648,0.75,0.818193113016735,1.288228388702998,1.266847257222061,35,True
0,1.25,random,0.75,3648,0.818193113016735,exact_coverage,Exact global I-bound,3592,0.7384868421052632,0.8181955615484755,1.1704727505006864,1.1972296387312358,23,True
0,1.25,random,0.75,3648,0.818193113016735,cell1_fixed,Cell-1 fixed-R,3648,0.75,0.7881328622149685,1.1914255842076413,1.2153619859818579,6,False
