trial,target_cv,spatial_mode,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,cell_rows,tile_rows,repair_rows,strategy
1,1.44,hot-cold,3259,0.6700246710526315,0.9007651945641268,1.0602163267815559,1.0830249048935814,1,135,135,19,1
1,1.44,hot-cold,3308,0.6800986842105263,0.9049526640857313,1.076156983428471,1.0993084950561423,1,135,135,68,1
1,1.44,hot-cold,3356,0.6899671052631579,0.9092951366610682,1.0925000729320828,1.115878537233076,2,135,135,19,2
1,1.44,hot-cold,3405,0.7000411184210527,0.9135537288559455,1.1077129771988947,1.1315433572146807,2,135,135,30,1
1,1.44,hot-cold,3453,0.7099095394736842,0.91783553529707,1.123328314322403,1.1474946292106587,2,135,135,78,1
1,1.44,hot-cold,3502,0.719983552631579,0.9217285048724583,1.1392689709693182,1.1637782193732196,2,135,135,127,1
1,1.44,hot-cold,3551,0.7300575657894737,0.9255929187793052,1.1552096276162334,1.1800618095357802,1,135,135,41,1
1,1.44,hot-cold,3599,0.7399259868421053,0.9292697933707953,1.1708249647397422,1.196013081531758,1,135,135,89,1
1,1.44,hot-cold,3648,0.75,0.9327286937873556,1.186765621386657,1.2122966716943187,1,135,135,3,1
1,1.44,hot-cold,3697,0.7600740131578947,0.9361655302858816,1.2027062780335722,1.2285802618568795,1,135,135,52,1
1,1.44,hot-cold,3745,0.7699424342105263,0.939510073887779,1.2183216151570808,1.2445315338528573,1,135,135,100,1
1,1.44,hot-cold,3794,0.780016447368421,0.9431408862761762,1.234262271803996,1.2608151240154182,1,135,135,14,1
1,1.44,hot-cold,3843,0.7900904605263158,0.9461963017085556,1.250202928450911,1.277098714177979,1,135,135,63,1
1,1.44,hot-cold,3891,0.7999588815789473,0.9494821012969593,1.2658182655744197,1.2930499861739568,1,135,135,111,1
1,1.44,hot-cold,3940,0.8100328947368421,0.9524446625288823,1.2817589222213348,1.3093335763365175,1,135,135,25,1
1,1.44,hot-cold,3988,0.8199013157894737,0.9554052489401819,1.2973742593448434,1.3252848483324953,1,135,135,73,1
1,1.44,hot-cold,4037,0.8299753289473685,0.9586958039347391,1.3133149159917585,1.3415684384950561,1,135,135,122,1
1,1.44,hot-cold,4086,0.8400493421052632,0.9615645696333099,1.3292555726386737,1.357852028657617,1,135,135,99,2
1,1.44,hot-cold,4134,0.8499177631578947,0.964512979802194,1.3448709097621823,1.3738033006535948,1,135,135,51,2
1,1.44,hot-cold,4183,0.8599917763157895,0.9675226986706227,1.3608115664090974,1.3900868908161554,1,135,135,2,2
