trial,target_cv,spatial_mode,budget_fraction,target_importance,paper_r,cell1_fixed_r,cell1_bound_r,exact_r,cell1_fixed_importance_change_pct,cell1_fixed_two_line_saving_pct,cell1_bound_two_line_saving_pct,exact_two_line_saving_pct,exact_headroom_vs_cell1_bound_pct,cell1_bound_released_saving_pct,exact_released_saving_pct
0,3.3,hot-cold,0.125,0.4825822163505203,0.1245888157894736,0.125,0.1299342105263158,0.1223273026315789,-2.3446831367058274,12.058448007752453,8.587070955426901,13.359488163027876,5.22072452713328,3.031641810577912,8.288572685428552
0,3.3,hot-cold,0.25,0.6950906846599832,0.2491776315789473,0.25,0.2600740131578947,0.2436266447368421,-0.3152639013859093,14.451486162520366,11.004218746371908,16.6324104462061,6.324110671936767,6.894198343373381,12.754916122272963
0,3.3,hot-cold,0.375,0.8160931657327518,0.375,0.375,0.375,0.3604029605263157,0.3548743202369309,10.263684735626144,10.263684735626144,13.708782201322512,3.8391340847311217,7.278063464660168,10.638445625735947
0,3.3,hot-cold,0.5,0.8957039918079073,0.4995888157894737,0.5,0.5,0.4777960526315789,0.28002263411011086,11.943895380078228,11.943895380078228,14.796093841197322,3.2390695380292933,8.529880579096528,11.326393217376896
0,3.3,hot-cold,0.625,0.9391077083650716,0.6241776315789473,0.625,0.5999177631578947,0.5830592105263158,1.0000304899902224,10.298529814710754,13.898391447146697,16.289224965150172,2.7767582489888976,10.818484958972396,13.159482049478866
0,3.3,hot-cold,0.75,0.9618168724375896,0.75,0.75,0.6899671052631579,0.6803042763157895,1.1293733728077182,8.511363121386085,15.834466731187424,17.013185462902026,1.4004767580452993,13.207944487399315,14.410869215584722
0,3.3,hot-cold,0.875,0.9793318142908246,0.8745888157894737,0.875,0.7999588815789473,0.7781661184210527,1.1149838254636224,7.512021380969969,15.443908645055016,17.617256819903904,2.570303499159776,13.172346459979224,15.467996219427393
0,3.3,local,0.125,0.5784589155176532,0.1245888157894736,0.125,0.25,0.1256167763157894,-31.263758213491887,39.45458136582055,-21.090837268358896,12.840006738539078,28.020983893026663,-22.649540800686086,11.825048626316793
0,3.3,local,0.25,0.7412912127316118,0.2491776315789473,0.25,0.4099506578947368,0.2598684210526316,-19.744621179226375,32.800778465354774,-7.228131261795134,17.66009847794574,23.210541344767822,-11.41776584650298,17.506681573290916
0,3.3,local,0.375,0.8433462484213852,0.375,0.375,0.5400904605263158,0.3852796052631579,-15.8193845058494,30.617394210437464,0.07231063093159351,20.41329729685144,20.355706005362894,-4.2487959854167645,19.006302812635056
