trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,exact_build_ms
11,3.3,local,3.3000000000000003,0.5703320920284154,0.25729624346426344,30.098905
11,3.3,hot-cold,3.3000000000000007,0.12122760192865166,0.9488401610343682,30.243766
11,4.55,random,4.550000000000002,-0.019384538225864396,0.6875774961553308,29.904522
11,4.55,local,4.550000000000002,0.37901931732382277,0.3442348375367584,29.856012
11,4.55,hot-cold,4.550000000000001,0.06196267020298766,0.9425554312804221,30.304831
11,9.19,random,9.190000000000003,0.13048064382802504,0.881797577212719,39.802101
11,9.19,local,9.190000000000001,0.187011180693625,0.9876318569814753,29.644406
11,9.19,hot-cold,9.19,-0.0018991681508728304,0.9949680108623168,29.80693
12,1.07,random,1.0699999999999998,-0.036079707817645364,0.4571683484020034,30.171822
12,1.07,local,1.0699999999999998,0.9200069529684931,0.434995677016369,29.851493
12,1.07,hot-cold,1.07,0.3049012475381417,0.7573735082660948,30.040115
12,1.25,random,1.25,0.027293805367976407,0.47597279859309516,29.95711
12,1.25,local,1.25,0.837600737665247,0.4282096461309761,30.02647
12,1.25,hot-cold,1.2500000000000002,0.3714087535840673,0.7696861450266143,32.134718
12,1.44,random,1.44,0.008483419199272344,0.5195776176427993,31.744409
12,1.44,local,1.4399999999999997,0.8077182174706515,0.4162768765614995,33.086616
12,1.44,hot-cold,1.4399999999999997,0.24719036523409055,0.7847029948807531,29.971507
12,2.48,random,2.48,-0.04114856261163877,0.37688556427004194,30.887098
12,2.48,local,2.4800000000000004,0.6984757808973615,0.7755718042734568,29.962
12,2.48,hot-cold,2.48,0.5055344766587896,0.8982783003890124,43.17391
12,3.3,random,3.3000000000000003,0.026931988957755258,0.5339692036968704,31.751473
12,3.3,local,3.3000000000000007,0.39985936805248,0.644665522697539,32.55327
12,3.3,hot-cold,3.3,0.12288260615709433,0.9440497135833511,33.037054
12,4.55,random,4.550000000000002,0.016119284704019122,0.4043187473126551,38.997098
12,4.55,local,4.550000000000002,0.3196408777343593,0.28161064946245373,30.141334
12,4.55,hot-cold,4.550000000000002,0.05350170067329041,0.9538048787635072,30.089719
12,9.19,random,9.190000000000001,-0.011374722391231861,0.7152515530360887,29.966809
12,9.19,local,9.190000000000003,0.10453727011471126,0.9241164014268283,29.776904
12,9.19,hot-cold,9.190000000000001,0.28708086764267493,0.9715698378564914,29.938475
13,1.07,random,1.07,0.05519282492642765,0.517782002087531,33.40963
