trial,target_cv,spatial_mode,coverage_target,target_importance,exact_importance,exact_rows,exact_chunks,exact_aff_ms,exact_build_ms,exact_solve_ms,exact_single_query_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,single_gap_pct,single_exact
0,9.19,local,0.3,0.3,0.5143965983018776,1,1,0.011140698541941383,30.035547,0.13884,30.174387,0.5143965983018776,1,1,0.011140698541941383,0.065502,0.0,True
0,9.19,local,0.5,0.5,0.5143965983018776,1,1,0.011140698541941383,30.035547,0.142797,30.178344000000003,0.5143965983018776,1,1,0.011140698541941383,0.070532,0.0,True
0,9.19,local,0.7,0.7,0.700118500224721,2,1,0.011280511269712393,30.035547,0.125805,30.161352,0.700118500224721,2,1,0.011280511269712393,0.064741,0.0,True
0,9.19,local,0.9,0.9,0.9075082797529795,6,1,0.011839762180796434,30.035547,0.129142,30.164689000000003,0.9075082797529795,6,1,0.011839762180796434,0.065242,0.0,True
0,9.19,local,0.95,0.95,0.9547178023439055,25,1,0.014496204008445623,30.035547,0.126346,30.161893000000003,0.9547178023439054,25,1,0.014496204008445623,0.061494,0.0,True
0,9.19,local,0.99,0.99,0.9930356119151489,140,1,0.03057466770211177,30.035547,0.143168,30.178715,0.9930356119151488,140,1,0.03057466770211177,0.049272,0.0,True
0,9.19,hot-cold,0.1,0.1,0.5143965983018776,1,1,0.011140698541941383,29.947603,0.195886,30.143489000000002,0.5143965983018776,1,1,0.011140698541941383,0.065191,0.0,True
0,9.19,hot-cold,0.3,0.3,0.5143965983018776,1,1,0.011140698541941383,29.947603,0.126766,30.074369,0.5143965983018776,1,1,0.011140698541941383,0.04786,0.0,True
0,9.19,hot-cold,0.5,0.5,0.5143965983018776,1,1,0.011140698541941383,29.947603,0.127618,30.075221,0.5143965983018776,1,1,0.011140698541941383,0.047058,0.0,True
0,9.19,hot-cold,0.7,0.7,0.7116549613284795,7,1,0.011979574908567443,29.947603,0.123511,30.071114,0.7116549613284795,7,1,0.011979574908567443,0.045866,0.0,True
0,9.19,hot-cold,0.9,0.9,0.9474191216750785,59,1,0.01924983675265996,29.947603,0.127779,30.075382,0.9474191216750788,59,1,0.01924983675265996,0.044403,0.0,True
0,9.19,hot-cold,0.95,0.95,0.9502270270010863,65,1,0.02008871311928602,29.947603,0.127929,30.075532000000003,0.9502270270010865,65,1,0.02008871311928602,0.044002,0.0,True
0,9.19,hot-cold,0.99,0.99,0.9901859769679633,140,1,0.03057466770211177,29.947603,0.146263,30.093866000000002,0.9901859769679633,140,1,0.03057466770211177,0.041908,0.0,True
1,1.07,random,0.1,0.1,0.10590095865914835,15,1,0.013098076730735523,30.096881,0.199122,30.296003,0.10590095865914835,15,1,0.013098076730735523,0.087404,0.0,True
1,1.07,random,0.3,0.3,0.30441619290278943,65,1,0.02008871311928602,30.096881,0.142476,30.239357,0.3044161929027894,65,1,0.02008871311928602,0.072195,0.0,True
1,1.07,random,0.5,0.5,0.5006049722671774,126,1,0.02861728951331763,30.096881,0.135463,30.232344,0.5006049722671777,126,1,0.02861728951331763,0.060072,0.0,True
1,1.07,random,0.7,0.7,0.7013286282454467,180,1,0.036167176812952166,30.096881,0.143077,30.239958,0.7013286282454462,180,1,0.036167176812952166,0.051356,0.0,True
1,1.07,random,0.9,0.9,0.9069291986954361,233,1,0.0435772513848157,30.096881,0.164968,30.261848999999998,0.9069291986954355,233,1,0.0435772513848157,0.04258,0.0,True
1,1.07,random,0.95,0.95,0.9524573274706846,246,1,0.04539481684583883,30.096881,0.129602,30.226482999999998,0.9524573274706839,246,1,0.04539481684583883,0.039925,0.0,True
