n,model,shape,trial,target_cv,actual_cv,spatial_mode,lag1_corr,first_half_mass,budget_fraction,budget_rows,row_size_kib,a_ms_per_chunk,c_ms_per_row,profitable_gap_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_lookup_ms,paper_runtime_ms,merge_importance,merge_rows,merge_chunks,merge_aff_ms,merge_lookup_ms,merge_affine_ratio,merge_lookup_ratio,merge_affine_saving_pct,merge_lookup_saving_pct,refined_importance,refined_rows,refined_chunks,refined_aff_ms,refined_lookup_ms,refined_affine_ratio,refined_lookup_ratio,refined_affine_saving_pct,refined_lookup_saving_pct,refined_affine_strict_win,refined_affine_nonworse,refined_lookup_strict_win,refined_lookup_nonworse,refined_row_ratio,chunk_reduction_pct,importance_overshoot,post_runtime_ms,total_runtime_ms,runtime_overhead_pct
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.7707403321689659,4480,73,2.682147725676811,2.7332320231920533,14.838385,0.7936066890789635,4825,53,2.606836182636399,2.8522222207300256,0.9719211800605023,1.0435346126960006,2.807881993949768,-4.353461269600056,0.7707727163436053,4506,53,2.4730354021595424,2.723061198356291,0.9220354936026123,0.9962788285994527,7.796450639738772,0.3721171400547285,True,True,True,True,1.0058035714285714,27.397260273972602,3.238417463946597e-05,3.377172,18.215557,22.75970060084032
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.8494215142019711,5600,76,3.184921148429916,3.3394346240204835,19.192413,0.8776019845190295,6095,48,3.0845182463730954,3.5345866721946466,0.9684755454287097,1.058438649096598,3.1524454571290272,-5.843864909659802,0.8494693460336151,5685,48,2.9125485912147533,3.3450409652054565,0.9144805963722413,1.0016788294475498,8.551940362775866,-0.16788294475498233,True,True,False,False,1.0151785714285715,36.8421052631579,4.78318316440296e-05,4.182918,23.375331,21.7946435396112
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.9149915156632091,6720,64,3.522681283970465,3.921931522341918,23.076443,0.9383393629880732,7230,33,3.3955672972208286,4.149024124864224,0.9639155584900476,1.0579032553803236,3.608444150995238,-5.790325538032359,0.915036709273356,6853,32,3.226438216297646,3.9557995791043545,0.9159040958315369,1.008635555355697,8.409590416846314,-0.8635555355696933,True,True,False,False,1.0197916666666667,50.0,4.5193610146876395e-05,4.547901,27.624344,19.707980991697898
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.875,7840,3.0,0.011000885814170374,0.0004194381833130299,26,0.9658363941724515,7840,46,3.7944361046259916,4.498105478223585,25.706669,0.984074032317898,8360,14,3.660515613895315,4.766715875549295,0.9647060888527265,1.0597163402739482,3.529391114727354,-5.971634027394823,0.9658620084792109,8014,14,3.5153900024690072,4.577202164202572,0.926459137942319,1.0175844444648783,7.354086205768096,-1.758444446487828,True,True,False,False,1.0221938775510204,69.56521739130434,2.5614306759402794e-05,4.160125,29.866794000000002,16.18305740039676
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.125,1120,3.0,0.011000885814170374,0.0004194381833130299,26,0.29047462801094215,1120,16,0.6457849383373194,0.6562980211567403,4.170837,0.3135423314609163,1245,5,0.5772049672955741,0.7137274794976188,0.8938037000083715,1.0875051523691293,10.61962999916285,-8.750515236912925,0.29074597617463405,1138,5,0.53232508168108,0.6611170107421348,0.8243070565436835,1.007342684923689,17.569294345631647,-0.7342684923689058,True,True,False,False,1.0160714285714285,68.75,0.00027134816369189796,0.667898,4.838735,16.013524383714827
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.4940781137021663,2240,26,1.2255645617896167,1.2972261554396591,8.615624,0.5231011068562776,2435,7,1.0983381770664202,1.386960321240507,0.8961895695340476,1.069173879531002,10.38104304659524,-6.917387953100196,0.4942319703273811,2250,6,1.0097412273393396,1.2933624059763646,0.8238988453328615,0.9970215297871596,17.61011546671385,0.29784702128403673,True,True,True,True,1.0044642857142858,76.92307692307692,0.0001538566252147766,1.238856,9.85448,14.379179035668223
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.6409020919542268,3360,35,1.7943432994277435,1.9474280570730715,11.191399,0.6732100371254367,3610,11,1.6351815857159122,2.0672535433723422,0.9112980700167066,1.0615301221855482,8.87019299832934,-6.153012218554821,0.6409723925458048,3329,10,1.5063185703907804,1.928004554979091,0.8394818153645288,0.9900260746354997,16.051818463547118,0.9973925364500258,True,True,True,True,0.9907738095238096,71.42857142857143,7.030059157808743e-05,2.48795,13.679349,22.230911434754493
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.7511980997043677,4480,38,2.297116722180848,2.5920369607903897,14.452683,0.7863358108435449,4820,7,2.0986982442679967,2.747431661210265,0.9136228142014152,1.0599508042402648,8.637718579858477,-5.995080424026478,0.7512819490203057,4438,6,1.927471972428249,2.540744838240854,0.8390831662216695,0.9802116546463538,16.091683377833053,1.9788345353646153,True,True,True,True,0.990625,84.21052631578947,8.384931593796718e-05,3.143917,17.596600000000002,21.753172058087763
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.8379359640054427,5600,41,2.799890144933953,3.2125781965743627,17.099612,0.8683068660440401,5945,7,2.5705662004951555,3.388177213061235,0.9180953778298302,1.0546598419531443,8.19046221701698,-5.465984195314433,0.838026362476903,5507,3,2.342848732947367,3.1372733886375066,0.8367645199174887,0.976559385226123,16.32354800825113,2.3440614773877044,True,True,True,True,0.9833928571428572,92.6829268292683,9.039847146030677e-05,3.973697,21.073309000000002,23.238521435457134
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,hot-cold,0.3593452447309781,0.7558187786385024,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.9027074713528047,6720,43,3.291662681872887,3.8510022206834544,20.614281,0.9294190615285025,7090,5,3.028821148760234,4.0389361752798285,0.9201493109971093,1.0488013103672063,7.985068900289072,-4.880131036720625,0.9027555371927175,6579,3,2.792486465458935,3.747979230769231,0.8483513456093469,0.9732477459086118,15.164865439065311,2.675225409138815,True,True,True,True,0.9790178571428572,93.02325581395348,4.806583991279201e-05,4.61205,25.226331,22.373082039582172
