case_id,repetition,runtime_ms
qwen05-000152,2,0.197359
qwen05-000153,0,0.429583
qwen05-000153,1,0.390851
qwen05-000153,2,0.386443
qwen05-000154,0,0.328765
qwen05-000154,1,0.275906
qwen05-000154,2,0.268422
qwen05-000155,0,0.210544
qwen05-000155,1,0.116087
qwen05-000155,2,0.093454
qwen05-000156,0,0.175348
qwen05-000156,1,0.159208
qwen05-000156,2,0.118121
qwen05-000157,0,0.143238
qwen05-000157,1,0.131205
qwen05-000157,2,0.125585
qwen05-000158,0,0.241652
qwen05-000158,1,0.2142
qwen05-000158,2,0.192951
qwen05-000159,0,0.31007
qwen05-000159,1,0.48103
qwen05-000159,2,0.410949
qwen05-000160,0,0.319067
qwen05-000160,1,0.305682
qwen05-000160,2,0.290223
qwen05-000161,0,0.233566
qwen05-000161,1,0.262871
qwen05-000161,2,0.254466
qwen05-000162,0,0.090189
qwen05-000162,1,0.082123
qwen05-000162,2,0.124634
qwen05-000163,0,0.136265
qwen05-000163,1,0.126467
qwen05-000163,2,0.115266
qwen05-000164,0,0.129222
qwen05-000164,1,0.125746
qwen05-000164,2,0.118962
qwen05-000165,0,0.132087
qwen05-000165,1,0.124734
qwen05-000165,2,0.119203
qwen05-000166,0,0.302886
qwen05-000166,1,0.294161
qwen05-000166,2,0.262992
qwen05-000167,0,0.152054
qwen05-000167,1,0.132958
qwen05-000167,2,0.126978
qwen05-000168,0,0.182953
qwen05-000168,1,0.181449
qwen05-000168,2,0.177562
qwen05-000169,0,0.076884
qwen05-000169,1,0.081232
qwen05-000169,2,0.095819
qwen05-000170,0,0.121647
qwen05-000170,1,0.11751
qwen05-000170,2,0.116899
qwen05-000171,0,0.141234
qwen05-000171,1,0.130985
qwen05-000171,2,0.137447
qwen05-000172,0,0.189674
qwen05-000172,1,0.159939
qwen05-000172,2,0.153707
qwen05-000173,0,0.1982
qwen05-000173,1,0.1872
qwen05-000173,2,0.188041
qwen05-000174,0,0.444421
qwen05-000174,1,0.41666
qwen05-000174,2,0.419023
qwen05-000175,0,0.185526
qwen05-000175,1,0.173435
qwen05-000175,2,0.17124
qwen05-000176,0,0.07471
qwen05-000176,1,0.068167
qwen05-000176,2,0.065202
qwen05-000177,0,0.147055
qwen05-000177,1,0.122289
qwen05-000177,2,0.122809
qwen05-000178,0,0.134171
qwen05-000178,1,0.123822
qwen05-000178,2,0.121196
qwen05-000179,0,0.208309
qwen05-000179,1,0.19202
qwen05-000179,2,0.186268
qwen05-000180,0,0.267801
qwen05-000180,1,0.239478
qwen05-000180,2,0.228828
qwen05-000181,0,0.317775
qwen05-000181,1,0.29953
qwen05-000181,2,0.275535
qwen05-000182,0,0.173405
qwen05-000182,1,0.172843
qwen05-000182,2,0.191007
qwen05-000183,0,0.092173
qwen05-000183,1,0.085089
qwen05-000183,2,0.108994
qwen05-000184,0,0.126787
qwen05-000184,1,0.118732
qwen05-000184,2,0.105627
qwen05-000185,0,0.124202
qwen05-000185,1,0.110927
qwen05-000185,2,0.108453
qwen05-000186,0,0.13384
qwen05-000186,1,0.11746
qwen05-000186,2,0.121768
qwen05-000187,0,0.331961
qwen05-000187,1,0.300922
qwen05-000187,2,0.295412
qwen05-000188,0,0.141345
qwen05-000188,1,0.141785
qwen05-000188,2,0.126867
qwen05-000189,0,0.187962
qwen05-000189,1,0.188272
qwen05-000189,2,0.181911
qwen05-000190,0,0.074018
qwen05-000190,1,0.094697
qwen05-000190,2,0.06941
qwen05-000191,0,0.11764
qwen05-000191,1,0.116798
qwen05-000191,2,0.121888
qwen05-000192,0,0.138289
qwen05-000192,1,0.129051
qwen05-000192,2,0.130314
qwen05-000193,0,0.204432
