model,shape,budget_index,policy,selected_method,calibration_cases,calibration_total_ms,calibration_relative_l2_error,calibration_importance_retention,paper_calibration_error
smol360,960x2560,2,min_total_dispatch,tile8_ceil,18,1.4018408333333334,0.24531642099221548,0.7918567125326624,0.24206635418037573
smol360,960x2560,2,error_guard_dispatch,wave_k12,18,1.4168441666666665,0.24384423572984007,0.7920684340660338,0.24206635418037573
smol360,960x320,0,wave_dispatch,wave_k1,18,0.3697432222222222,0.7379700144131979,0.30167547533758254,0.7122311707999971
smol360,960x320,0,min_total_dispatch,tile8_ceil,18,0.3159467222222222,0.7599393824736277,0.29072401496336553,0.7122311707999971
smol360,960x320,0,error_guard_dispatch,wave_k6,18,0.4663868888888889,0.5907659216059579,0.3685927953946771,0.7122311707999971
smol360,960x320,1,wave_dispatch,wave_k6,18,0.5042112222222221,0.434037478433715,0.5999455399961566,0.5138949420717027
smol360,960x320,1,min_total_dispatch,tile8_ceil,18,0.40955961111111105,0.5687253988451428,0.5386334838067497,0.5138949420717027
smol360,960x320,1,error_guard_dispatch,wave_k6,18,0.5042112222222221,0.434037478433715,0.5999455399961566,0.5138949420717027
smol360,960x320,2,wave_dispatch,wave_k6,18,0.5752123888888889,0.2644210648205545,0.8106171210599313,0.2763757606347402
smol360,960x320,2,min_total_dispatch,tile8_ceil,18,0.5403831111111111,0.3487823158502579,0.782826387216538,0.2763757606347402
smol360,960x320,2,error_guard_dispatch,wave_k6,18,0.5752123888888889,0.2644210648205545,0.8106171210599313,0.2763757606347402
smol360,960x960,0,wave_dispatch,wave_k6,18,0.5839989444444444,0.45350440012084114,0.3882022134732306,0.48921512564023334
smol360,960x960,0,min_total_dispatch,tile8_ceil,18,0.5099337222222222,0.5528458754221598,0.3513275640399466,0.48921512564023334
smol360,960x960,0,error_guard_dispatch,wave_k6,18,0.5839989444444444,0.45350440012084114,0.3882022134732306,0.48921512564023334
smol360,960x960,1,wave_dispatch,wave_k6,18,0.6775143888888889,0.32637008610698914,0.6207324626952335,0.3324614432122972
smol360,960x960,1,min_total_dispatch,tile8_ceil,18,0.6355140555555556,0.36608071542448467,0.6033087982581375,0.3324614432122972
smol360,960x960,1,error_guard_dispatch,wave_k6,18,0.6775143888888889,0.32637008610698914,0.6207324626952335,0.3324614432122972
smol360,960x960,2,wave_dispatch,wave_k6,18,0.8205691111111111,0.19560160570674473,0.8248753630811348,0.19870961291922462
smol360,960x960,2,min_total_dispatch,tile8_ceil,18,0.7865209444444444,0.2055034393237697,0.8222348004498743,0.19870961291922462
smol360,960x960,2,error_guard_dispatch,wave_k6,18,0.8205691111111111,0.19560160570674473,0.8248753630811348,0.19870961291922462
tiny11,2048x2048,0,wave_dispatch,wave_k6,18,1.1629635,0.5821434954802195,0.3981669915759693,0.4781987460123168
tiny11,2048x2048,0,min_total_dispatch,wave_k1,18,1.054306,0.711847851673762,0.34310761204849854,0.4781987460123168
tiny11,2048x2048,0,error_guard_dispatch,paper,18,1.4016901666666668,0.4781987460123168,0.43681266632506105,0.4781987460123168
tiny11,2048x2048,1,wave_dispatch,wave_k6,18,1.7831288333333335,0.39359549722737736,0.6314498487577674,0.2873227395531204
tiny11,2048x2048,1,min_total_dispatch,wave_k1,18,1.6363482777777778,0.5188541329569287,0.5683538263060006,0.2873227395531204
tiny11,2048x2048,1,error_guard_dispatch,paper,18,2.0883249999999998,0.2873227395531204,0.6748638774341837,0.2873227395531204
tiny11,2048x2048,2,wave_dispatch,wave_k24,18,2.1506975,0.1909285480570462,0.8480720387690732,0.15778885313516688
tiny11,2048x2048,2,min_total_dispatch,wave_k24,18,2.1506975,0.1909285480570462,0.8480720387690732,0.15778885313516688
tiny11,2048x2048,2,error_guard_dispatch,paper,18,2.5964917222222224,0.15778885313516688,0.8560715282352225,0.15778885313516688
tiny11,2048x256,0,wave_dispatch,wave_k1,18,0.4905063333333334,0.7014599392811457,0.2967038936841956,0.6332600315411886
tiny11,2048x256,0,min_total_dispatch,tile8_ceil,18,0.45139033333333334,0.6674035812417666,0.3292099720009684,0.6332600315411886
tiny11,2048x256,0,error_guard_dispatch,paper,18,0.6198278333333334,0.6332600315411886,0.3456452218580808,0.6332600315411886
tiny11,2048x256,1,wave_dispatch,wave_k6,18,0.7370280555555556,0.40354428647292984,0.6049206320751872,0.4350305050611496
