model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,cell2,Cell-2,15,0.85,1.0442414283752441,0.6449716091156006,7.661087512969971,0.018518518656492233,4.304563045501709,9.998307228088379,5.69374418258667,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell2,Cell-2,16,0.9,0.9243945479393005,0.5021523833274841,5.766939640045166,0.018518518656492233,4.304563045501709,9.139065742492676,4.834502696990967,168,0.8996290950590762,0
qwen05,test_short_korean,short,cell2,Cell-2,17,0.95,0.45254069566726685,0.10215133428573608,0.993459939956665,0.5370370149612427,4.304563045501709,4.7788262367248535,0.47426319122314453,168,0.9498145475295383,0
qwen05,test_short_korean,short,cell4,Cell-4,0,0.1,1.167008638381958,0.8380452394485474,12.052971839904785,0.0,4.304563045501709,15.06258773803711,10.758024215698242,168,0.10037090494092374,0
qwen05,test_short_korean,short,cell4,Cell-4,1,0.15,1.8570878505706787,0.5998493432998657,13.406729698181152,0.0,4.304563045501709,16.273029327392578,11.968465805053711,168,0.14962909505907623,0
qwen05,test_short_korean,short,cell4,Cell-4,2,0.2,2.2422704696655273,0.5860549211502075,19.91482162475586,0.0,4.304563045501709,22.419397354125977,18.11483383178711,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell4,Cell-4,3,0.25,1.5237419605255127,0.5947108268737793,9.233739852905273,0.018518518656492233,4.304563045501709,11.863771438598633,7.559208393096924,168,0.25,0
qwen05,test_short_korean,short,cell4,Cell-4,4,0.3,1.2962031364440918,0.6353663802146912,10.337048530578613,0.0,4.304563045501709,12.888416290283203,8.583852767944336,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell4,Cell-4,5,0.35,1.6855911016464233,0.5914309024810791,10.727141380310059,0.018518518656492233,4.304563045501709,13.336993217468262,9.032430648803711,168,0.35037090494092366,0
qwen05,test_short_korean,short,cell4,Cell-4,6,0.4,1.1676719188690186,0.6974875330924988,11.076558113098145,0.0,4.304563045501709,13.28251838684082,8.977954864501953,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell4,Cell-4,7,0.45,1.2717523574829102,0.6385466456413269,14.519604682922363,0.018518518656492233,4.304563045501709,16.877939224243164,12.573375701904297,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell4,Cell-4,8,0.5,1.408084511756897,0.6153336763381958,18.048917770385742,0.03703703731298447,4.304563045501709,20.76093864440918,16.456375122070312,168,0.5,0
qwen05,test_short_korean,short,cell4,Cell-4,9,0.55,1.6090909242630005,0.6009355187416077,17.04513168334961,0.0,4.304563045501709,19.330774307250977,15.02621078491211,168,0.550185452470462,0
qwen05,test_short_korean,short,cell4,Cell-4,10,0.6,1.3515626192092896,0.6225299835205078,13.98194408416748,0.018518518656492233,4.304563045501709,16.13825225830078,11.833688735961914,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell4,Cell-4,11,0.65,1.2378073930740356,0.6154084205627441,10.916282653808594,0.018518518656492233,4.304563045501709,13.297534942626953,8.992971420288086,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell4,Cell-4,12,0.7,1.1174542903900146,0.7714757919311523,11.345974922180176,0.0555555559694767,4.304563045501709,14.042508125305176,9.737945556640625,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell4,Cell-4,13,0.75,1.1370166540145874,0.663773775100708,10.759673118591309,0.0,4.304563045501709,13.093216896057129,8.788654327392578,168,0.75,0
qwen05,test_short_korean,short,cell4,Cell-4,14,0.8,1.028457522392273,0.6363867521286011,8.400494575500488,0.03703703731298447,4.304563045501709,11.146036148071289,6.84147310256958,168,0.8001854524704617,0
qwen05,test_short_korean,short,cell4,Cell-4,15,0.85,1.0079872608184814,0.5732318162918091,7.282012939453125,0.018518518656492233,4.304563045501709,9.691783905029297,5.387220859527588,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell4,Cell-4,16,0.9,0.7460489273071289,0.2669336795806885,2.9401228427886963,0.24074074625968933,4.304563045501709,6.0742878913879395,1.7697248458862305,168,0.8996290950590762,0
qwen05,test_short_korean,short,cell4,Cell-4,17,0.95,0.45526745915412903,0.105732262134552,0.9146885871887207,0.6111111044883728,4.304563045501709,4.843966484069824,0.5394034385681152,168,0.9498145475295383,0
qwen05,test_short_korean,short,cell8,Cell-8,0,0.1,1.2618621587753296,1.0667707920074463,14.188926696777344,0.0,4.304563045501709,16.675771713256836,12.371208190917969,168,0.10037090494092374,0
qwen05,test_short_korean,short,cell8,Cell-8,1,0.15,1.4608107805252075,0.6287582516670227,14.57620620727539,0.0,4.304563045501709,17.357242584228516,13.052679061889648,168,0.14962909505907623,0
qwen05,test_short_korean,short,cell8,Cell-8,2,0.2,1.0675430297851562,0.7022130489349365,11.08094596862793,0.0,4.304563045501709,13.178321838378906,8.873758316040039,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell8,Cell-8,3,0.25,1.3365042209625244,0.6403220891952515,15.310385704040527,0.0,4.304563045501709,17.72116470336914,13.416601181030273,168,0.25,0
qwen05,test_short_korean,short,cell8,Cell-8,4,0.3,2.327408790588379,0.5836641788482666,20.290603637695312,0.03703703731298447,4.304563045501709,22.556015014648438,18.25145149230957,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell8,Cell-8,5,0.35,2.104384183883667,0.5887045860290527,19.61944007873535,0.0,4.304563045501709,22.340312957763672,18.035749435424805,168,0.35037090494092366,0
qwen05,test_short_korean,short,cell8,Cell-8,6,0.4,1.202791452407837,0.6400995254516602,11.246556282043457,0.0,4.304563045501709,13.218072891235352,8.913509368896484,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell8,Cell-8,7,0.45,1.8054603338241577,0.604127049446106,16.932039260864258,0.018518518656492233,4.304563045501709,19.083450317382812,14.778886795043945,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell8,Cell-8,8,0.5,2.341042995452881,0.5832377076148987,15.974987983703613,0.0,4.304563045501709,18.706710815429688,14.40214729309082,168,0.5,0
qwen05,test_short_korean,short,cell8,Cell-8,9,0.55,1.4629591703414917,0.5924181938171387,14.397214889526367,0.018518518656492233,4.304563045501709,17.199552536010742,12.894989013671875,168,0.550185452470462,0
qwen05,test_short_korean,short,cell8,Cell-8,10,0.6,1.253730058670044,0.6034430265426636,14.107614517211914,0.018518518656492233,4.304563045501709,16.57541847229004,12.270854949951172,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell8,Cell-8,11,0.65,1.3737554550170898,0.6220862865447998,17.67988395690918,0.0,4.304563045501709,19.98361587524414,15.679052352905273,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell8,Cell-8,12,0.7,1.0933592319488525,0.6999073028564453,9.834735870361328,0.0,4.304563045501709,12.864908218383789,8.560344696044922,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell8,Cell-8,13,0.75,1.1283833980560303,0.7412679195404053,11.335514068603516,0.018518518656492233,4.304563045501709,14.006672859191895,9.702110290527344,168,0.75,0
qwen05,test_short_korean,short,cell8,Cell-8,14,0.8,0.992241382598877,0.5249215364456177,7.491574764251709,0.0555555559694767,4.304563045501709,9.915718078613281,5.611155033111572,168,0.8001854524704617,0
qwen05,test_short_korean,short,cell8,Cell-8,15,0.85,0.9067198634147644,0.41133230924606323,4.11332893371582,0.18518519401550293,4.304563045501709,6.845930099487305,2.5413670539855957,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell8,Cell-8,16,0.9,0.8948855996131897,0.3965708613395691,5.419388294219971,0.09259259700775146,4.304563045501709,8.249374389648438,3.9448113441467285,168,0.8996290950590762,0
qwen05,test_short_korean,short,cell8,Cell-8,17,0.95,0.8371741771697998,0.3937375545501709,4.195444107055664,0.1666666716337204,4.304563045501709,7.183051109313965,2.878488063812256,168,0.9498145475295383,0
qwen05,test_short_korean,short,cell16,Cell-16,0,0.1,1.644883394241333,0.5960577726364136,11.32130241394043,0.0,4.304563045501709,14.170467376708984,9.865903854370117,168,0.10037090494092374,0
qwen05,test_short_korean,short,cell16,Cell-16,1,0.15,1.7694287300109863,0.6029391884803772,14.403112411499023,0.018518518656492233,4.304563045501709,16.81711769104004,12.512554168701172,168,0.14962909505907623,0
