method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,projection_path_ms
cell8,Cell-8,7,0.45,9,11.227955712212456,0.0112167554390099,10.139008945888943,1.5070949991544087,0.4499906040466426,0,0.6063689046872301
cell8,Cell-8,8,0.5,9,11.657801946004232,0.02333874643469848,10.656889809502495,1.5235278010368347,0.5,0,0.6387589522353574
cell8,Cell-8,9,0.55,9,10.769691732194689,0.02600395575993589,9.691555976867676,1.326371020740933,0.5500093959533574,0,0.702165082404486
cell8,Cell-8,10,0.6,9,8.519597583346897,0.03327374822563592,7.3933994505140515,1.2370485994550917,0.6001498457487062,0,0.7536432038202165
cell8,Cell-8,11,0.65,9,8.069072988298204,0.05730333096451226,7.062450091044108,1.0684270395172968,0.6498501542512938,0,0.8025794261922019
cell8,Cell-8,12,0.7,9,6.44514799118042,0.06994156570484239,5.527538432015313,0.984752012623681,0.6999906040466426,0,0.8426819369321286
cell8,Cell-8,13,0.75,9,5.794718795352512,0.12877593572354973,4.828392240736219,0.9103277391857572,0.75,0,0.8533569285365598
cell8,Cell-8,14,0.8,9,4.688711643218994,0.20133790953291786,3.725304034021166,0.8556421200434366,0.8000093959533573,0,0.928023359927701
cell8,Cell-8,15,0.85,9,2.8509572678142123,0.31308160577383304,2.074974020322164,0.7737625572416518,0.8501498457487061,0,0.9850528066769639
cell8,Cell-8,16,0.9,9,2.467284166150623,0.38779966284831363,1.7318721214930217,0.6693572435114119,0.8998501542512939,0,1.0464881088346139
cell8,Cell-8,17,0.95,9,1.5587277313073475,0.5410692542791367,1.036031511094835,0.5290928383668264,0.9499906040466427,0,1.0739632437566733
paper,Paper,0,0.1,9,14.25604894426134,0.0013888889095849443,12.845267825656467,1.5011008977890015,0.09651415851926894,0,0.5240156006432387
paper,Paper,1,0.15,9,11.60441255569458,0.0033421346710787777,10.359810140397814,1.4500705003738403,0.14876618672289485,0,0.5738024575435784
paper,Paper,2,0.2,9,12.369837178124321,0.008801383897662156,11.071887069278294,1.4259745942221747,0.19717734881033755,0,0.6136131640317235
paper,Paper,3,0.25,9,11.789568212297228,0.019588784625132867,10.772083653344048,1.5543261766433716,0.24996083959899748,0,0.6448746771671617
paper,Paper,4,0.3,9,11.704020182291666,0.01413334637052482,10.592721144358316,1.3721385134590998,0.2982324927578686,0,0.6891750662227547
paper,Paper,5,0.35,9,11.710204230414497,0.015132501721382134,10.680266380310059,1.5883304211828444,0.34647499811826643,0,0.7328535500849724
paper,Paper,6,0.4,9,12.170986440446642,0.025419439810017732,10.969031439887154,1.3527985281414456,0.3987857669233962,0,0.7758096664365258
