trial,target_cv,spatial_mode,budget_fraction,method,affine_matched_ratio,method_lookup_over_affine,cover_lookup_over_affine,relative_rescale_correction,lookup_matched_ratio,factorization_error
0,1.25,random,0.5,dpr,1.0,1.2868456471884313,1.2868456471884313,1.0,1.0,0.0
0,1.25,random,0.5,top,13.81789806340537,1.0024527888203565,1.3284059741723164,0.754628335245895,10.427377412185068,-1.7763568394002505e-15
0,1.25,random,0.625,paper,1.2900707026033251,0.9860430555522008,1.3222839024488902,0.7457120620813986,0.9620212838691244,1.1102230246251565e-16
0,1.25,random,0.625,dpr,1.0,1.3191956029958063,1.3191956029958063,1.0,1.0,0.0
0,1.25,random,0.625,top,11.977238508510014,1.0413811048095,1.3305657788609562,0.7826603700126608,9.374109922800336,0.0
0,1.25,random,0.75,paper,1.3202936088666564,0.9915871645439804,1.3273356024268979,0.7470508308004128,0.9863264374043106,-3.3306690738754696e-16
0,1.25,random,0.75,dpr,1.0,1.3255427957029118,1.3255427957029118,1.0,1.0,0.0
0,1.25,random,0.75,top,9.519743481940663,1.0690583606368742,1.34513238317796,0.7947607046015475,7.565918037333151,0.0
0,1.25,random,0.875,paper,1.287665010890142,1.0430055175722937,1.3308077977350712,0.7837386580897752,1.0091928477041956,0.0
0,1.25,random,0.875,dpr,1.0,1.330114028376475,1.330114028376475,1.0,1.0,0.0
0,1.25,random,0.875,top,5.732485564836978,1.0891964166949641,1.34555037234289,0.8094802239164343,4.640333698621965,8.881784197001252e-16
0,1.25,local,0.125,paper,1.148993559052645,0.9536298784505324,1.0004810173266363,0.9531713864983727,1.09518778375991,4.440892098500626e-16
0,1.25,local,0.125,dpr,1.0436585958892446,1.1160533230579068,1.0044170906005687,1.1111452936255672,1.1596563369742017,-2.220446049250313e-16
0,1.25,local,0.125,top,4.578886128644834,1.0204048750884627,1.0339748633416395,0.9868759012097056,4.518792374742991,0.0
0,1.25,local,0.25,paper,1.1713033860478606,0.9714937684891254,1.1149375087079252,0.8713436949618518,1.020607820320271,0.0
0,1.25,local,0.25,dpr,1.0126782810236257,1.175898339247833,1.1230280190969129,1.0470783624734814,1.0603535162066782,2.220446049250313e-16
0,1.25,local,0.25,top,5.134866595103052,1.0277069908653627,1.1480823043463924,0.8951509721687072,4.596480824563115,-8.881784197001252e-16
0,1.25,local,0.375,paper,1.1691114781107144,0.9822563240204403,1.1743404271146183,0.8364323507399527,0.9778826619132056,0.0
0,1.25,local,0.375,dpr,1.0144154753652546,1.213925789572978,1.149493274351661,1.0560529727828623,1.0712764783964177,2.220446049250313e-16
0,1.25,local,0.375,top,4.433883184950518,1.0309555044045762,1.1930121951166408,0.8641617484084307,3.831592245345581,0.0
0,1.25,local,0.5,paper,1.2270066071135703,0.9760093887803201,1.2320542855332977,0.7921805071745293,0.9720107163297268,3.3306690738754696e-16
0,1.25,local,0.5,dpr,1.0090203810344482,1.2246070775678743,1.1603617029056064,1.0553666796322165,1.0648864892135597,0.0
0,1.25,local,0.5,top,3.9157012452104194,1.0416544378926746,1.2310809502843398,0.8461299296785367,3.313192019252051,0.0
0,1.25,local,0.625,paper,1.2527916890724846,1.0035346174813227,1.2422206704393257,0.8078553524040226,1.012074471464483,2.220446049250313e-16
