n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,0,hot-cold,3.3,paper,0.49999999999999994,0.8311954056931444,0.06387924609762119,126,3
256,0,hot-cold,3.3,paper,0.5499999999999999,0.8582469400388846,0.04489409423008736,138,1
256,0,hot-cold,3.3,paper,0.6,0.8737558583370597,0.0697149404681278,150,3
256,0,hot-cold,3.3,paper,0.65,0.8921001539995366,0.0726327876533811,162,3
256,0,hot-cold,3.3,paper,0.7,0.9067518733019863,0.07555063483863442,174,3
256,0,hot-cold,3.3,paper,0.75,0.927822763058759,0.07992740561651436,192,3
256,0,hot-cold,3.3,paper,0.7999999999999999,0.9585070880448334,0.06636518277491175,204,1
256,0,hot-cold,3.3,paper,0.85,0.9628036309559485,0.0860213347025415,216,3
256,0,hot-cold,3.3,paper,0.9,0.9697071058218479,0.0889391818877948,228,3
256,0,hot-cold,3.3,paper,0.95,0.9652192270608464,0.10267941124168141,240,4
256,1,random,3.3,supported,0.05,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.1,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.15,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.2,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.25,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.3,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.35,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.39999999999999997,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.44999999999999996,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.49999999999999994,0.5387844351324976,0.026399314606733677,63,1
256,1,random,3.3,supported,0.5499999999999999,0.5961338900913787,0.030532931452509193,80,1
256,1,random,3.3,supported,0.6,0.7951783056273052,0.048147289464151664,148,1
256,1,random,3.3,supported,0.65,0.7951783056273052,0.048147289464151664,148,1
256,1,random,3.3,supported,0.7,0.7951783056273052,0.048147289464151664,148,1
256,1,random,3.3,supported,0.75,0.7951783056273052,0.048147289464151664,148,1
256,1,random,3.3,supported,0.7999999999999999,0.8022016530601419,0.04879792851096452,150,1
256,1,random,3.3,supported,0.85,0.8625819783617114,0.056605597072718845,174,1
256,1,random,3.3,supported,0.9,0.9968867456693163,0.0819805198984204,252,1
256,1,random,3.3,supported,0.95,0.9968867456693163,0.0819805198984204,252,1
256,1,random,3.3,supported,0.99,0.9968867456693163,0.0819805198984204,252,1
256,1,random,3.3,paper,0.05,0.29568001200856325,0.025079080953560973,12,2
256,1,random,3.3,paper,0.1,0.2714257825330359,0.016916311254660442,24,1
256,1,random,3.3,paper,0.15,0.4746358187978076,0.04199539220822142,36,3
256,1,random,3.3,paper,0.2,0.4060327713643794,0.02275200562516705,48,1
256,1,random,3.3,paper,0.25,0.5333785940712545,0.036750469694574184,60,2
256,1,random,3.3,paper,0.3,0.5819643291694403,0.03966831687982749,72,2
256,1,random,3.3,paper,0.35,0.6322984238945765,0.04404508765770745,90,2
256,1,random,3.3,paper,0.39999999999999997,0.6624841459268737,0.046962934842960755,102,2
