trial,target_cv,spatial_mode,coverage_target,target_importance,single_importance,single_overshoot,single_rows,single_chunks,single_aff_ms,single_runtime_ms,quant_importance,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,quant_solve_ms,single_extra_vs_quant_pct,quant_beats_single,quant_build_ms,quant_single_query_ms,quant_amortized_ms,quant_full_mask
0,1.44,local,0.3,0.3,0.30002645297611935,2.6452976119362148e-05,1069,1,0.2725555462917873,1.264692,0.30084775168816735,0.0008477516881673641,356,6,0.15310864428636145,1.491717,78.01447303133484,True,31.670232,33.161949,3.7538764285714286,False
0,1.44,local,0.5,0.5,0.5004671282062614,0.0004671282062613802,2214,1,0.5527052995629486,1.040444,0.5001237110845945,0.0001237110845945244,897,10,0.32947988756024665,1.402751,67.75084623697533,True,31.670232,33.072983,3.664910428571429,False
0,1.44,local,0.7,0.7,0.7000693555497951,6.935554979514702e-05,2971,1,0.737922210677594,0.889893,0.7002256061192842,0.00022560611928423846,2022,10,0.6047361953594225,1.547261,22.0238206907746,True,31.670232,33.217493,3.8094204285714284,False
0,1.44,local,0.9,0.9,0.9001310553647695,0.00013105536476942792,4175,1,1.032507628091112,0.687274,0.9004155030012675,0.00041550300126746986,3650,6,0.9590591135223485,1.526752,7.65839284911316,True,31.670232,33.196984,3.7889114285714287,False
0,1.44,local,0.95,0.95,0.9501459309442672,0.0001459309442672918,4551,1,1.1245044029644367,0.643382,0.9502318337548059,0.00023183375480595458,4220,4,1.0765205378455902,1.415605,4.457310699791672,True,31.670232,33.085837,3.677764428571429,False
0,1.44,local,0.99,0.99,0.9900202840552041,2.0284055204156104e-05,4747,1,1.172460168589893,0.616242,1.0,0.010000000000000009,4864,1,1.2010868246010074,0.209943,-2.3833960563695245,False,31.670232,31.880174999999998,2.4721024285714286,True
0,1.44,hot-cold,0.1,0.1,0.10145764601525857,0.0014576460152585652,168,1,0.052105827778847306,1.224357,0.10145764601525857,0.0014576460152585652,168,1,0.052105827778847306,1.942089,0.0,False,43.173364,45.115453,5.025900714285714,False
0,1.44,hot-cold,0.3,0.3,0.3002470113457227,0.0002470113457226919,532,1,0.14116653536898066,1.050002,0.3010743735525244,0.0010743735525244325,534,1,0.1416558799161792,1.745612,-0.3454459832433976,False,43.173364,44.918976,4.829423714285714,False
0,1.44,hot-cold,0.5,0.5,0.5001407617096928,0.00014076170969279378,1055,1,0.26913013446139755,0.927533,0.5001407617096928,0.00014076170969279378,1055,1,0.26913013446139755,1.629675,0.0,False,43.173364,44.803039,4.713486714285715,False
0,1.44,hot-cold,0.7,0.7,0.7002173283427996,0.00021732834279963864,1808,1,0.4533683564816459,0.811958,0.7002173283427996,0.00021732834279963864,1808,1,0.4533683564816459,1.534968,0.0,False,43.173364,44.708332,4.618779714285715,False
0,1.44,hot-cold,0.9,0.9,0.900088954025097,8.895402509701e-05,3164,1,0.7851439594822526,0.673258,0.9004118809042865,0.00041188090428645463,3167,1,0.7858779763030505,1.489313,-0.09340086412026327,False,43.173364,44.662677,4.573124714285715,False
0,1.44,hot-cold,0.95,0.95,0.9500048856140051,4.885614005134542e-06,3830,1,0.9480956936993647,0.636328,0.9502852521793116,0.0002852521793116347,3833,1,0.9488297105201625,1.338391,-0.07736022730521208,False,43.173364,44.511755,4.4222027142857145,False
0,1.44,hot-cold,0.99,0.99,0.9900464449842703,4.644498427031074e-05,4618,1,1.1408974452955876,0.646027,0.9902444393215637,0.0002444393215637053,4623,1,1.1421208066635837,1.308625,-0.10711313206611672,False,43.173364,44.481989,4.392436714285714,False
