scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N-budget,18944,,,0.875,360,0.9160860933578274,0.9194865713363032,8.39139066421726,1.0045120533302285,-0.45120533302284,1.0,0.6611111111111111,229.93333333333334,58.19166666666667,1.0166190744315744,8.36811113611111,42.64859119444444
N-ordering-CV-budget,4864,hot-cold,1.07,0.125,20,0.8799564162659637,0.8716161342992349,12.004358373403639,0.9893018336029147,1.0698166397085,1.0,0.65,5.25,2.9,1.0059405940594057,0.35369265,3.2043383999999997
N-ordering-CV-budget,4864,hot-cold,1.07,0.25,20,0.8315617646462083,0.8295066583095103,16.84382353537918,0.9828400515261387,1.7159948473861317,1.0,0.85,8.2,2.25,1.000206270627063,0.6853259500000001,4.542103750000001
N-ordering-CV-budget,4864,hot-cold,1.07,0.375,20,0.8213492594939622,0.8201894662791631,17.865074050603774,0.9841223195193379,1.5877680480662122,1.0,0.95,11.45,2.25,0.9965460526315791,0.9872376500000002,5.85303505
N-ordering-CV-budget,4864,hot-cold,1.07,0.5,20,0.8135838573951611,0.8155789446248516,18.641614260483884,0.9749995247526491,2.5000475247350904,1.0,0.9,14.4,2.4,0.9852674897119341,1.31568175,8.2051703
N-ordering-CV-budget,4864,hot-cold,1.07,0.625,20,0.8118623244783791,0.8056267004298981,18.813767552162098,0.9704197262276996,2.958027377230061,1.0,0.95,16.35,1.95,0.9785408432147562,1.67087805,9.84853325
N-ordering-CV-budget,4864,hot-cold,1.07,0.75,20,0.8072514082598119,0.8003814472077013,19.274859174018818,0.9641664429007758,3.5833557099224285,1.0,1.0,19.15,1.85,0.9736430921052632,1.9634206999999997,11.4921041
N-ordering-CV-budget,4864,hot-cold,1.07,0.875,20,0.8076432418833643,0.8074113570343348,19.235675811663558,0.9584974081087457,4.150259189125437,1.0,1.0,21.0,1.9,0.9660437235543018,2.41467795,13.58864755
N-ordering-CV-budget,4864,hot-cold,1.25,0.125,20,0.8714798336336008,0.8682631053888052,12.85201663663993,0.9920704575304157,0.792954246958451,0.95,0.6,5.1,2.5,1.0131188118811882,0.376038,3.2663658499999997
N-ordering-CV-budget,4864,hot-cold,1.25,0.25,20,0.8145948912024037,0.8081456974251213,18.54051087975963,0.9786358450581029,2.136415494189718,1.0,0.8,8.7,2.0,1.0010726072607263,0.7128979999999999,4.775229
N-ordering-CV-budget,4864,hot-cold,1.25,0.375,20,0.8228306958848897,0.8252246305607208,17.716930411511033,0.979513764518566,2.0486235481433965,1.0,1.0,11.0,2.2,0.9898848684210526,0.9827038499999998,6.129747500000001
N-ordering-CV-budget,4864,hot-cold,1.25,0.5,20,0.8196541961827813,0.8205920733527353,18.034580381721867,0.974787022199717,2.5212977800283127,1.0,1.0,14.05,2.6,0.9836008230452675,1.3017366999999997,8.335639500000001
N-ordering-CV-budget,4864,hot-cold,1.25,0.625,20,0.8110514457020381,0.8116481517256189,18.894855429796184,0.9655790912376798,3.442090876232008,1.0,1.0,16.8,2.3,0.9779150197628459,1.7061014,10.086758049999998
N-ordering-CV-budget,4864,hot-cold,1.25,0.75,20,0.8026066218485118,0.8032707123372358,19.739337815148815,0.9576514095945063,4.234859040549373,1.0,1.0,19.1,1.75,0.9692160087719298,2.08805195,11.924873750000001
N-ordering-CV-budget,4864,hot-cold,1.25,0.875,20,0.8006374146275765,0.7888239792292979,19.93625853724235,0.951042711330431,4.895728866956904,1.0,1.0,21.2,1.65,0.9617771509167842,2.4346432499999997,13.824048199999998
