trial,coverage_target,coverage_achieved,coverage_overshoot,coverage_rows,coverage_row_fraction,coverage_chunks,coverage_aff_ms,coverage_table_ms,pareto_achieved,pareto_overshoot,pareto_rows,pareto_row_fraction,pareto_chunks,pareto_aff_ms,pareto_table_ms,pareto_target_gap_pct,pareto_achieved_gap_pct,pareto_peak_states
9,0.7,0.7006698179389648,0.0006698179389648118,171,0.66796875,1,0.034908862263013075,0.03412912912912913,0.7065025263734834,0.006502526373483475,173,0.67578125,1,0.0351884877185551,0.03480166919575114,0.8010156659797429,0.0,328
9,0.8,0.8001602985472088,0.00016029854720878145,201,0.78515625,1,0.03910324409614338,0.039963385146804836,0.8082275291843617,0.008227529184361648,202,0.7890625,1,0.039243056823914386,0.039569791666666666,0.35754764343145506,0.0,328
9,0.85,0.8535254698067601,0.003525469806760162,213,0.83203125,1,0.0407809968293955,0.04163018181818182,0.8535254698067604,0.003525469806760384,213,0.83203125,1,0.0407809968293955,0.04163018181818182,0.0,0.0,328
9,0.9,0.9006478071838782,0.0006478071838781352,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.9046591620616957,0.004659162061695699,229,0.89453125,1,0.04301800047373165,0.04447320388349515,0.32606958250975815,0.0,328
9,0.95,0.9523090505266883,0.0023090505266883943,243,0.94921875,1,0.044975378662525795,0.046523312883435586,0.9523090505266886,0.0023090505266886163,243,0.94921875,1,0.044975378662525795,0.046523312883435586,0.0,0.0,328
9,0.97,0.9730293480413444,0.0030293480413444707,248,0.96875,1,0.045674442301380846,0.04718708333333334,0.9730293480413448,0.0030293480413448037,248,0.96875,1,0.045674442301380846,0.04718708333333334,0.0,0.0,328
9,0.99,0.9995779639860478,0.009577963986047822,255,0.99609375,1,0.04665313139577791,0.048423504273504274,0.9995779639860483,0.009577963986048266,255,0.99609375,1,0.04665313139577791,0.048423504273504274,0.0,0.0,328
10,0.1,0.10081982571581936,0.0008198257158193584,16,0.0625,1,0.013237889458506534,0.014520079654829075,0.10081982571581935,0.0008198257158193445,16,0.0625,1,0.013237889458506534,0.014520079654829075,0.0,0.0,330
10,0.2,0.20000339410557955,3.3941055795350117e-06,43,0.16796875,1,0.017012833108323803,0.018372790573111943,0.20000339410557952,3.394105579507256e-06,43,0.16796875,1,0.017012833108323803,0.018372790573111943,0.0,0.0,330
10,0.3,0.3041627840824273,0.004162784082427318,66,0.2578125,1,0.020228525847057033,0.02009113475177305,0.3041627840824273,0.004162784082427318,66,0.2578125,1,0.020228525847057033,0.02009113475177305,0.0,0.0,330
10,0.4,0.4001779387125936,0.00017793871259358385,92,0.359375,1,0.023863656769103292,0.02210280542986425,0.40017793871259366,0.00017793871259363936,92,0.359375,1,0.023863656769103292,0.02210280542986425,0.0,0.0,330
10,0.5,0.5033436113531121,0.003343611353112119,119,0.46484375,1,0.027638600418920557,0.026446674057649666,0.5033436113531121,0.003343611353112119,119,0.46484375,1,0.027638600418920557,0.026446674057649666,0.0,0.0,330
10,0.6,0.602418054886495,0.002418054886495047,147,0.57421875,1,0.031553356796508836,0.0300998678996037,0.6022319122972747,0.0022319122972747074,147,0.57421875,1,0.031553356796508836,0.0300998678996037,0.0,0.0,330
10,0.7,0.7040879842955069,0.004087984295506941,175,0.68359375,1,0.03546811317409712,0.035867534456355286,0.7040879842955069,0.004087984295506941,175,0.68359375,1,0.03546811317409712,0.035867534456355286,0.0,0.0,330
10,0.8,0.8012775961598457,0.0012775961598456842,201,0.78515625,1,0.03910324409614338,0.039963385146804836,0.801277596159846,0.0012775961598459062,201,0.78515625,1,0.03910324409614338,0.039963385146804836,0.0,0.0,330
10,0.85,0.8532840086941673,0.0032840086941673396,217,0.84765625,1,0.041340247740479535,0.041725878003696856,0.8532840086941672,0.0032840086941672286,217,0.84765625,1,0.041340247740479535,0.041725878003696856,0.0,0.0,330
10,0.9,0.9018739689514622,0.0018739689514621904,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.9038805260557734,0.003880526055773381,229,0.89453125,1,0.04301800047373165,0.04447320388349515,0.32606958250975815,0.0,330
10,0.95,0.9549352312723165,0.004935231272316543,241,0.94140625,1,0.044695753206983775,0.04639878048780488,0.9549352312723163,0.0049352312723163205,241,0.94140625,1,0.044695753206983775,0.04639878048780488,0.0,0.0,330
10,0.97,0.970168223489337,0.00016822348933698272,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.9705249070810668,0.0005249070810667833,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.30799271257291316,0.0,330
10,0.99,0.9943076184435273,0.004307618443527339,252,0.984375,1,0.046233693212464885,0.047364904862579285,0.9943076184435271,0.004307618443527117,252,0.984375,1,0.046233693212464885,0.047364904862579285,0.0,0.0,330
11,0.1,0.10209759150013449,0.0020975915001344853,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.10209759150013448,0.0020975915001344714,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.0,0.0,327
11,0.2,0.20341996239225446,0.0034199623922544498,35,0.13671875,1,0.015894331286155722,0.01692347908745247,0.20341996239225446,0.0034199623922544498,35,0.13671875,1,0.015894331286155722,0.01692347908745247,0.0,0.0,327
11,0.3,0.30369766476931775,0.0036976647693177656,58,0.2265625,1,0.019110024024888952,0.019890460739779365,0.3036976647693177,0.00369766476931771,58,0.2265625,1,0.019110024024888952,0.019890460739779365,0.0,0.0,327
11,0.4,0.40006993303555904,6.99330355590222e-05,88,0.34375,1,0.023304405858019253,0.021696150481189853,0.4000699330355588,6.993303555880015e-05,88,0.34375,1,0.023304405858019253,0.021696150481189853,0.0,0.0,327
11,0.5,0.5009238055213414,0.0009238055213414142,114,0.4453125,1,0.026939536780065512,0.025315755627009644,0.5009238055213413,0.0009238055213413032,114,0.4453125,1,0.026939536780065512,0.025315755627009644,0.0,0.0,327
11,0.6,0.6009084557725535,0.0009084557725534959,145,0.56640625,1,0.031273731340966816,0.030195300261096607,0.6009084557725537,0.0009084557725537179,145,0.56640625,1,0.031273731340966816,0.030195300261096607,0.0,0.0,327
11,0.7,0.7003322179016553,0.000332217901655385,169,0.66015625,1,0.034629236807471056,0.033990044576523035,0.7051407961609366,0.005140796160936656,171,0.66796875,1,0.034908862263013075,0.03412912912912913,0.8074837372150645,0.0,327
11,0.8,0.8003703902654901,0.0003703902654900171,200,0.78125,1,0.03896343136837237,0.03915611015490534,0.8028126271363398,0.002812627136339785,201,0.78515625,1,0.03910324409614338,0.039963385146804836,0.3588306339069147,0.0,327
11,0.85,0.8516850931434506,0.0016850931434506666,212,0.828125,1,0.04064118410162449,0.04085869565217391,0.8521206431181343,0.0021206431181343133,214,0.8359375,1,0.04092080955716651,0.041812979890310784,0.6880347158262134,0.3428379359040834,327
11,0.9,0.9003490348003454,0.0003490348003454269,223,0.87109375,1,0.042179124107105594,0.04327405303030303,0.9003490348003457,0.00034903480034564893,223,0.87109375,1,0.042179124107105594,0.04327405303030303,0.0,0.0,327
11,0.95,0.9500463407749837,4.634077498377742e-05,242,0.9453125,1,0.04483556593475478,0.046679633401222,0.9500463407749842,4.634077498422151e-05,242,0.9453125,1,0.04483556593475478,0.046679633401222,0.0,0.0,327
11,0.97,0.972175990345161,0.0021759903451610274,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.9721759903451614,0.0021759903451614715,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.0,0.0,327
11,0.99,0.9924934420256961,0.0024934420256961243,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.9924934420256966,0.0024934420256965684,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.0,0.0,327
12,0.1,0.10028762386218192,0.00028762386218190994,18,0.0703125,1,0.013517514914048553,0.014918147120055517,0.10028762386218192,0.00028762386218190994,18,0.0703125,1,0.013517514914048553,0.014918147120055517,0.0,0.0,337
12,0.2,0.2022286659627285,0.002228665962728499,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.20222866596272848,0.002228665962728471,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.0,0.0,337
12,0.3,0.30426577331010235,0.004265773310102361,64,0.25,1,0.019948900391515013,0.019484455239417074,0.3042657733101023,0.004265773310102305,64,0.25,1,0.019948900391515013,0.019484455239417074,0.0,0.0,337
12,0.4,0.4040567712082183,0.0040567712082182905,87,0.33984375,1,0.02316459313024824,0.022755073720728537,0.40405677120821826,0.004056771208218235,87,0.33984375,1,0.02316459313024824,0.022755073720728537,0.0,0.0,337
12,0.5,0.5027367325718377,0.002736732571837708,109,0.42578125,1,0.02624047314121046,0.025803102378490178,0.5027367325718376,0.0027367325718375968,109,0.42578125,1,0.02624047314121046,0.025803102378490178,0.0,0.0,337
12,0.6,0.6006222095399898,0.0006222095399898153,141,0.55078125,1,0.030714480429882778,0.029799617346938777,0.6028113964532779,0.0028113964532778812,142,0.5546875,1,0.03085429315765379,0.030083717948717947,0.45520134416789926,0.0,337
12,0.7,0.7043542560120835,0.004354256012083502,167,0.65234375,1,0.03434961135192904,0.03351941176470589,0.7043542560120838,0.004354256012083835,167,0.65234375,1,0.03434961135192904,0.03351941176470589,0.0,0.0,337
12,0.8,0.8021896500991691,0.0021896500991690493,197,0.76953125,1,0.038543993185059335,0.03893089983022071,0.8016732127538531,0.001673212753853015,197,0.76953125,1,0.038543993185059335,0.03893089983022071,0.0,0.0,337
12,0.85,0.8528366657104123,0.0028366657104123005,208,0.8125,1,0.040081933190540445,0.04029536541889483,0.8528366657104118,0.0028366657104118564,208,0.8125,1,0.040081933190540445,0.04029536541889483,0.0,0.0,337
