trial,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_aff_ratio,greedy_table_ms,greedy_table_ratio,top_r_rows,top_r_chunks,top_r_importance,top_r_aff_ms,top_r_aff_ratio,top_r_table_ms,top_r_table_ratio,top_r_aff_gain_pct,top_r_coverage_gap_pct,fixed_opt_rows,fixed_opt_chunks,fixed_opt_importance,fixed_opt_aff_ms,fixed_opt_aff_ratio,fixed_opt_table_ms,fixed_opt_table_ratio,fixed_aff_gain_pct,fixed_lookup_gain_pct,fixed_opt_coverage_gap_pct,upper_opt_rows,upper_opt_chunks,upper_opt_importance,upper_opt_table_ms,upper_opt_table_ratio,upper_table_gain_pct,greedy_fill_fraction,greedy_coverage_gap_pct,top_r_fill_fraction,upper_opt_fill_fraction,dinkelbach_iterations,dinkelbach_residual
46,192,0.75,192,2,0.774451150723011,0.04884581536037466,15.85501531726444,0.04812515809937551,16.092438577008238,192,47,0.9466769448548449,0.5438856769980415,1.7405807596919929,0.556211842469143,1.7020078908286886,-89.02189165470762,1116.8620908553312,192,1,0.7611082915861749,0.03784492954620429,20.111235526464636,0.03774518272425249,20.16438222451996,26.84463006835207,25.303459311191247,0.0,188,1,0.7515204943348949,0.03610913539967374,20.812475458542416,29.330774568111995,1.0,27.188797622433647,1.0,0.9791666666666666,4,1.1102230246251565e-16
46,224,0.875,224,2,0.8964883252592655,0.053319822649046986,16.81341536261259,0.05263980102564103,17.030617665567977,224,30,0.9856528446569793,0.3613446254458174,2.727736280679163,0.3898230365610521,2.528462282147893,-83.77642958405265,679.2048889111431,224,1,0.8860390388337183,0.04231893683487661,20.93717624076748,0.043105703422053235,20.555030274263274,24.5266103835438,20.69456714902862,0.0,188,1,0.7515204943348949,0.03610913539967374,20.812475458542416,22.20622802554304,1.0,24.35185685773298,1.0,0.8392857142857143,3,1.1102230246251565e-16
47,32,0.125,32,1,0.15995876581370716,0.015474893102842693,10.336663701045095,0.01623402714932127,9.85330160793743,32,31,0.31676857422882765,0.3455014675279539,0.9168371309542946,0.30955359490979917,1.023307690292309,-91.13024127057943,1497.5725209754303,32,1,0.15995876581370716,0.015474893102842693,10.336663701045095,0.01623402714932127,9.85330160793743,0.0,0.0,0.0,32,1,0.15995876581370716,0.01623402714932127,9.85330160793743,0.0,1.0,0.0,1.0,1.0,4,6.938893903907228e-18
47,64,0.25,64,1,0.27444526165192074,0.019948900391515013,13.757413003508313,0.019484455239417074,14.085344356803862,64,49,0.5272299087065995,0.5479914194716929,0.9621134382266255,0.492883993673491,1.069683567480304,-93.00658170266986,1760.3623489396937,64,1,0.27444526165192074,0.019948900391515013,13.757413003508313,0.019484455239417074,14.085344356803862,0.0,0.0,0.0,64,1,0.27444526165192074,0.019484455239417074,14.085344356803862,0.0,1.0,0.0,1.0,1.0,4,1.249000902703301e-16
47,96,0.375,96,1,0.3891803163666888,0.02442290768018733,15.935052511474902,0.022693451824134705,17.149454361667086,96,61,0.6860047582531508,0.6844760565304098,1.002233389624306,0.6184812945617415,1.1091762423296192,-93.71051090730582,1829.8349849359695,96,1,0.3926184618646933,0.02442290768018733,16.075827948332226,0.022693451824134705,17.30095821946046,0.88343252559695,0.88343252559695,0.0,96,1,0.3926184618646933,0.022693451824134705,17.30095821946046,0.88343252559695,1.0,0.0,1.0,1.0,4,8.326672684688674e-17
47,128,0.5,128,1,0.5198633555545837,0.028896914968859648,17.99027183748878,0.026979764705882352,19.26863933847573,128,65,0.8029396396769652,0.7329536070757635,1.0954849419193424,0.6794910583287385,1.1816780071423725,-93.91068155158983,1747.9765504973968,128,1,0.5210237581952182,0.028896914968859648,18.03042846465417,0.026979764705882352,19.3116494482111,0.2232130093871687,0.2232130093871687,0.0,124,1,0.5120978111032239,0.02639587155963303,19.4006782441831,0.6852528784620393,1.0,0.0,1.0,0.96875,4,-1.1102230246251565e-16
47,160,0.625,160,1,0.6267837737541984,0.033370922257531965,18.782332981904045,0.031587092198581565,19.843034927486755,160,62,0.89380081959974,0.7044249569219247,1.2688375260088987,0.6853185771295711,1.3042121568386316,-93.24451585843266,1532.207252098209,160,1,0.6377253606950954,0.033370922257531965,19.11021085283785,0.031587092198581565,20.189429172075954,1.745671697172546,1.745671697172546,0.0,160,1,0.6377253606950954,0.031587092198581565,20.189429172075954,1.745671697172546,1.0,0.4207284371465114,1.0,1.0,4,-2.7755575615628914e-16
47,192,0.75,192,2,0.7723019991515925,0.04884581536037466,15.811016633742373,0.04812515809937551,16.047781028725893,192,48,0.9550638406519419,0.5548865628122118,1.7211875447327432,0.5731758027381009,1.6662668523157036,-89.11399826713516,1129.93285789663,192,1,0.7529499382214456,0.03784492954620429,19.895662305360634,0.03774518272425249,19.948239321614174,25.834174779762087,24.305281122083922,0.0,188,1,0.7395332963277481,0.03610913539967374,20.480504120141024,27.622031254542012,1.0,25.814689796309164,1.0,0.9791666666666666,4,1.1102230246251565e-16
47,224,0.875,224,2,0.8917224665419121,0.053319822649046986,16.724032868812447,0.05263980102564103,16.94008049360884,224,29,0.9881921405339551,0.35034373963164706,2.8206359319362884,0.38684221810827635,2.554509550085772,-83.13423589835016,657.7671505100359,224,1,0.8724980796333762,0.04231893683487661,20.61720224772561,0.043105703422053235,20.240896456105595,23.27889097953928,19.485243672496644,0.0,188,1,0.7395332963277481,0.03610913539967374,20.480504120141024,20.89968597178695,1.0,23.5461639358282,1.0,0.8392857142857143,4,1.1102230246251565e-16
48,32,0.125,32,1,0.15071850493475403,0.015474893102842693,9.739550634250746,0.01623402714932127,9.28411068605706,32,27,0.2917927339425721,0.3014979242712724,0.9678100923840256,0.2689466272174123,1.0849466191918122,-90.06309296262026,1390.4591988107534,32,1,0.15216331844754255,0.015474893102842693,9.832915641891613,0.01623402714932127,9.37310976801615,0.9586172005978888,0.9586172005978888,0.0,32,1,0.15216331844754255,0.01623402714932127,9.37310976801615,0.9586172005978888,1.0,0.0,1.0,1.0,4,-2.0816681711721685e-17
