method,method_label,score_kind,control_kind,budget_index,control_value,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selected_fraction_std,chunks,fallback_rate
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,15,0.85,63,1.7784388727594918,0.03285993641567604,0.09212607936507937,1.5629461904761905,0.01712152376652705,0.07338514273601861,0.29202084176774534,0.052423322957659474,0.853038175711556,0.7460228883219955,0.07353700767964298,3.7936507936507935,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,16,0.9,63,1.9392050470459548,0.03285993641567604,0.09181969841269841,1.718218619047619,0.017420698297283904,0.07888609487267709,0.23432966556754845,0.033482590365031366,0.9053557202929542,0.8211213487588017,0.05793148976513071,3.111111111111111,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,17,0.95,63,2.0795012856076456,0.03285993641567604,0.08947479365079365,1.8571020476190476,0.017052444422410537,0.08301206349971745,0.17063547213680091,0.018508868558066188,0.9504837507293338,0.8970095439491587,0.03690622233217386,2.0476190476190474,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,18,0.97,63,2.101319793184923,0.03285993641567604,0.08914973015873015,1.8782871428571428,0.017550730116901836,0.08347225363647175,0.13061918474970352,0.010732624265882663,0.9708836778761849,0.9359284558121493,0.02732202421543704,1.5714285714285714,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,19,0.98,63,2.2675200396282684,0.03285993641567604,0.08868484126984126,2.042797611111111,0.017934730143419276,0.0852429206882204,0.10698173383236045,0.007169232482001849,0.9807918724559602,0.9551198494748776,0.020404790661459043,1.1746031746031746,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,20,0.99,63,2.2316579125365803,0.03285993641567604,0.09620869841269841,1.9961486428571427,0.01918120636412543,0.08725942848693753,0.07461127850581843,0.0035456286536322277,0.9907794660992093,0.9745988856068742,0.012800041226817112,1.0952380952380953,0.0
paper,Paper fixed R |x|,abs,fixed_r,0,0.1,63,0.7869897143718052,0.0300632382905672,0.26049722222222227,0.456021380952381,0.015572825343244558,0.024835047563390073,0.6981566588556956,0.3443692033253019,0.13643642940691536,0.09144233351235227,0.012789362665882396,3.111111111111111,0.0
paper,Paper fixed R |x|,abs,fixed_r,1,0.15,63,0.9029945080240643,0.0300632382905672,0.2699497619047619,0.5546000476190476,0.016294603162105077,0.03208685704758237,0.6586695355732762,0.2967117438240657,0.1959838287697898,0.14696059344790544,0.0027650957296523086,3.8095238095238093,0.0
paper,Paper fixed R |x|,abs,fixed_r,2,0.2,63,1.0493508809898968,0.0300632382905672,0.2765143492063492,0.6923890396825396,0.016618666564306512,0.03376558724613411,0.6219980616181616,0.26400745388061275,0.25015158076134936,0.19276987110633723,0.009160511453917206,5.031746031746032,0.0
paper,Paper fixed R |x|,abs,fixed_r,3,0.25,63,1.1505659765585359,0.0300632382905672,0.2702870476190476,0.7984620396825397,0.016790857124659695,0.03496279384172147,0.5835466774564887,0.2303939972605024,0.3101927481946491,0.24988251879699247,0.0002900804364731599,5.666666666666667,0.0
paper,Paper fixed R |x|,abs,fixed_r,4,0.3,63,1.250242706644201,0.0300632382905672,0.2792745396825397,0.8827406111111111,0.01614222218770351,0.04202209537227943,0.5578530746260806,0.2068113571121579,0.35898524428170825,0.29569179645542426,0.0063752856927549425,6.507936507936508,0.0
paper,Paper fixed R |x|,abs,fixed_r,5,0.35,63,1.3353423416128944,0.0300632382905672,0.2711886190476191,0.9736445158730159,0.017401904769478286,0.04304406363221383,0.5234613867387885,0.1832675735155741,0.408090317060077,0.3413248523093448,0.012713316532058528,7.380952380952381,0.0
paper,Paper fixed R |x|,abs,fixed_r,6,0.4,63,1.459029833575196,0.0300632382905672,0.2860185238095238,1.0791548015873016,0.018658031812972438,0.045135238074830546,0.48348358190721935,0.1542904376983642,0.46975667561803547,0.3970193340494092,0.002818025806974608,8.380952380952381,0.0
paper,Paper fixed R |x|,abs,fixed_r,7,0.45,63,1.4830587387963503,0.0300632382905672,0.273959126984127,1.1106224047619047,0.016994539574379894,0.051419429185371505,0.45427733565133716,0.13589648027268664,0.5152636440027327,0.4426523899033297,0.009072605831881615,9.285714285714286,0.0
paper,Paper fixed R |x|,abs,fixed_r,8,0.5,63,1.5571842777366154,0.0300632382905672,0.2819208888888889,1.180692722222222,0.01703771424021508,0.04746971409472204,0.427513468655802,0.11952384502168681,0.5656261917144533,0.49994125939849626,0.00014504021823657,10.0,0.0
paper,Paper fixed R |x|,abs,fixed_r,9,0.55,63,1.642819262249025,0.0300632382905672,0.2775843333333333,1.2580740396825396,0.017275428517706755,0.05982222242487797,0.4030440854618237,0.10664288202921547,0.6074793915899973,0.5455743152524167,0.006305451946236169,10.746031746031745,0.0
paper,Paper fixed R |x|,abs,fixed_r,10,0.6,63,1.7584770716225429,0.0300632382905672,0.28335111111111116,1.3720443095238095,0.01733841266601326,0.055680000031041677,0.37917027807247544,0.094845071671501,0.6485108014137025,0.5913835929108486,0.012750571385509906,11.444444444444445,0.0
paper,Paper fixed R |x|,abs,fixed_r,11,0.65,63,1.8647443333897127,0.0300632382905672,0.2904780476190476,1.465335746031746,0.01759339672409821,0.0612739047242535,0.3441352283227302,0.07762061792706682,0.7017513996078855,0.647078074650913,0.0028773004419456096,11.920634920634921,0.0
paper,Paper fixed R |x|,abs,fixed_r,12,0.7,63,2.029509976270815,0.0300632382905672,0.2984295555555555,1.6151032777777778,0.01775085714660461,0.06816304750030944,0.31670102857733295,0.06576229466332324,0.744215170542399,0.6927111305048335,0.009115510774175715,12.634920634920634,0.0
paper,Paper fixed R |x|,abs,fixed_r,13,0.75,63,2.1054871349648283,0.0300632382905672,0.2898223650793651,1.7116281984126984,0.017339428517198694,0.05663390466499892,0.28345277048056083,0.052511807471986756,0.7912506849046738,0.75,0.0,12.857142857142858,0.0
paper,Paper fixed R |x|,abs,fixed_r,14,0.8,63,2.274219325170468,0.0300632382905672,0.29359909523809524,1.8613460714285714,0.018276063488825867,0.07093485672440789,0.2460729783800031,0.03991018874304631,0.8353969265544225,0.7956330558539205,0.006338805825261073,13.238095238095237,0.0
paper,Paper fixed R |x|,abs,fixed_r,15,0.85,63,2.330008468573374,0.0300632382905672,0.3038004126984127,1.9083784682539684,0.01804088882451487,0.06972546050591125,0.2190067210707754,0.03269012201400027,0.8715042746256269,0.8414423335123523,0.012789362665882412,12.80952380952381,0.0
paper,Paper fixed R |x|,abs,fixed_r,16,0.9,63,2.457774690486406,0.0300632382905672,0.3067603650793651,2.0284649920634923,0.017985015826684093,0.074501079226297,0.17015130052875194,0.01892800085128295,0.9197798882211957,0.8969605934479056,0.002765095729652273,12.698412698412698,0.0
paper,Paper fixed R |x|,abs,fixed_r,17,0.95,63,2.5572787056922204,0.0300632382905672,0.3128345238095238,2.115350595238095,0.018305015779795097,0.0807253325742388,0.1149123118717282,0.00898599908465426,0.9578366771576896,0.9427698711063373,0.009160511453917147,12.079365079365079,0.0
paper,Paper fixed R |x|,abs,fixed_r,18,0.97,63,2.5457551349443612,0.0300632382905672,0.30417450793650797,2.1102251984126985,0.01801549196834596,0.0832766983362417,0.08240118204793401,0.004547201451801074,0.9771074633749705,0.9679108485499464,0.002351670292639485,11.158730158730158,0.0
paper,Paper fixed R |x|,abs,fixed_r,19,0.98,63,2.531139635317836,0.0300632382905672,0.3027364285714286,2.1039684126984124,0.017860063425605203,0.07651149233182267,0.07277326506289043,0.003694181404416478,0.9815487085826813,0.9742911967418547,0.006518550689602787,10.238095238095237,0.0
paper,Paper fixed R |x|,abs,fixed_r,20,0.99,63,2.4980844763264725,0.0300632382905672,0.30036736507936507,2.066892476190476,0.017924571306341164,0.08283682545972244,0.0627058196446991,0.00302587520508535,0.9852403591549586,0.9797121151092016,0.010742623679951584,8.936507936507937,0.0
