track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median
cuda,896x4864,896,4864,9.5,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.036631,0.051979124999999904,0.0885187999999999,-68.2359584517019,-71.82122991094735,0.0,-65.45065871257162,0.0,10.671133323146462,1.0,-285.4139251889219,-236.6971372012925,0.0,0.0,-2.006260153527752,-0.25987299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x4864,896,4864,9.5,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.351274,0.56454765,1.022766499999999,-0.6174876943249533,0.2552772153116667,0.5416666666666666,2.732851123671456,0.8333333333333334,-2.7742141670934557,0.010416666666666666,2.140316702536312,1.7199618364553082,0.8125,0.010416666666666666,0.014578507111956324,0.05429399999999995,0.11458333333333333,8.0,539.9895833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x4864,896,4864,9.5,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,0.9496197500000001,1.27430785,5.464531549999994,3.2419580696952273,3.058472737653861,1.0,7.765412388430334,1.0,-1.312580153109346,0.2916666666666667,4.399177505661975,3.838635503208987,1.0,0.2916666666666667,0.03253652133298011,0.6514052499999999,0.0,32.0,20.020833333333332,0.0,0.0,0.0,4.78125,4.78125,99.1875,3.0
cuda,896x4864,896,4864,9.5,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,0.96875,0.96875,1.0,0.0,0.0,1.10780525,1.498371924999999,2.8501787999999992,3.2433035051434023,3.058472737653861,1.0,7.76304199216214,1.0,-1.313578696485281,0.2916666666666667,4.401430508072783,3.8397935478723833,1.0,0.2916666666666667,0.032546336994004416,0.8192507499999999,0.0,32.0,22.65625,0.0,0.0,0.0,7.489583333333333,7.489583333333333,488.4166666666667,3.0
cuda,896x4864,896,4864,9.5,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.7604166666666666,0.7604166666666666,1.0,0.0,0.0,1.7545164999999998,2.3116671125,4.8553552,3.25376946411707,3.058472737653861,1.0,7.775569368156785,1.0,-1.3233022854271272,0.2916666666666667,4.420596321642974,3.8541197335114075,1.0,0.2916666666666667,0.032667766664593055,1.4560667499999997,0.0,72.0,31.489583333333332,0.0,0.0,0.0,11.15625,11.15625,727.0520833333334,3.0
host,4864x896,4864,896,1.75,paper,Paper,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,0.25254724999999995,0.3374603249999998,2.1226845999999964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
host,4864x896,4864,896,1.75,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.04187575,0.0608415999999999,0.0748575,-91.65461429375073,-92.81955606012698,0.0,-91.62241696557642,0.0,24.25774578651767,1.0,-1525.9644258163487,-1311.8072963165835,0.0,0.0,-10.939876636492146,-0.21217425000000006,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
host,4864x896,4864,896,1.75,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,0.7395833333333334,0.7395833333333334,1.0,0.0,0.0,1.6427875,2.5301175249999996,4.304873949999998,-3.145741103486756,-3.5677346706498803,0.11458333333333333,-2.5520707571849965,0.21875,-2.2792019632698497,0.15625,-0.9668841294708715,-1.424941838360816,0.375,0.010416666666666666,-0.011883367297632145,1.3892959999999999,0.0,8.0,4106.572916666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0
host,4864x896,4864,896,1.75,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.66226375,4.435167,6.40511465,-20.528108123402266,1.5838427854501846,0.5833333333333334,-19.09247425615177,0.5833333333333334,4.335836332375578,0.8229166666666666,-174.5297626735155,-200.79459492259068,0.5520833333333334,0.375,-1.6745356607602095,3.4021555,0.0,32.0,40.53125,0.0,0.13541666666666666,2.0,2.1979166666666665,2.1979166666666665,60.916666666666664,12.0
host,4864x896,4864,896,1.75,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0280775,5.0906296499999995,10.877483249999996,0.6525122833732422,2.6421385679360143,0.9479166666666666,2.2239172210756935,0.9479166666666666,0.42472849171470656,0.6666666666666666,-22.822858960272413,-27.32350377981019,0.9375,0.6041666666666666,-0.22786560302505907,3.7861350000000003,0.0,32.0,150.51041666666666,0.0,0.020833333333333332,2.0,4.75,4.75,395.4791666666667,11.5
host,4864x896,4864,896,1.75,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.8330347499999995,8.190809299999996,9.0880919,2.9768671540185694,2.7651781509279383,1.0,4.802309866989418,1.0,-0.03810364103189421,0.6041666666666666,2.9103602468014036,2.7505021598426382,1.0,0.6041666666666666,0.022937937913269407,6.5725055,0.0,72.0,196.63541666666666,0.0,0.0,2.0,7.520833333333333,7.520833333333333,620.6041666666666,9.0
cuda,4864x896,4864,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.288835,0.3830790749999999,0.6305460999999984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
cuda,4864x896,4864,896,1.75,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07459674999999995,0.11117666249999993,0.4610234999999998,-91.65461429375073,-92.81955606012698,0.0,-91.62241696557642,0.0,24.25774578651767,1.0,-1525.9644258163487,-1311.8072963165835,0.0,0.0,-10.939876636492146,-0.214786,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
cuda,4864x896,4864,896,1.75,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,0.71875,0.71875,1.0,0.0,0.0,1.72016475,2.5511216374999997,2.96356685,-3.145741103486756,-3.5677346706498803,0.11458333333333333,-2.5520707571849965,0.21875,-2.2792019632698497,0.15625,-0.9668841294708715,-1.424941838360816,0.375,0.010416666666666666,-0.011883367297632145,1.42617525,0.0,8.0,4106.572916666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0
cuda,4864x896,4864,896,1.75,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.79011075,4.778722099999997,5.805399599999999,-20.528108123402266,1.5838427854501846,0.5833333333333334,-19.09247425615177,0.5833333333333334,4.335836332375578,0.8229166666666666,-174.5297626735155,-200.79459492259068,0.5520833333333334,0.375,-1.6745356607602095,3.5092755,0.0,32.0,40.53125,0.0,0.13541666666666666,2.0,2.1979166666666665,2.1979166666666665,60.916666666666664,12.0
cuda,4864x896,4864,896,1.75,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.12959,5.123778,5.957583399999999,0.6525122833732422,2.6421385679360143,0.9479166666666666,2.2239172210756935,0.9479166666666666,0.42472849171470656,0.6666666666666666,-22.822858960272413,-27.32350377981019,0.9375,0.6041666666666666,-0.22786560302505907,3.84921075,0.0,32.0,150.51041666666666,0.0,0.020833333333333332,2.0,4.75,4.75,395.4791666666667,11.5
cuda,4864x896,4864,896,1.75,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.975994,8.8051227875,11.39108,2.9768671540185694,2.7651781509279383,1.0,4.802309866989418,1.0,-0.03810364103189421,0.6041666666666666,2.9103602468014036,2.7505021598426382,1.0,0.6041666666666666,0.022937937913269407,6.6719485,0.0,72.0,196.63541666666666,0.0,0.0,2.0,7.520833333333333,7.520833333333333,620.6041666666666,9.0
